chaque	PRO:IND	chaque
foyer	NOM	foyer
courcellois	ADJ	courcellois
a	VER:pres	avoir
reçu	VER:pper	recevoir
le	DET:ART	le
bulletin	NOM	bulletin
communal	ADJ	communal
dans	PRP	dans
sa	DET:POS	son
boîte	NOM	boîte
aux	PRP:det	au
lettres	NOM	lettre
pour	PRP	pour
le	DET:ART	le
nouvel	ADJ	nouveau
an	NOM	an
.	SENT	.
le	DET:ART	le
bulletin	NOM	bulletin
transmet	VER:pres	transmettre
les	DET:ART	le
v	NOM	v
	ADJ	
ux	ADJ	ux
du	PRP:det	du
maire	NOM	maire
qui	PRO:REL	qui
y	PRO:PER	y
relate	VER:pres	relater
également	ADV	également
les	DET:ART	le
actions	NOM	action
menées	VER:pper	mener
en	PRP	en
2002	NUM	@card@
les	DET:ART	le
projets	NOM	projet
pour	KON	pour
2003	NUM	@card@
notamment	ADV	notamment
la	DET:ART	le
dernière	ADJ	dernier
tranche	NOM	tranche
d'	PRP	de
enfouissement	NOM	enfouissement
des	PRP:det	du
réseaux	NOM	réseau
électriques	ADJ	électrique
,	PUN	,
téléphone	NOM	téléphone
et	KON	et
éclairage	NOM	éclairage
public	ADJ	public
qui	PRO:REL	qui
portera	VER:futu	porter
courcelles	NOM	courcelles
en	PRP	en
tête	NOM	tête
des	PRP:det	du
communes	NOM	commune
vosgiennes	ADJ	vosgien
ayant	VER:ppre	avoir
réalisé	VER:pper	réaliser
ces	PRO:DEM	ce
travaux	NOM	travail
et	KON	et
qui	PRO:REL	qui
redonnera	VER:futu	redonner
au	PRP:det	au
village	NOM	village
son	DET:POS	son
aspect	NOM	aspect
d'	PRP	de
avant	PRP	avant
1927	NUM	@card@
