espoirs/seniors	NOM	espoirs/seniors
masculins	ADJ	masculin
:	PUN	:
1	NUM	@card@
durand	NOM	durand
alain	NOM	alain
(	PUN	(
gahs	NOM	gahs
)	PUN	)
34	NUM	@card@
'	PUN	'
53	NUM	@card@
;	PUN	;
2	NUM	@card@
vancon	NOM	vancon
(	PUN	(
la	DET:ART	le
70	NUM	@card@
)	PUN	)
35	NUM	@card@
'	PUN	'
02	NUM	@card@
;	PUN	;
3	NUM	@card@
grandgirard	NOM	grandgirard
(	PUN	(
gahs	NOM	gahs
)	PUN	)
35	NUM	@card@
'	PUN	'
21	NUM	@card@
;	PUN	;
4	NUM	@card@
plousey	NOM	plousey
(	PUN	(
gahs	NOM	gahs
)	PUN	)
35	NUM	@card@
'	PUN	'
43	NUM	@card@
;	PUN	;
5	NUM	@card@
missey	NOM	missey
(	PUN	(
gahs	NOM	gahs
)	PUN	)
36	NUM	@card@
'	PUN	'
13	NUM	@card@
;	PUN	;
6	NUM	@card@
clayrac	NOM	clayrac
(	PUN	(
la	DET:ART	le
70	NUM	@card@
)	PUN	)
36	NUM	@card@
'	PUN	'
27	NUM	@card@
;	PUN	;
7	NUM	@card@
vuillemot	NOM	vuillemot
(	PUN	(
vesoul	NOM	vesoul
)	PUN	)
36	NUM	@card@
'	PUN	'
43	NUM	@card@
;	PUN	;
8	NUM	@card@
didierjean	NOM	didierjean
(	PUN	(
gahs	NOM	gahs
)	PUN	)
36	NUM	@card@
'	PUN	'
52	NUM	@card@
;	PUN	;
9	NUM	@card@
bouzer	NOM	bouzer
(	PUN	(
gahs	NOM	gahs
)	PUN	)
37	NUM	@card@
'	PUN	'
03	NUM	@card@
;	PUN	;
10	NUM	@card@
boiteux	NOM	boiteux
(	PUN	(
gahs	NOM	gahs
)	PUN	)
37	NUM	@card@
'	PUN	'
36	NUM	@card@
cross	NOM	cross
court	ADV	court
masculin	ADJ	masculin
:	PUN	:
1	NUM	@card@
salvati	NOM	salvati
(	PUN	(
gahs	NOM	gahs
)	PUN	)
14	NUM	@card@
'	PUN	'
22	NUM	@card@
;	PUN	;
2	NUM	@card@
decrion	NOM	decrion
(	PUN	(
gahs	NOM	gahs
)	PUN	)
14	NUM	@card@
'	PUN	'
39	NUM	@card@
;	PUN	;
3	NUM	@card@
crochetet	NOM	crochetet
(	PUN	(
la	DET:ART	le
70	NUM	@card@
)	PUN	)
15	NUM	@card@
'	PUN	'
17	NUM	@card@
;	PUN	;
4	NUM	@card@
perrin	NOM	perrin
(	PUN	(
gahs	NOM	gahs
)	PUN	)
16	NUM	@card@
'	PUN	'
03	NUM	@card@
;	PUN	;
5	NUM	@card@
roux	NOM	roux
(	PUN	(
nl	NOM	nl
)	PUN	)
16	NUM	@card@
'	PUN	'
12	NUM	@card@
1	NUM	@card@
e	NOM	e
r	VER:subi	r
espoir	NOM	espoir
seniors	NOM	senior
filles	NOM	fille
:	PUN	:
1	NUM	@card@
genebrier	NOM	genebrier
(	PUN	(
gahs	NOM	gahs
)	PUN	)
19	NUM	@card@
'	PUN	'
55	NUM	@card@
;	PUN	;
2	NUM	@card@
bathelemi	NOM	bathelemi
(	PUN	(
gahs	NOM	gahs
)	PUN	)
22	NUM	@card@
'	PUN	'
44	NUM	@card@
vétérans	NOM	vétéran
:	PUN	:
1	NUM	@card@
choukrane	NOM	choukrane
(	PUN	(
gahs	NOM	gahs
)	PUN	)
35	NUM	@card@
'	PUN	'
40	NUM	@card@
;	PUN	;
2	NUM	@card@
negri	NOM	negri
(	PUN	(
gahs	NOM	gahs
)	PUN	)
37	NUM	@card@
'	PUN	'
27	NUM	@card@
;	PUN	;
3	NUM	@card@
cottard	NOM	cottard
(	PUN	(
la	DET:ART	le
70	NUM	@card@
)	PUN	)
37	NUM	@card@
'	PUN	'
53	NUM	@card@
;	PUN	;
4	NUM	@card@
grosjean	NOM	grosjean
(	PUN	(
la	DET:ART	le
70	NUM	@card@
)	PUN	)
;	PUN	;
5	NUM	@card@
huet	NOM	huet
(	PUN	(
ancier	ADJ	ancier
)	PUN	)
38	NUM	@card@
'	PUN	'
36	NUM	@card@
vétéranes	NOM	vétéranes
:	PUN	:
1	NUM	@card@
texier	NOM	texier
(	PUN	(
la	DET:ART	le
70	NUM	@card@
)	PUN	)
18	NUM	@card@
'	PUN	'
36	NUM	@card@
;	PUN	;
2	NUM	@card@
laval	NOM	laval
(	PUN	(
gahs	NOM	gahs
)	PUN	)
21	NUM	@card@
'	PUN	'
11	NUM	@card@
;	PUN	;
3	NUM	@card@
gotz	NOM	gotz
(	PUN	(
gahs	NOM	gahs
)	PUN	)
22	NUM	@card@
'	PUN	'
00	NUM	@card@
juniors	NOM	junior
garçons	NOM	garçon
:	PUN	:
1	NUM	@card@
rouèche	NOM	rouèche
(	PUN	(
gahs	NOM	gahs
)	PUN	)
23	NUM	@card@
'	PUN	'
58	NUM	@card@
;	PUN	;
2	NUM	@card@
tisserand	NOM	tisserand
