espoirs-seniors	NOM	espoirs-seniors
hommes	NOM	homme
:	PUN	:
1	NUM	@card@
freudenreich	NOM	freudenreich
(	PUN	(
aua	VER:simp	aua
)	PUN	)
30	NUM	@card@
'	PUN	'
13	NUM	@card@
;	PUN	;
2	NUM	@card@
philippe	NOM	philippe
(	PUN	(
aua	VER:simp	aua
)	PUN	)
30	NUM	@card@
'	PUN	'
36	NUM	@card@
;	PUN	;
3	NUM	@card@
mairot	NOM	mairot
(	PUN	(
aua	VER:simp	aua
)	PUN	)
31	NUM	@card@
'	PUN	'
37	NUM	@card@
;	PUN	;
4	NUM	@card@
large	ADJ	large
(	PUN	(
ac	ABR	ac
anjoutey	NOM	anjoutey
)	PUN	)
32	NUM	@card@
'	PUN	'
03	NUM	@card@
;	PUN	;
5	NUM	@card@
decreuse	NOM	decreuse
(	PUN	(
lyon	NOM	lyon
)	PUN	)
32	NUM	@card@
'	PUN	'
10	NUM	@card@
;	PUN	;
6	NUM	@card@
perron	NOM	perron
(	PUN	(
ac	ABR	ac
châtenois	NOM	châtenois
)	PUN	)
32	NUM	@card@
'	PUN	'
11	NUM	@card@
;	PUN	;
7	NUM	@card@
abdelhouad	NOM	abdelhouad
(	PUN	(
aua	VER:simp	aua
)	PUN	)
32	NUM	@card@
'	PUN	'
32	NUM	@card@
;	PUN	;
8	NUM	@card@
garnier	NOM	garnier
(	PUN	(
avo	NOM	avo
valdoie	ADJ	valdoie
)	PUN	)
32	NUM	@card@
'	PUN	'
39	NUM	@card@
;	PUN	;
9	NUM	@card@
ph	NOM	ph
.	SENT	.
marchal	NOM	marchal
(	PUN	(
ac	ABR	ac
anjoutey	NOM	anjoutey
)	PUN	)
32	NUM	@card@
'	PUN	'
45	NUM	@card@
;	PUN	;
10	NUM	@card@
rousset	NOM	rousset
(	PUN	(
aua	VER:simp	aua
)	PUN	)
33	NUM	@card@
'	PUN	'
20.	NUM	@ord@
..	ABR	..
espoirs-seniors-vétérans	NOM	espoirs-seniors-vétérans
dames	NOM	dame
:	PUN	:
1	NUM	@card@
poirrier	NOM	poirrier
(	PUN	(
aua	VER:simp	aua
)	PUN	)
26	NUM	@card@
'	PUN	'
39	NUM	@card@
;	PUN	;
2	NUM	@card@
couty	NOM	couty
(	PUN	(
aua	VER:simp	aua
)	PUN	)
29	NUM	@card@
'	PUN	'
19	NUM	@card@
;	PUN	;
