actuellement	ADV	actuellement
4	NUM	@card@
e	NOM	e
du	PRP:det	du
championnat	NOM	championnat
avec	PRP	avec
34	NUM	@card@
points	NOM	point
(	PUN	(
21	NUM	@card@
matches	NOM	match
),	ADJ	),
à	PRP	à
trois	NUM	trois
longueurs	NOM	longueur
du	PRP:det	du
leader	NOM	leader
l'	DET:ART	le
ogc	NOM	ogc
nice	ADJ	nice
.	SENT	.
extérieur	NOM	extérieur
:	PUN	:
13	NUM	@card@
points	NOM	point
en	PRP	en
11	NUM	@card@
matches	NOM	match
,	PUN	,
3	NUM	@card@
victoires	NOM	victoire
,	PUN	,
4	NUM	@card@
nuls	ADJ	nul
,	PUN	,
4	NUM	@card@
défaites	NOM	défaite
,	PUN	,
15	NUM	@card@
buts	NOM	but
inscrits	VER:pper	inscrire
(	PUN	(
meilleure	ADJ	meilleur
attaque	NOM	attaque
à	PRP	à
l'	DET:ART	le
extérieur	ADJ	extérieur
),	NOM	),
12	NUM	@card@
concédés	VER:pper	concéder
.	SENT	.
buteurs	NOM	buteur
:	PUN	:
nonda	NOM	nonda
7	NUM	@card@
giuly	NOM	giuly
5	NUM	@card@
gallardo	NOM	gallardo
1	NUM	@card@
camara	NOM	camara
1	NUM	@card@
prso	NOM	prso
1	NUM	@card@
domicile	NOM	domicile
:	PUN	:
21	NUM	@card@
points	NOM	point
en	PRP	en
10	NUM	@card@
matches	NOM	match
,	PUN	,
6	NUM	@card@
victoires	NOM	victoire
,	PUN	,
3	NUM	@card@
nuls	ADJ	nul
,	PUN	,
1	NUM	@card@
défaite	NOM	défaite
,	PUN	,
17	NUM	@card@
buts	NOM	but
marqués	VER:pper	marquer
,	PUN	,
8	NUM	@card@
concédés	VER:pper	concéder
.	SENT	.
buteurs	NOM	buteur
:	PUN	:
nonda	NOM	nonda
4	NUM	@card@
rothen	NOM	rothen
3	NUM	@card@
camara	NOM	camara
3	NUM	@card@
giuly	NOM	giuly
2	NUM	@card@
pierre-fanfan	NOM	pierre-fanfan
1	NUM	@card@
givet	NOM	givet
1	NUM	@card@
marquez	VER:pres	marquer
1	NUM	@card@
prso	NOM	prso
1	NUM	@card@
+	SYM	+
cech	ADJ	cech
csc	NOM	csc
match	NOM	match
aller	VER:infi	aller
:	PUN	:
monaco-sochaux	NOM	monaco-sochaux
1	NUM	@card@
-	PUN	-
0	NUM	@card@
(	PUN	(
1	NUM	@card@
-	PUN	-
0	NUM	@card@
),	NOM	),
but	NOM	but
de	PRP	de
rothen	NOM	rothen
(	PUN	(
41	NUM	@card@
e).	ABR	e).
suspensions	NOM	suspension
:	PUN	:
expulsés	VER:pper	expulser
face	NOM	face
à	PRP	à
bastia	NOM	bastia
samedi	NOM	samedi
,	PUN	,
deschamps	NOM	deschamps
et	KON	et
cubillier	NOM	cubillier
seront	VER:futu	être
suspendus	VER:pper	suspendre
mercredi	NOM	mercredi
à	PRP	à
sochaux	NOM	sochaux
.	SENT	.
