a	VER:pres	avoir
la	DET:ART	le
suite	NOM	suite
des	PRP:det	du
deux	NUM	deux
sauts	NOM	saut
effectués	VER:pper	effectuer
le	DET:ART	le
matin	NOM	matin
,	PUN	,
les	DET:ART	le
écarts	NOM	écart
intervenus	VER:pper	intervenir
dans	PRP	dans
le	DET:ART	le
classement	NOM	classement
du	PRP:det	du
saut	NOM	saut
étaient	VER:impf	être
transformés	VER:pper	transformer
en	PRP	en
minutes	NOM	minute
et	KON	et
en	PRP	en
secondes	NUM	second
,	PUN	,
donnant	VER:ppre	donner
l'	DET:ART	le
ordre	NOM	ordre
de	PRP	de
départ	NOM	départ
suivant	VER:ppre	suivre
:	PUN	:
1	NUM	@card@
gruber	NOM	gruber
(	PUN	(
aut	VER:pper	aut
)	PUN	)
231	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
denift	NOM	denift
(	PUN	(
aut	VER:pper	aut
)	PUN	)
à	PRP	à
0	NUM	@card@
'	PUN	'
02	NUM	@card@
''	NOM	''
;	PUN	;
3	NUM	@card@
kaitainen	NOM	kaitainen
(	PUN	(
fin	NOM	fin
)	PUN	)
à	PRP	à
0	NUM	@card@
'	PUN	'
08	NUM	@card@
''	NOM	''
;	PUN	;
4	NUM	@card@
bieler	NOM	bieler
(	PUN	(
aut	VER:pper	aut
)	PUN	)
à	PRP	à
0	NUM	@card@
'	PUN	'
14	NUM	@card@
''	NOM	''
;	PUN	;
5	NUM	@card@
lodwick	NOM	lodwick
(	PUN	(
usa	VER:simp	user
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
22	NUM	@card@
''	NOM	''
;	PUN	;
6	NUM	@card@
gottwald	NOM	gottwald
(	PUN	(
aut	VER:pper	aut
)	PUN	)
0	NUM	@card@
'	PUN	'
32	NUM	@card@
''	NOM	''
;	PUN	;
7	NUM	@card@
schmitt	NOM	schmitt
(	PUN	(
ger	VER:pper	ger
)	PUN	)
0	NUM	@card@
'	PUN	'
34	NUM	@card@
''	NOM	''
;	PUN	;
8	NUM	@card@
tande	NOM	tande
(	PUN	(
nor	NOM	nor
)	PUN	)
à	PRP	à
0	NUM	@card@
'	PUN	'
38	NUM	@card@
''	NOM	''
;	PUN	;
9	NUM	@card@
aoki	NOM	aoki
(	PUN	(
jpn	NOM	jpn
)	PUN	)
à	PRP	à
0	NUM	@card@
'	PUN	'
54	NUM	@card@
''	NOM	''
;	PUN	;
10	NUM	@card@
hettich	NOM	hettich
(	PUN	(
ger	VER:pper	ger
)	PUN	)
à	PRP	à
0	NUM	@card@
'	PUN	'
56	NUM	@card@
''	NOM	''
;	PUN	;
11	NUM	@card@
ackermann	NOM	ackermann
(	PUN	(
ger	VER:pper	ger
)	PUN	)
à	PRP	à
0	NUM	@card@
'	PUN	'
58	NUM	@card@
''	NOM	''
;	PUN	;
12	NUM	@card@
arnould	NOM	arnould
(	PUN	(
fra	NOM	fra
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
08	NUM	@card@
''	NOM	''
;	PUN	;
13	NUM	@card@
spillane	NOM	spillane
(	PUN	(
usa	VER:simp	user
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
12	NUM	@card@
''	NOM	''
;	PUN	;
14	NUM	@card@
gaiser	NOM	gaiser
(	PUN	(
ger	VER:pper	ger
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
16	NUM	@card@
''	NOM	''
;	PUN	;
15	NUM	@card@
stecher	NOM	stecher
(	PUN	(
aut	VER:pper	aut
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
20	NUM	@card@
''	NOM	''
;	PUN	;
16	NUM	@card@
tallus	NOM	tallus
(	PUN	(
fin	NOM	fin
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
34	NUM	@card@
''	NOM	''
;	PUN	;
17	NUM	@card@
baud	NOM	baud
(	PUN	(
fra	NOM	fra
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
42	NUM	@card@
''	NOM	''
;	PUN	;
18	NUM	@card@
martinez	VER:pres	martiner
(	PUN	(
fra	NOM	fra
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
44	NUM	@card@
''	NOM	''
;	PUN	;
19	NUM	@card@
mori	NOM	mori
(	PUN	(
jpn	NOM	jpn
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
56	NUM	@card@
''	NOM	''
;	PUN	;
20	NUM	@card@
bal	NOM	bal
(	PUN	(
fra	NOM	fra
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
04	NUM	@card@
''	NOM	''
;	PUN	;
21	NUM	@card@
manninen	NOM	manninen
(	PUN	(
fin	NOM	fin
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
10	NUM	@card@
;	PUN	;
27	NUM	@card@
lacroix	NOM	lacroix
(	PUN	(
fra	NOM	fra
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
38	NUM	@card@
''	NOM	''
;	PUN	;
29	NUM	@card@
lajunen	NOM	lajunen
(	PUN	(
fin	NOM	fin
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
52	NUM	@card@
''	NOM	''
;	PUN	;
31	NUM	@card@
roux	NOM	roux
(	PUN	(
fra	NOM	fra
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
54	NUM	@card@
''.	ABR	''.
