course	NOM	course
des	PRP:det	du
rois	NOM	roi
:	PUN	:
1	NUM	@card@
poncelet	NOM	poncelet
(	PUN	(
s	VER:pper	s
,	PUN	,
houdemont	NOM	houdemont
)	PUN	)
38	NUM	@card@
'	PUN	'
55	NUM	@card@
;	PUN	;
2	NUM	@card@
giannangeli	NOM	giannangeli
(	PUN	(
s	VER:pper	s
,	PUN	,
longuyon	NOM	longuyon
)	PUN	)
39	NUM	@card@
'	PUN	'
31	NUM	@card@
;	PUN	;
3	NUM	@card@
wernette	NOM	wernette
(	PUN	(
e	VER:pper	e
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
39	NUM	@card@
'	PUN	'
53	NUM	@card@
;	PUN	;
4	NUM	@card@
octozon	NOM	octozon
(	PUN	(
s	VER:pper	s
,	PUN	,
malzéville	NOM	malzéville
)	PUN	)
40	NUM	@card@
'	PUN	'
01	NUM	@card@
;	PUN	;
5	NUM	@card@
margiela	NOM	margiela
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
40	NUM	@card@
'	PUN	'
12	NUM	@card@
;	PUN	;
6	NUM	@card@
balson	NOM	balson
(	PUN	(
e	VER:pper	e
,	PUN	,
nancy	NOM	nancy
)	PUN	)
40	NUM	@card@
'	PUN	'
57	NUM	@card@
;	PUN	;
7	NUM	@card@
ludwig	NOM	ludwig
(	PUN	(
s	VER:pper	s
,	PUN	,
laneuveville	NOM	laneuveville
)	PUN	)
41	NUM	@card@
'	PUN	'
02	NUM	@card@
;	PUN	;
8	NUM	@card@
martin	NOM	martin
(	PUN	(
s	VER:pper	s
,	PUN	,
essey-les-eaux	NOM	essey-les-eaux
)	PUN	)
41	NUM	@card@
'	PUN	'
37	NUM	@card@
;	PUN	;
9	NUM	@card@
larbalétrier	NOM	larbalétrier
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
41	NUM	@card@
'	PUN	'
43	NUM	@card@
;	PUN	;
10	NUM	@card@
ricard	NOM	ricard
(	PUN	(
v	NOM	v
1,	NUM	@card@
st-max	NOM	st-max
)	PUN	)
41	NUM	@card@
'	PUN	'
50	NUM	@card@
;	PUN	;
11	NUM	@card@
da	INT	da
ponte	NOM	ponte
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
12	NUM	@card@
trébuchet	NOM	trébuchet
(	PUN	(
s	VER:pper	s
,	PUN	,
st-max	NOM	st-max
)	PUN	)
;	PUN	;
13	NUM	@card@
herrbach	NOM	herrbach
(	PUN	(
v	NOM	v
2,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
14	NUM	@card@
baumgartner	NOM	baumgartner
(	PUN	(
v	NOM	v
1,	NUM	@card@
rosières	NOM	rosière
)	PUN	)
;	PUN	;
15	NUM	@card@
bernot	NOM	bernot
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
;	PUN	;
16	NUM	@card@
henry	NOM	henry
(	PUN	(
s	VER:pper	s
,	PUN	,
hergugney	NOM	hergugney
)	PUN	)
;	PUN	;
17	NUM	@card@
hubert	NOM	hubert
(	PUN	(
v	NOM	v
1,	NUM	@card@
rosières	NOM	rosière
)	PUN	)
;	PUN	;
18	NUM	@card@
tanzi	ADJ	tanzi
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
;	PUN	;
19	NUM	@card@
caillet	NOM	caillet
(	PUN	(
v	NOM	v
2,	NUM	@card@
foug	NOM	foug
)	PUN	)
;	PUN	;
20	NUM	@card@
durand	NOM	durand
(	PUN	(
v	NOM	v
1,	NUM	@card@
houdemont	NOM	houdemont
)	PUN	)
;	PUN	;
21	NUM	@card@
bertaux	NOM	bertaux
(	PUN	(
v	NOM	v
2,	NUM	@card@
st-mihiel	NOM	st-mihiel
)	PUN	)
;	PUN	;
22	NUM	@card@
chevrolet	NOM	chevrolet
(	PUN	(
v	NOM	v
1,	NUM	@card@
seichamps	NOM	seichamps
)	PUN	)
;	PUN	;
23	NUM	@card@
roux	NOM	roux
(	PUN	(
s	VER:pper	s
,	PUN	,
commercy	NOM	commercy
)	PUN	)
;	PUN	;
24	NUM	@card@
jacquot	NOM	jacquot
(	PUN	(
j	NOM	j
,	PUN	,
chaligny	NAM	chaligny
)	PUN	)
;	PUN	;
25	NUM	@card@
kozak	NOM	kozak
(	PUN	(
s	VER:pper	s
,	PUN	,
commercy	NOM	commercy
)	PUN	)
;	PUN	;
26	NUM	@card@
fiquet	NOM	fiquet
(	PUN	(
v	NOM	v
1,	NUM	@card@
heillecourt	NOM	heillecourt
)	PUN	)
;	PUN	;
27	NUM	@card@
richard	NOM	richard
(	PUN	(
v	NOM	v
1,	NUM	@card@
chaligny	NAM	chaligny
)	PUN	)
;	PUN	;
28	NUM	@card@
roussel	NOM	roussel
(	PUN	(
s	VER:pper	s
,	PUN	,
velaine-sous-amance	NOM	velaine-sous-amance
)	PUN	)
;	PUN	;
29	NUM	@card@
galet	NOM	galet
(	PUN	(
v	NOM	v
2,	NUM	@card@
seichamps	NOM	seichamps
)	PUN	)
;	PUN	;
30	NUM	@card@
faucheur	NOM	faucheur
(	PUN	(
j	NOM	j
,	PUN	,
saulxures-lès-nancy	NOM	saulxures-lès-nancy
)	PUN	)
;	PUN	;
31	NUM	@card@
simon	NOM	simon
(	PUN	(
v	NOM	v
1,	NUM	@card@
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
)	PUN	)
;	PUN	;
32	NUM	@card@
laurent	VER:pres	laurer
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
;	PUN	;
33	NUM	@card@
rome	NOM	rome
(	PUN	(
v	NOM	v
1,	NUM	@card@
laxou	NOM	laxou
)	PUN	)
;	PUN	;
34	NUM	@card@
faivre	NOM	faivre
(	PUN	(
s	VER:pper	s
,	PUN	,
bouligny	NAM	bouligny
)	PUN	)
;	PUN	;
35	NUM	@card@
trébuchet	NOM	trébuchet
(	PUN	(
s	VER:pper	s
,	PUN	,
st-max	NOM	st-max
)	PUN	)
;	PUN	;
36	NUM	@card@
coucha	VER:simp	coucher
(	PUN	(
j	NOM	j
,	PUN	,
vand	ADJ	vand
	NOM	
uvre	NOM	uvre
)	PUN	)
;	PUN	;
37	NUM	@card@
mas	NOM	mas
(	PUN	(
v	NOM	v
1,	NUM	@card@
heillecourt	NOM	heillecourt
)	PUN	)
;	PUN	;
38	NUM	@card@
simonin	NOM	simonin
(	PUN	(
v	NOM	v
2,	NUM	@card@
bezeaumont	NOM	bezeaumont
)	PUN	)
;	PUN	;
39	NUM	@card@
didier	NOM	didier
(	PUN	(
v	NOM	v
1,	NUM	@card@
montenoy	NOM	montenoy
)	PUN	)
;	PUN	;
40	NUM	@card@
thirion	NOM	thirion
(	PUN	(
v	NOM	v
2,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
41	NUM	@card@
renard	NOM	renard
(	PUN	(
junior	ADJ	junior
)	PUN	)
;	PUN	;
42	NUM	@card@
hochstrasser	NOM	hochstrasser
(	PUN	(
e	VER:pper	e
,	PUN	,
blainville	NOM	blainville
)	PUN	)
;	PUN	;
43	NUM	@card@
maquart	NOM	maquart
(	PUN	(
v	NOM	v
1,	NUM	@card@
tomblaine	NOM	tomblaine
)	PUN	)
;	PUN	;
44	NUM	@card@
laine	NOM	laine
(	PUN	(
s	VER:pper	s
,	PUN	,
foug	NOM	foug
)	PUN	)
;	PUN	;
45	NUM	@card@
lefèvre	NOM	lefèvre
(	PUN	(
v	NOM	v
1,	NUM	@card@
ludres	NOM	ludres
)	PUN	)
;	PUN	;
46	NUM	@card@
viol	NOM	viol
(	PUN	(
s	VER:pper	s
,	PUN	,
pierreville	NOM	pierreville
)	PUN	)
;	PUN	;
47	NUM	@card@
margiela	NOM	margiela
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
;	PUN	;
48	NUM	@card@
houvion	NOM	houvion
(	PUN	(
s	VER:pper	s
,	PUN	,
essey-lès-nancy	NOM	essey-lès-nancy
)	PUN	)
;	PUN	;
49	NUM	@card@
mendes	NOM	mendes
(	PUN	(
s	VER:pper	s
,	PUN	,
lunéville	NAM	Lunéville
)	PUN	)
;	PUN	;
50	NUM	@card@
belhote	NOM	belhote
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
51	NUM	@card@
marchal	NOM	marchal
(	PUN	(
v	NOM	v
1,	NUM	@card@
ludres	NOM	ludres
)	PUN	)
;	PUN	;
52	NUM	@card@
da	INT	da
ponte	NOM	ponte
(	PUN	(
s	VER:pper	s
,	PUN	,
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
53	NUM	@card@
lacour	NOM	lacour
(	PUN	(
s	VER:pper	s
,	PUN	,
pompey	NOM	pompey
)	PUN	)
;	PUN	;
54	NUM	@card@
folley	NOM	folley
(	PUN	(
v	NOM	v
2,	NUM	@card@
st-nicolas	NOM	st-nicolas
)	PUN	)
;	PUN	;
55	NUM	@card@
laurain	NOM	laurain
(	PUN	(
v	NOM	v
2,	NUM	@card@
fléville	NOM	fléville
)	PUN	)
;	PUN	;
56	NUM	@card@
chayem	NOM	chayem
(	PUN	(
v	NOM	v
2,	NUM	@card@
nancy	NOM	nancy
)	PUN	)
;	PUN	;
57	NUM	@card@
rundhadler	NOM	rundhadler
(	PUN	(
v	NOM	v
1,	NUM	@card@
foug	NOM	foug
)	PUN	)
;	PUN	;
58	NUM	@card@
groshenry	NOM	groshenry
(	PUN	(
s	VER:pper	s
,	PUN	,
saulxures	NOM	saulxures
)	PUN	)
;	PUN	;
59	NUM	@card@
meyer	NOM	meyer
(	PUN	(
s	VER:pper	s
,	PUN	,
essey-lès-nancy	NOM	essey-lès-nancy
)	PUN	)
;	PUN	;
60	NUM	@card@
kirvelle	NOM	kirvelle
(	PUN	(
v	NOM	v
1,	NUM	@card@
pagny-sur-moselle	NOM	pagny-sur-moselle
)	PUN	)
;	PUN	;
61	NUM	@card@
gaumer	NOM	gaumer
(	PUN	(
v	NOM	v
2,	NUM	@card@
aulnoy	NOM	aulnoy
s/vertuzey	ADJ	s/vertuzey
)	PUN	)
;	PUN	;
62	NUM	@card@
clausse	NOM	clausse
(	PUN	(
s	VER:pper	s
,	PUN	,
nancy	NOM	nancy
)	PUN	)
;	PUN	;
63	NUM	@card@
pierrat	NOM	pierrat
(	PUN	(
s	VER:pper	s
,	PUN	,
freyming	NOM	freyming
)	PUN	)
;	PUN	;
64	NUM	@card@
nurdin	NOM	nurdin
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
65	NUM	@card@
darre	NOM	darre
(	PUN	(
v	NOM	v
2,	NUM	@card@
haussonville	NOM	haussonville
)	PUN	)
;	PUN	;
66	NUM	@card@
rotondo	NOM	rotondo
(	PUN	(
v	NOM	v
1,	NUM	@card@
méréville	NOM	méréville
)	PUN	)
;	PUN	;
67	NUM	@card@
heckel	NOM	heckel
(	PUN	(
v	NOM	v
1	NUM	@card@
maxéville	NOM	maxéville
)	PUN	)
;	PUN	;
68	NUM	@card@
fereire	NOM	fereire
(	PUN	(
s	VER:pper	s
,	PUN	,
laxou	NOM	laxou
)	PUN	)
;	PUN	;
69	NUM	@card@
bournon	NOM	bournon
(	PUN	(
v	NOM	v
1,	NUM	@card@
pulnoy	NOM	pulnoy
)	PUN	)
;	PUN	;
