jérôme	NOM	jérôme
chevallier	ADJ	chevallier
(	PUN	(
7	NUM	@card@
e	ADJ	e
élite	NOM	élite
)	PUN	)
:	PUN	:
«	PUN:cit	«
j'	PRO:PER	je
ai	VER:pres	avoir
trop	ADV	trop
insisté	VER:pper	insister
au	PRP:det	au
départ	NOM	départ
et	KON	et
je	PRO:PER	je
l'	PRO:PER	la|le
ai	VER:pres	avoir
vite	ADV	vite
payé	VER:pper	payer|payer
.	SENT	.
dans	PRP	dans
les	DET:ART	le
deuxième	NUM	deuxième
et	KON	et
troisième	NUM	troisième
tours	NOM	tour
,	PUN	,
j'	PRO:PER	je
étais	VER:impf	être
un	DET:ART	un
peu	ADV	peu
dans	PRP	dans
les	DET:ART	le
étoiles	NOM	étoile
donc	ADV	donc
j'	PRO:PER	je
ai	VER:pres	avoir
fait	VER:pper	faire
en	PRP	en
sorte	NOM	sorte
de	PRP	de
récupérer	VER:infi	récupérer
.	SENT	.
ensuite	ADV	ensuite
,	PUN	,
les	DET:ART	le
pros	NOM	pro
comme	KON	comme
mengin	NOM	mengin
ne	ADV	ne
m'	PRO:PER	me
aidaient	VER:impf	aider
pas	ADV	pas
mais	KON	mais
techniquement	ADV	techniquement
,	PUN	,
je	PRO:PER	je
savais	VER:impf	savoir
que	KON	que
je	PRO:PER	je
reprenais	VER:impf	reprendre
du	PRP:det	du
temps	NOM	temps
sur	PRP	sur
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
.	SENT	.
d'	PRP	de
autant	ADV	autant
que	KON	que
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
pas	ADV	pas
commis	VER:pper	commettre
d'	PRP	de
erreur	NOM	erreur
.	SENT	.
en	PRO:PER	en
rentrant	VER:ppre	rentrer
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
,	PUN	,
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
pas	ADV	pas
trop	ADV	trop
rêvé	VER:pper	rêver
car	KON	car
j'	PRO:PER	je
avais	VER:impf	avoir
fait	VER:pper	faire
beaucoup	ADV	beaucoup
d'	PRP	de
efforts	NOM	effort
.	SENT	.
septième	ADJ	septième
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
finalement	ADV	finalement
très	ADV	très
correct	ADJ	correct
pour	KON	pour
moi	PRO:PER	moi
même	ADV	même
si	ADV	si
finalement	ADV	finalement
,	PUN	,
j'	PRO:PER	je
aurais	VER:cond	avoir
pu	VER:pper	pouvoir
faire	VER:infi	faire
mieux	ADV	mieux
».	VER:cond	».
arnaud	VER:infi	arnaud
labbe	NOM	labbe
(	PUN	(
3	NUM	@card@
e	ADJ	e
élite	NOM	élite
)	PUN	)
:	PUN	:
«	PUN:cit	«
je	PRO:PER	je
ne	ADV	ne
