certains	PRO:IND	certain
lecteurs	NOM	lecteur
nous	PRO:PER	nous
ont	VER:pres	avoir
fait	VER:pper	faire
part	NOM	part
de	PRP	de
leur	DET:POS	leur
surprise	NOM	surprise
,	PUN	,
hier	ADV	hier
,	PUN	,
à	PRP	à
la	DET:ART	le
lecture	NOM	lecture
de	PRP	de
l'	DET:ART	le
article	NOM	article
consacré	VER:pper	consacrer
à	PRP	à
la	DET:ART	le
collecte	NOM	collecte
sélective	ADJ	sélectif
:	PUN	:
oui	INT	oui
,	PUN	,
les	DET:ART	le
piles	NOM	pile
usagées	ADJ	usagé
sont	VER:pres	être
bien	ADV	bien
recyclables	ADJ	recyclables
!	SENT	!
pas	ADV	pas
question	NOM	question
,	PUN	,
donc	ADV	donc
,	PUN	,
de	PRP	de
les	PRO:PER	la|le
jeter	VER:infi	jeter
à	PRP	à
la	DET:ART	le
poubelle	NOM	poubelle
...	PUN	...
leur	DET:POS	leur
place	NOM	place
n'	ADV	ne
est	VER:pres	être
toutefois	ADV	toutefois
pas	ADV	pas
non	ADV	non
plus	ADV	plus
dans	PRP	dans
les	DET:ART	le
sacs	NOM	sac
jaunes	ADJ	jaune
destinés	VER:pper	destiner
à	PRP	à
accueillir	VER:infi	accueillir
les	DET:ART	le
déchets	NOM	déchet
recyclables	ADJ	recyclables
,	PUN	,
mais	KON	mais
dans	PRP	dans
les	DET:ART	le
points	NOM	point
tris	NOM	tri
spécialisés	VER:pper	spécialiser
que	KON	que
l'	PRO:PER	la|le
on	PRO:PER	on
peut	VER:pres	pouvoir
trouver	VER:infi	trouver
à	PRP	à
la	DET:ART	le
déchetterie	NOM	déchetterie
de	PRP	de
la	DET:ART	le
codecom	NOM	codecom
,	PUN	,
zone	NOM	zone
de	PRP	de
popey	NOM	popey
,	PUN	,
ou	KON	ou
dans	PRP	dans
les	DET:ART	le
supermarchés	NOM	supermarché
.	SENT	.
avec	PRP	avec
nos	DET:POS	notre
excuses	NOM	excuse
.	SENT	.
