concernant	VER:ppre	concerner
l'	DET:ART	le
impact	NOM	impact
de	PRP	de
l'	DET:ART	le
activité	NOM	activité
du	PRP:det	du
centre	NOM	centre
de	PRP	de
production	NOM	production
thermique	ADJ	thermique
de	PRP	de
blénod	NOM	blénod
sur	PRP	sur
son	DET:POS	son
environnement	NOM	environnement
,	PUN	,
daniel	ADJ	daniel
meyer	NOM	meyer
donne	VER:pres	donner
quelques	PRO:IND	quelque
précisions	NOM	précision
:	PUN	:
«	PUN:cit	«
le	DET:ART	le
cpt	ADJ	cpt
edf	NOM	edf
de	PRP	de
blénod	NOM	blénod
procèdera	VER:futu	procèdera
prochainement	ADV	prochainement
à	PRP	à
des	PRP:det	du
essais	NOM	essai
systématiques	ADJ	systématique
de	PRP	de
man	NOM	man
	ADJ	
uvrabilité	NOM	uvrabilité
de	PRP	de
soupapes	NOM	soupape
».	VER:subi	».
un	DET:ART	un
contrôle	NOM	contrôle
réglementaire	ADJ	réglementaire
destiné	VER:pper	destiner
à	PRP	à
garantir	VER:infi	garantir
la	DET:ART	le
sécurité	NOM	sécurité
des	PRP:det	du
personnes	NOM	personne
et	KON	et
des	PRP:det	du
biens	NOM	bien
.	SENT	.
«	PUN:cit	«
afin	KON	afin
que	KON	que
les	DET:ART	le
circuits	NOM	circuit
ne	ADV	ne
se	PRO:PER	se
rompent	VER:pres	rompre
pas	ADV	pas
,	PUN	,
il	PRO:PER	il
existe	VER:pres	exister
des	PRP:det	du
systèmes	NOM	système
de	PRP	de
protection	NOM	protection
qui	PRO:REL	qui
sont	VER:pres	être
les	DET:ART	le
soupapes	NOM	soupape
,	PUN	,
organes	NOM	organe
de	PRP	de
sécurité	NOM	sécurité
devant	PRP	devant
être	VER:infi	être
contrôlés	VER:pper	contrôler
périodiquement	ADV	périodiquement
car	KON	car
ils	PRO:PER	il
peuvent	VER:pres	pouvoir
monter	VER:infi	monter
en	PRP	en
pression	NOM	pression
jusqu'à	NOM	jusqu'à
500	NUM	@card@
degrés	NOM	degré
et	KON	et
170	NUM	@card@
bars	NOM	bar
.	SENT	.
lors	ADV	lors
de	PRP	de
ces	PRO:DEM	ce
tests	NOM	test
,	PUN	,
des	PRP:det	du
lâchers	NOM	lâcher
de	PRP	de
vapeurs	NOM	vapeur
peuvent	VER:pres	pouvoir
être	VER:infi	être
un	DET:ART	un
peu	ADV	peu
bruyants	ADJ	bruyant
et	KON	et
être	VER:infi	être
entendus	VER:pper	entendre
dans	PRP	dans
l'	DET:ART	le
environnement	NOM	environnement
proche	ADJ	proche
de	PRP	de
la	DET:ART	le
centrale	ADJ	central
,	PUN	,
mais	KON	mais
ne	ADV	ne
présentent	VER:pres	présenter
aucun	PRO:IND	aucun
risque	NOM	risque
pour	PRP	pour
la	DET:ART	le
population	NOM	population
»,	ADJ	»,
précise	VER:pres	préciser
le	DET:ART	le
directeur	NOM	directeur
.	SENT	.
