organisée	VER:pper	organiser
par	PRP	par
le	DET:ART	le
district	NOM	district
meuse	ADJ	meuse
,	PUN	,
la	DET:ART	le
finale	NOM	finale
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
meuse	ADJ	meuse
seniors	NOM	senior
de	PRP	de
football	NOM	football
en	PRP	en
salle	NOM	salle
(	PUN	(
futsal	ADJ	futsal
),	NOM	),
s'	PRO:PER	se
est	VER:pres	être
déroulée	VER:pper	dérouler
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
au	PRP:det	au
gymnase	NOM	gymnase
,	PUN	,
mis	VER:pper	mettre
gracieusement	ADV	gracieusement
à	PRP	à
disponibilité	NOM	disponibilité
par	PRP	par
la	DET:ART	le
municipalité	NOM	municipalité
.	SENT	.
en	PRP	en
tout	ADV	tout
,	PUN	,
ce	PRO:DEM	ce
sont	VER:pres	être
douze	NUM	douze
équipes	NOM	équipe
réparties	VER:pper	répartir
en	PRP	en
trois	NUM	trois
groupes	NOM	groupe
de	PRP	de
quatre	NUM	quatre
,	PUN	,
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
affrontées	VER:pper	affronter
pour	PRP	pour
la	DET:ART	le
poule	NOM	poule
éliminatoire	ADJ	éliminatoire
,	PUN	,
matches	NOM	match
de	PRP	de
quinze	NUM	quinze
minutes	NOM	minute
avec	PRP	avec
quatre	NUM	quatre
arbitres	NOM	arbitre
officiels	ADJ	officiel
tout	ADV	tout
au	PRP:det	au
long	NOM	long
du	PRP:det	du
tournoi	NOM	tournoi
(	PUN	(
dont	PRO:REL	dont
deux	NUM	deux
à	PRP	à
chaque	PRO:IND	chaque
match	NOM	match
).	ADJ	).
ont	VER:pres	avoir
terminé	VER:pper	terminer
premiers	NUM	premier
de	PRP	de
leur	DET:POS	leur
groupe	NOM	groupe
,	PUN	,
revigny-sur-ornain	ADJ	revigny-sur-ornain
,	PUN	,
tronville-en-barrois	ADJ	tronville-en-barrois
et	KON	et
saint-mihiel	ADJ	saint-mihiel
,	PUN	,
alors	ADV	alors
que	KON	que
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
maizey-lacroix	NOM	maizey-lacroix
meilleur	ADJ	meilleur
deuxième	NUM	deuxième
a	VER:pres	avoir
accompagné	VER:pper	accompagner
ces	PRO:DEM	ce
trois	NUM	trois
équipes	NOM	équipe
pour	PRP	pour
le	DET:ART	le
tournoi	NOM	tournoi
final	ADJ	final
.	SENT	.
en	PRP	en
demi-finales	NOM	demi-finale
,	PUN	,
victoires	NOM	victoire
de	PRP	de
revigny	NAM	revigny
sur	PRP	sur
saint-mihiel	NOM	saint-mihiel
par	PRP	par
3	NUM	@card@
à	PRP	à
1	NUM	@card@
et	KON	et
de	PRP	de
tronville	NOM	tronville
sur	PRP	sur
maizey-lacroix	NOM	maizey-lacroix
par	PRP	par
1	NUM	@card@
à	PRP	à
0	NUM	@card@
;	PUN	;
pour	PRP	pour
les	DET:ART	le
3	NUM	@card@
e	NOM	e
et	KON	et
4	NUM	@card@
e	ADJ	e
places	NOM	place
,	PUN	,
match	NOM	match
nul	ADJ	nul
2	NUM	@card@
à	PRP	à
2	NUM	@card@
entre	PRP	entre
saint-mihiel	NOM	saint-mihiel
et	KON	et
maizey-lacroix	NOM	maizey-lacroix
,	PUN	,
ce	PRO:DEM	ce
dernier	ADJ	dernier
sort	VER:pres	sortir
vainqueur	NOM	vainqueur
au	PRP:det	au
tir	NOM	tir
au	PRP:det	au
but	NOM	but
décisif	ADJ	décisif
.	SENT	.
la	DET:ART	le
finale	NOM	finale
à	PRP	à
été	NOM	été
aussi	ADV	aussi
très	ADV	très
disputée	VER:pper	disputer
sur	PRP	sur
deux	NUM	deux
fois	NOM	foi|fois
dix	NUM	dix
minutes	NOM	minute
,	PUN	,
score	NOM	score
nul	ADJ	nul
1	NUM	@card@
à	PRP	à
1	NUM	@card@
à	PRP	à
la	DET:ART	le
fin	NOM	fin
du	PRP:det	du
match	NOM	match
entre	PRP	entre
revigny	NAM	revigny
et	KON	et
tronville	NAM	tronville
,	PUN	,
ce	PRO:DEM	ce
dernier	NOM	dernier
l'	PRO:PER	la|le
emporte	VER:pres	emporter
aux	PRP:det	au
tirs	NOM	tir
au	PRP:det	au
but	NOM	but
par	PRP	par
4	NUM	@card@
à	PRP	à
3	NUM	@card@
et	KON	et
s'	PRO:PER	se
empare	VER:pres	emparer
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
meuse	ADJ	meuse
,	PUN	,
ces	PRO:DEM	ce
deux	NUM	deux
équipes	NOM	équipe
finalistes	ADJ	finaliste
sont	VER:pres	être
qualifiées	VER:pper	qualifier
pour	PRP	pour
disputer	VER:infi	disputer
la	DET:ART	le
finale	NOM	finale
régionale	ADJ	régional
de	PRP	de
lorraine	NOM	lorrain
de	PRP	de
futsal	NOM	futsal
.	SENT	.
la	DET:ART	le
remise	NOM	remise
des	PRP:det	du
coupes	NOM	coupe
et	KON	et
du	PRP:det	du
challenge	NOM	challenge
aux	PRP:det	au
deux	NUM	deux
équipes	NOM	équipe
finalistes	ADJ	finaliste
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
faite	VER:pper	faire
sur	PRP	sur
place	NOM	place
par	PRP	par
jean-louis	NOM	jean-louis
dumont	VER:futu	dumont
,	PUN	,
député	VER:pper	députer
de	PRP	de
la	DET:ART	le
meuse	NOM	meuse
,	PUN	,
et	KON	et
par	PRP	par
eric	ADJ	eric
bernardi	NOM	bernardi
,	PUN	,
maire	NOM	maire
,	PUN	,
en	PRP	en
présence	NOM	présence
de	PRP	de
janine	NOM	janine
rouvelin	ADJ	rouvelin
de	PRP	de
la	DET:ART	le
commission	NOM	commission
des	PRP:det	du
sports	NOM	sport
,	PUN	,
de	PRP	de
ceslaw	NOM	ceslaw
boléchala	NOM	boléchala
président	NOM	président
de	PRP	de
l'	DET:ART	le
asbb	NOM	asbb
football	NOM	football
,	PUN	,
et	KON	et
des	PRP:det	du
officiels	ADJ	officiel
du	PRP:det	du
district	NOM	district
à	PRP	à
la	DET:ART	le
table	NOM	table
de	PRP	de
marque	NOM	marque
.	SENT	.
toutes	PRO:IND	tout
les	DET:ART	le
autres	ADJ	autre
équipes	NOM	équipe
ont	VER:pres	avoir
reçu	VER:pper	recevoir
des	PRP:det	du
tee-shirts	NOM	tee-shirt
,	PUN	,
et	KON	et
en	PRP	en
plus	ADV	plus
celle	PRO:DEM	celui
de	PRP	de
cousances	NOM	cousances
a	VER:pres	avoir
eu	VER:pper	avoir
la	DET:ART	le
coupe	NOM	coupe
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
la	DET:ART	le
plus	ADV	plus
fair-play	NOM	fair-play
du	PRP:det	du
tournoi	NOM	tournoi
.	SENT	.
