lvétérans	NOM	lvétérans
:	PUN	:
1	NUM	@card@
-	PUN	-
luxeuil	NOM	luxeuil
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
2	NUM	@card@
-	PUN	-
noidans-les-vesoul	NOM	noidans-les-vesoul
;	PUN	;
3	NUM	@card@
-	PUN	-
lure	NOM	lure
;	PUN	;
4	NUM	@card@
-	PUN	-
luxeuil	NOM	luxeuil
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
5	NUM	@card@
-	PUN	-
luxeuil	NOM	luxeuil
(	PUN	(
3	NUM	@card@
)	PUN	)
;	PUN	;
6	NUM	@card@
-	PUN	-
genevrey	NOM	genevrey
;	PUN	;
7	NUM	@card@
-	PUN	-
faucogney	NOM	faucogney
;	PUN	;
8	NUM	@card@
-	PUN	-
ba	VER:pper	ba
116	NUM	@card@
;	PUN	;
9	NUM	@card@
-	PUN	-
luxeuil	NOM	luxeuil
(	PUN	(
4	NUM	@card@
).	ABR	).
lseniors	NOM	lseniors
quart	ADJ	quart
de	PRP	de
finale	NOM	finale
:	PUN	:
usdov	NOM	usdov
(	PUN	(
2	NUM	@card@
)	PUN	)
/	PUN	/
luxeuil	NOM	luxeuil
(	PUN	(
1	NUM	@card@
)	PUN	)
4	NUM	@card@
-	PUN	-
3	NUM	@card@
;	PUN	;
saint-loup	NOM	saint-loup
vaivre	NOM	vaivre
1	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
noidans-les-vesoul/fougerolles	NOM	noidans-les-vesoul/fougerolles
2	NUM	@card@
-	PUN	-
3	NUM	@card@
aux	PRP:det	au
tab	NOM	tab
;	PUN	;
arc-les-gray/ajel	NOM	arc-les-gray/ajel
2	NUM	@card@
-	PUN	-
1	NUM	@card@
aux	PRP:det	au
tab	NOM	tab
.	SENT	.
demi-finale	NOM	demi-finale
:	PUN	:
noidans	ADJ	noidans
bat	VER:pres	battre
usdov	NOM	usdov
(	PUN	(
2	NUM	@card@
)	PUN	)
3	NUM	@card@
à	PRP	à
1	NUM	@card@
;	PUN	;
arc	NOM	arc
bat	VER:pres	battre
saint-loup	NOM	saint-loup
aux	PRP:det	au
tab	NOM	tab
.	SENT	.
finale	ADJ	final
:	PUN	:
arc-les-gray	NOM	arc-les-gray
bat	VER:pres	battre
noidans	NOM	noidans
1	NUM	@card@
à	PRP	à
0	NUM	@card@
après	PRP	après
prolongation	NOM	prolongation
15	NUM	@card@
ans	NOM	an
:	PUN	:
1	NUM	@card@
-	PUN	-
luxeuil	NOM	luxeuil
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
2	NUM	@card@
-	PUN	-
roppe	NOM	roppe
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
-	PUN	-
froideconche	NOM	froideconche
;	PUN	;
4	NUM	@card@
-	PUN	-
luxeuil	NOM	luxeuil
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
5	NUM	@card@
-	PUN	-
usdov	NOM	usdov
;	PUN	;
6	NUM	@card@
-	PUN	-
eloyes	NOM	eloyes
;	PUN	;
7	NUM	@card@
-	PUN	-
saint-etienne-les-remiremont	NOM	saint-etienne-les-remiremont
;	PUN	;
8	NUM	@card@
-	PUN	-
rioz	NOM	rioz
;	PUN	;
9	NUM	@card@
-	PUN	-
fougerolles	NOM	fougerolles
;	PUN	;
10	NUM	@card@
-	PUN	-
roppe	NOM	roppe
(	PUN	(
2	NUM	@card@
).	ABR	).
13	NUM	@card@
ans	NOM	an
:	PUN	:
1	NUM	@card@
-	PUN	-
saint-etienne-les-remiremont	NOM	saint-etienne-les-remiremont
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
2	NUM	@card@
-	PUN	-
belfort	NOM	belfort
;	PUN	;
3	NUM	@card@
-	PUN	-
usdov	NOM	usdov
;	PUN	;
4	NUM	@card@
-	PUN	-
melisey	NOM	melisey
;	PUN	;
5	NUM	@card@
-	PUN	-
combeaufontaine	NOM	combeaufontaine
;	PUN	;
6	NUM	@card@
-	PUN	-
luxeuil	NOM	luxeuil
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
7	NUM	@card@
-	PUN	-
noidans	NOM	noidans
;	PUN	;
8	NUM	@card@
-	PUN	-
saint-etienne	NOM	saint-etienne
(	PUN	(
1	NUM	@card@
)	PUN	)
;	PUN	;
9	NUM	@card@
-	PUN	-
port-sur-saône	NOM	port-sur-saône
;	PUN	;
10	NUM	@card@
-	PUN	-
luxeuil	NOM	luxeuil
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
11	NUM	@card@
-	PUN	-
faucogney	NOM	faucogney
;	PUN	;
12	NUM	@card@
-	PUN	-
remiremont	VER:futu	remiremont
.	SENT	.
