avant-hier	ADV	avant-hier
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
intervention	NOM	intervention
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
pour	PRP	pour
une	DET:ART	un
chute	NOM	chute
sur	PRP	sur
la	DET:ART	le
voie	NOM	voie
publique	ADJ	publique
à	PRP	à
jezainville	NOM	jezainville
.	SENT	.
la	DET:ART	le
personne	NOM	personne
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
.	SENT	.
a	VER:pres	avoir
19	NUM	@card@
h	ABR	heure
,	PUN	,
sortie	NOM	sortie
(	PUN	(
annulée	VER:pper	annuler
)	PUN	)
pour	PRP	pour
renfort	NOM	renfort
à	PRP	à
toul	NOM	toul
.	SENT	.
a	VER:pres	avoir
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
nouvelle	ADJ	nouveau
intervention	NOM	intervention
pour	PRP	pour
une	DET:ART	un
fuite	NOM	fuite
d'	PRP	de
eau	NOM	eau
à	PRP	à
pont-à-mousson	NOM	pont-à-mousson
.	SENT	.
hier	ADV	hier
,	PUN	,
à	PRP	à
9	NUM	@card@
h	ABR	heure
45	NUM	@card@
intervention	NOM	intervention
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
pour	PRP	pour
une	DET:ART	un
fuite	NOM	fuite
d'	PRP	de
eau	NOM	eau
à	PRP	à
pont-à-mousson	NOM	pont-à-mousson
.	SENT	.
a	VER:pres	avoir
14	NUM	@card@
h	ABR	heure
45	NUM	@card@
sortie	NOM	sortie
pour	PRP	pour
un	DET:ART	un
accident	NOM	accident
de	PRP	de
vl	NOM	vl
seul	ADJ	seul
sur	PRP	sur
l'	DET:ART	le
autoroute	NOM	autoroute
a	VER:pres	avoir
3	NUM	@card@
1	NUM	@card@
à	PRP	à
hauteur	NOM	hauteur
de	PRP	de
lesménils	NOM	lesménils
dans	PRP	dans
le	DET:ART	le
sens	NOM	sen|sens
nancy-metz	NAM	nancy-metz
.	SENT	.
deux	NUM	deux
personnes	NOM	personne
légèrement	ADV	légèrement
blessées	VER:pper	blesser
ont	VER:pres	avoir
été	VER:pper	être
transportées	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
.	SENT	.
a	VER:pres	avoir
17	NUM	@card@
h	ABR	heure
05	NUM	@card@
intervention	NOM	intervention
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
domicile	NOM	domicile
à	PRP	à
pont-à-mousson	NOM	pont-à-mousson
(	PUN	(
personne	ADV	personne
transportée	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
la	DET:ART	le
ville	NOM	ville
).	ADJ	).
