marche	NOM	marche
aux	PRP:det	au
bestiaux	NOM	bestiaux
du	PRP:det	du
14	NUM	@card@
janvier	NOM	janvier
broutards	NOM	broutard
:	PUN	:
82	NUM	@card@
veaux	NOM	veau
:	PUN	:
117	NUM	@card@
;	PUN	;
mâles	ADJ	mâle
moins	ADV	moins
de	PRP	de
40	NUM	@card@
kg	ABR	kg
,	PUN	,
la	DET:ART	le
pièce	NOM	pièce
:	PUN	:
65	NUM	@card@
-	PUN	-
85	NUM	@card@
-	PUN	-
75	NUM	@card@
;	PUN	;
de	PRP	de
40	NUM	@card@
à	PRP	à
50	NUM	@card@
kg	ABR	kg
,	PUN	,
conformation	NOM	conformation
moyenne	ADJ	moyen
,	PUN	,
la	DET:ART	le
pièce	NOM	pièce
:	PUN	:
90	NUM	@card@
à	PRP	à
130	NUM	@card@
-	PUN	-
125	NUM	@card@
;	PUN	;
plus	ADV	plus
de	PRP	de
50	NUM	@card@
kg	ABR	kg
,	PUN	,
de	PRP	de
bonne	ADJ	bon
conformation	NOM	conformation
,	PUN	,
la	DET:ART	le
pièce	NOM	pièce
:	PUN	:
130	NUM	@card@
à	PRP	à
165	NUM	@card@
-	PUN	-
150	NUM	@card@
;	PUN	;
femelles	ADJ	femelle
:	PUN	:
la	DET:ART	le
pièce	NOM	pièce
:	PUN	:
20	NUM	@card@
à	PRP	à
80	NUM	@card@
-	PUN	-
60	NUM	@card@
moutons	NOM	mouton
:	PUN	:
agneaux	NOM	agneau
:	PUN	:
u.	ABR	u.
5.64 	NUM	@card@
;	PUN	;
r.	ABR	r.
5.18 	NUM	@card@
;	PUN	;
o.	ABR	o.
4.15	NUM	@card@
.	SENT	.
brebis	NOM	brebis
:	PUN	:
état	NOM	état
d'	PRP	de
engraissement	NOM	engraissement
:	PUN	:
r.	ABR	r.
1.52 	NUM	@card@
;	PUN	;
o.	ABR	o.
1.07 	NUM	@card@
;	PUN	;
p.	ABR	p.
0.76	NUM	@card@
.	SENT	.
cours	NOM	cour|cours
de	PRP	de
la	DET:ART	le
semaine	NOM	semaine
b	VER:futu	b
	ADJ	
ufs	NOM	ufs
:	PUN	:
17	NUM	@card@
;	PUN	;
jeunes	NOM	jeune
bovins	ADJ	bovin
:	PUN	:
3	NUM	@card@
;	PUN	;
vaches	NOM	vache
et	KON	et
génisses	NOM	génisse
:	PUN	:
111	NUM	@card@
;	PUN	;
taureaux	NOM	taureau
:	PUN	:
1	NUM	@card@
;	PUN	;
broutards	NOM	broutard
:	PUN	:
26	NUM	@card@
;	PUN	;
veaux	NOM	veau
d'	PRP	de
élevage	NOM	élevage
et	KON	et
d'	PRP	de
engraissement	NOM	engraissement
:	PUN	:
145	NUM	@card@
total	NOM	total
général	ADJ	général
:	PUN	:
303	NUM	@card@
cotation	NOM	cotation
officielle	ADJ	officiel
du	PRP:det	du
marché	NOM	marché
de	PRP	de
laneuveville-devant-bayon	NOM	laneuveville-devant-bayon
cotation	NOM	cotation
«	PUN:cit	«
europ	NOM	europ
»	PUN:cit	»
génisses	NOM	génisse
:	PUN	:
r.	ABR	r.
2.25	NUM	@card@
,	PUN	,
2.70	NUM	@card@
,	PUN	,
2.36 	NUM	@card@
;	PUN	;
o.	ABR	o.
1.85	NUM	@card@
,	PUN	,
2.10	NUM	@card@
,	PUN	,
1.95	NUM	@card@
.	SENT	.
vaches	NOM	vache
:	PUN	:
o.	ABR	o.
1.75	NUM	@card@
,	PUN	,
1.85	NUM	@card@
,	PUN	,
1.80	NUM	@card@
.	SENT	.
p.	ABR	p.
1.10	NUM	@card@
,	PUN	,
1.75	NUM	@card@
,	PUN	,
1.70	NUM	@card@
.	SENT	.
cours	NOM	cour|cours
publiés	VER:pper	publier
à	PRP	à
titre	NOM	titre
d'	PRP	de
information	NOM	information
par	PRP	par
les	DET:ART	le
opérateurs	NOM	opérateur
de	PRP	de
la	DET:ART	le
sembl	NOM	sembl
:	PUN	:
b	VER:simp	b
	ADJ	
ufs	NOM	ufs
:	PUN	:
u.	ABR	u.
2.72	NUM	@card@
,	PUN	,
2.90	NUM	@card@
,	PUN	,
2.77 	NUM	@card@
;	PUN	;
r.	ABR	r.
2.10	NUM	@card@
,	PUN	,
2.45	NUM	@card@
,	PUN	,
2.36 	NUM	@card@
;	PUN	;
o.	ABR	o.
1.77	NUM	@card@
,	PUN	,
1.90	NUM	@card@
,	PUN	,
1.83 	NUM	@card@
;	PUN	;
p.	ABR	p.
1.10	NUM	@card@
,	PUN	,
1.77	NUM	@card@
,	PUN	,
1.70	NUM	@card@
.	SENT	.
génisses	NOM	génisse
:	PUN	:
u.	ABR	u.
2.85	NUM	@card@
,	PUN	,
3.35	NUM	@card@
,	PUN	,
3.05 	NUM	@card@
;	PUN	;
p.	ABR	p.
1.10	NUM	@card@
,	PUN	,
1.75	NUM	@card@
,	PUN	,
1.70	NUM	@card@
.	SENT	.
vaches	NOM	vache
:	PUN	:
r.	ABR	r.
2.15	NUM	@card@
,	PUN	,
2.45	NUM	@card@
,	PUN	,
2.30	NUM	@card@
.	SENT	.
taureaux	NOM	taureau
:	PUN	:
r.	ABR	r.
