nancy	NOM	nancy
.	SENT	.
_	NOM	_
un	DET:ART	un
cps	NOM	cps
des	PRP:det	du
jeunes	NOM	jeune
de	PRP	de
14	NUM	@card@
ans	NOM	an
(	PUN	(
nés	VER:pper	naître
en	PRP	en
88	NUM	@card@
)	PUN	)
aura	VER:futu	avoir
lieu	NOM	lieu
mercredi	NOM	mercredi
22	NUM	@card@
janvier	NOM	janvier
à	PRP	à
madine	NOM	madine
.	SENT	.
voici	ADV	voici
la	DET:ART	le
liste	NOM	liste
des	PRP:det	du
sélectionnés	VER:pper	sélectionner
:	PUN	:
gardiens	NOM	gardien
:	PUN	:
haag	NOM	haag
(	PUN	(
asnl	NOM	asnl
)	PUN	)
;	PUN	;
tormen	NOM	tormen
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
).	ABR	).
défenseurs	NOM	défenseur
:	PUN	:
anton	NOM	anton
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
belkass	NOM	belkass
(	PUN	(
asnl	NOM	asnl
)	PUN	)
;	PUN	;
branellec	NOM	branellec
(	PUN	(
asnl	NOM	asnl
)	PUN	)
;	PUN	;
fanzel	NOM	fanzel
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
fernandes	NOM	fernandes
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
philis	NOM	philis
(	PUN	(
asnl	NOM	asnl
).	VER:ppre	).
milieux	NOM	milieu
:	PUN	:
anastassowa	NOM	anastassowa
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
andres	NOM	andres
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
bong	NOM	bong
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
formet	NOM	formet
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
houlle	NOM	houlle
(	PUN	(
l'	DET:ART	le
hôpital	NOM	hôpital
).	VER:futu	).
attaquants	ADJ	attaquant
:	PUN	:
david	NOM	david
(	PUN	(
bar-le-duc	NOM	bar-le-duc
ac	ABR	ac
)	PUN	)
;	PUN	;
diagne	NOM	diagne
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
gestede	NOM	gestede
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
)	PUN	)
;	PUN	;
novic	NOM	novic
(	PUN	(
fc	NOM	fc
metz	NAM	Metz
).	ABR	).
