le	PRO:PER	le
sa	DET:POS	son
verdun	NOM	verdun
,	PUN	,
section	NOM	section
gymnastique	ADJ	gymnastique
a	VER:pres	avoir
organisé	VER:pper	organiser
dimanche	NOM	dimanche
12	NUM	@card@
janvier	NOM	janvier
,	PUN	,
la	DET:ART	le
première	NUM	premier
compétition	NOM	compétition
de	PRP	de
l'	DET:ART	le
année	NOM	année
réservée	VER:pper	réserver
aux	PRP:det	au
jeunes	NOM	jeune
,	PUN	,
catégories	NOM	catégorie
poussines	NOM	poussine
et	KON	et
benjamines	NOM	benjamin
.	SENT	.
voici	ADV	voici
les	DET:ART	le
résultats	NOM	résultat
:	PUN	:
-	PUN	-
super	ADJ	super
tremplin	NOM	tremplin
avec	PRP	avec
135	NUM	@card@
points	NOM	point
et	KON	et
plus	ADV	plus
:	PUN	:
marion	NOM	marion
tocacceli	NOM	tocacceli
(	PUN	(
villerupt	ADJ	villerupt
)	PUN	)
;	PUN	;
sandy	NOM	sandy
mucciarelli	VER:pper	mucciarelli
(	PUN	(
villerupt	ADJ	villerupt
)	PUN	)
;	PUN	;
sophia	VER:simp	sophia
halal	ADJ	halal
(	PUN	(
villerupt	ADJ	villerupt
)	PUN	)
;	PUN	;
hind	ADJ	hind
boudiaf	NOM	boudiaf
(	PUN	(
villerupt	ADJ	villerupt
)	PUN	)
;	PUN	;
margot	NOM	margot
dautel	ADJ	dautel
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
marion	NOM	marion
bandini	NOM	bandini
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
céline	ADJ	céline
frery	NOM	frery
(	PUN	(
villerupt	ADJ	villerupt
)	PUN	)
;	PUN	;
jasmine	NOM	jasmine
dutrieux	ADJ	dutrieux
(	PUN	(
verdun	NOM	verdun
).	ADJ	).
-	PUN	-
tremplin	NOM	tremplin
d'	PRP	de
or	NOM	or
avec	PRP	avec
125	NUM	@card@
à	PRP	à
134	NUM	@card@
points	NOM	point
:	PUN	:
amandine	ADJ	amandin
chevalier	NOM	chevalier
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
hélène	NOM	hélène
bellio	ADJ	bellio
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
carolane	ADJ	carolane
klein	NOM	klein
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
camille	NOM	camille
braun	ADJ	braun
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
elodie	NOM	elodie
mare	NOM	mare
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
elodie	NOM	elodie
bak	ADJ	bak
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
laura	VER:simp	laurer
miglioli	VER:pper	miglioli
(	PUN	(
villerupt	ADJ	villerupt
)	PUN	)
;	PUN	;
alyssone	NOM	alyssone
chevalier	NOM	chevalier
(	PUN	(
verdun	ADJ	verdun
)	PUN	)
;	PUN	;
léa	VER:simp	léa
josht	NAM	josht
(	PUN	(
verdun	NOM	verdun
).	ADJ	).
-	PUN	-
tremplin	NOM	tremplin
