dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
des	PRP:det	du
rencontres	NOM	rencontre
en	PRP	en
temps	NOM	temps
scolaire	ADJ	scolaire
,	PUN	,
le	DET:ART	le
comité	NOM	comité
usep	NOM	usep
et	KON	et
la	DET:ART	le
circonscription	NOM	circonscription
de	PRP	de
vesoul-sud	NOM	vesoul-sud
a	VER:pres	avoir
programmé	VER:pper	programmer
plusieurs	PRO:IND	plusieurs
rencontres	NOM	rencontre
:	PUN	:
jeux	NOM	jeu
collectifs	ADJ	collectif
maternelles	ADJ	maternel
:	PUN	:
lundi	NOM	lundi
20	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
l'	DET:ART	le
iufm	NOM	iufm
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
et	KON	et
le	DET:ART	le
vendredi	NOM	vendredi
24	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
l'	DET:ART	le
iufm	NOM	iufm
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h.	ABR	h.
rencontre	NOM	rencontre
régularité	NOM	régularité
cycle	VER:pres	cycler
2	NUM	@card@
:	PUN	:
lundi	NOM	lundi
20	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
quincey	NOM	quincey
,	PUN	,
l'	DET:ART	le
après-midi	NOM	après-midi
et	KON	et
jeudi	NOM	jeudi
23	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
frotey	NOM	frotey
,	PUN	,
l'	DET:ART	le
après-midi	NOM	après-midi
.	SENT	.
rencontre	NOM	rencontre
endurance	NOM	endurance
cycle	VER:pres	cycler
3	NUM	@card@
:	PUN	:
mardi	INT	mardi
21	NUM	@card@
janvier	NOM	janvier
,	PUN	,
l'	DET:ART	le
après-midi	NOM	après-midi
et	KON	et
vendredi	NOM	vendredi
24	NUM	@card@
janvier	NOM	janvier
,	PUN	,
l'	DET:ART	le
après-midi	NOM	après-midi
,	PUN	,
à	PRP	à
quincey	NOM	quincey
.	SENT	.
