aqua-récré	NOM	aqua-récré
:	PUN	:
josette	NOM	josette
audart	NOM	audart
et	KON	et
ginette	NOM	ginette
ladoucette	NOM	ladoucette
,	PUN	,
pour	PRP	pour
les	DET:ART	le
3	NUM	@card@
/	PUN	/
5	NUM	@card@
ans	NOM	an
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.47	NUM	@card@
.	SENT	.
34	NUM	@card@
ecole	NOM	ecole
de	PRP	de
natation	NOM	natation
:	PUN	:
pascal	ADJ	pascal
aubriot	NOM	aubriot
et	KON	et
yannick	NOM	yannick
simon	NOM	simon
,	PUN	,
pour	PRP	pour
les	DET:ART	le
5	NUM	@card@
/	PUN	/
12	NUM	@card@
ans	NOM	an
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
77.02	NUM	@card@
.	SENT	.
72	NUM	@card@
section	NOM	section
jeunes	ADJ	jeune
:	PUN	:
yannick	NOM	yannick
simon	ADJ	simon
et	KON	et
pascal	ADJ	pascal
aubriot	NOM	aubriot
,	PUN	,
tél	ABR	téléphone
.	SENT	.
06.83	NUM	@card@
.	SENT	.
37.74	NUM	@card@
.	SENT	.
60	NUM	@card@
section	NOM	section
adultes	ADJ	adulte
:	PUN	:
ginette	NOM	ginette
ladoucette	NOM	ladoucette
et	KON	et
josette	NOM	josette
audart	NOM	audart
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.40	NUM	@card@
.	SENT	.
78	NUM	@card@
section	NOM	section
masters	NOM	masters
:	PUN	:
claire	ADJ	clair
laurent	VER:pres	laurer
et	KON	et
ghislaine	NOM	ghislaine
regnier	NOM	regnier
,	PUN	,
pour	PRP	pour
les	DET:ART	le
plus	ADV	plus
de	PRP	de
25	NUM	@card@
ans	NOM	an
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
77.02	NUM	@card@
.	SENT	.
19	NUM	@card@
section	NOM	section
aqua-gym	NOM	aqua-gym
:	PUN	:
pascal	ADJ	pascal
aubriot	NOM	aubriot
et	KON	et
didier	NOM	didier
casano	ADJ	casano
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
77.02	NUM	@card@
.	SENT	.
72	NUM	@card@
