maël	NAM	maël
conus	NOM	conus
est	VER:pres	être
le	DET:ART	le
dernier	ADJ	dernier
bébé	NOM	bébé
de	PRP	de
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
à	PRP	à
être	VER:infi	être
né	VER:pper	naître
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
régionale	ADJ	régional
de	PRP	de
nancy	NOM	nancy
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
31	NUM	@card@
décembre	NOM	décembre
à	PRP	à
23	NUM	@card@
h.	ABR	h.
35	NUM	@card@
qu'	KON	que
il	PRO:PER	il
a	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
jour	NOM	jour
.	SENT	.
en	PRP	en
ce	PRO:DEM	ce
dernier	ADJ	dernier
jour	NOM	jour
de	PRP	de
2002	NUM	@card@
il	PRO:PER	il
pesait	VER:impf	peser
3	NUM	@card@
kilos	NOM	kilo
680	NUM	@card@
et	KON	et
mesurait	VER:impf	mesurer
51	NUM	@card@
centimètres	NOM	centimètre
.	SENT	.
sa	DET:POS	son
petite	ADJ	petit
s	NOM	s
	ADJ	
ur	VER:simp	ur
de	PRP	de
2	NUM	@card@
ans	NOM	an
,	PUN	,
gwenaëlle	VER:pper	gwenaëlle
,	PUN	,
est	VER:pres	être
ravie	VER:pper	ravir
de	PRP	de
sa	DET:POS	son
venue	NOM	venu|venue
.	SENT	.
quant	PRP	quant
à	PRP	à
son	DET:POS	son
papa	NOM	papa
loïc	ADJ	loïc
et	KON	et
sa	DET:POS	son
maman	NOM	maman
sandrine	NOM	sandrine
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
naturellement	ADV	naturellement
enchantés	VER:pper	enchanter
.	SENT	.
tous	PRO:IND	tout
demeurent	VER:pres	demeurer
à	PRP	à
la	DET:ART	le
haute	ADJ	haut
malgrange	NOM	malgrange
.	SENT	.
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
à	PRP	à
toute	PRO:IND	tout
la	DET:ART	le
famille	NOM	famille
.	SENT	.
