suivant	VER:ppre	suivre
la	DET:ART	le
coutume	NOM	coutume
depuis	PRP	depuis
trois	NUM	trois
siècles	NOM	siècle
,	PUN	,
eut	VER:simp	avoir
lieu	NOM	lieu
dernièrement	ADV	dernièrement
la	DET:ART	le
cérémonie	NOM	cérémonie
du	PRP:det	du
saint-nom-de-jésus	NOM	saint-nom-de-jésus
.	SENT	.
celle-ci	ADJ	celle-ci
consiste	VER:pres	consister
à	PRP	à
accueillir	VER:infi	accueillir
chez	PRP	chez
soi	PRO:PER	soi
et	KON	et
pour	PRP	pour
un	DET:ART	un
an	NOM	an
,	PUN	,
la	DET:ART	le
statuette	NOM	statuette
de	PRP	de
l'	DET:ART	le
enfant	NOM	enfant
jésus	NOM	jésus
.	SENT	.
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
ce	PRO:DEM	ce
sont	VER:pres	être
blanche	ADJ	blanc
et	KON	et
serge	NOM	serge
daigre	ADJ	daigre
qui	PRO:REL	qui
ont	VER:pres	avoir
transmis	VER:pper	transmettre
«	PUN:cit	«
le	DET:ART	le
petit	ADJ	petit
jésus	NOM	jésus
»	PUN:cit	»
à	PRP	à
laure	NOM	laure
et	KON	et
gilbert	NOM	gilbert
lepinte	ADJ	lepinte
qui	PRO:REL	qui
le	PRO:PER	le
garderont	VER:futu	garder
chez	PRP	chez
eux	PRO:PER	eux
pendant	PRP	pendant
un	DET:ART	un
an	NOM	an
.	SENT	.
ensuite	ADV	ensuite
les	DET:ART	le
deux	NUM	deux
familles	NOM	famille
se	PRO:PER	se
sont	VER:pres	être
retrouvées	VER:pper	retrouver
autour	ADV	autour
d'	PRP	de
un	DET:ART	un
bon	ADJ	bon
repas	NOM	repas
en	PRP	en
signe	NOM	signe
de	PRP	de
paix	NOM	paix
et	KON	et
de	PRP	de
bonheur	NOM	bonheur
pour	PRP	pour
2003	NUM	@card@
