constatant	VER:ppre	constater
un	DET:ART	un
manque	NOM	manque
de	PRP	de
pression	NOM	pression
sur	PRP	sur
le	DET:ART	le
secteur	NOM	secteur
de	PRP	de
bois-l'abbé	NOM	bois-l'abbé
et	KON	et
une	DET:ART	un
baisse	NOM	baisse
sensible	ADJ	sensible
du	PRP:det	du
niveau	NOM	niveau
dans	PRP	dans
le	DET:ART	le
réservoir	NOM	réservoir
de	PRP	de
la	DET:ART	le
godelle	NOM	godelle
,	PUN	,
les	DET:ART	le
services	NOM	service
du	PRP:det	du
syndicat	NOM	syndicat
des	PRP:det	du
eaux	NOM	eau
de	PRP	de
l'	DET:ART	le
avière	NOM	avière
ont	VER:pres	avoir
immédiatement	ADV	immédiatement
suspecté	VER:pper	suspecter
la	DET:ART	le
présence	NOM	présence
d'	PRP	de
une	DET:ART	un
fuite	NOM	fuite
sur	PRP	sur
la	DET:ART	le
réseau	NOM	réseau
.	SENT	.
finalement	ADV	finalement
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
écoulement	NOM	écoulement
anormal	ADJ	anormal
en	PRP	en
surface	NOM	surface
rue	NOM	rue
de	PRP	de
la	DET:ART	le
ménère	NOM	ménère
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
permis	VER:pper	permettre
au	PRP:det	au
fontainier	NOM	fontainier
de	PRP	de
répèrer	VER:infi	répèrer
la	DET:ART	le
fuite	NOM	fuite
mercredi	NOM	mercredi
en	PRP	en
fin	NOM	fin
de	PRP	de
journée	NOM	journée
.	SENT	.
rapidement	ADV	rapidement
sur	PRP	sur
place	NOM	place
,	PUN	,
le	DET:ART	le
dépanneur	NOM	dépanneur
a	VER:pres	avoir
ouvert	VER:pper	ouvrir
une	DET:ART	un
fouille	NOM	fouille
sur	PRP	sur
la	DET:ART	le
voie	NOM	voie
,	PUN	,
quasiment	ADV	quasiment
sous	PRP	sous
le	DET:ART	le
caniveau	NOM	caniveau
et	KON	et
la	DET:ART	le
bordure	NOM	bordure
de	PRP	de
trottoir	NOM	trottoir
.	SENT	.
après	PRP	après
une	DET:ART	un
perte	NOM	perte
de	PRP	de
pression	NOM	pression
dans	PRP	dans
la	DET:ART	le
journée	NOM	journée
,	PUN	,
une	DET:ART	un
quarantaine	NOM	quarantaine
de	PRP	de
foyers	NOM	foyer
ont	VER:pres	avoir
été	VER:pper	être
privés	VER:pper	priver
d'	PRP	de
eau	NOM	eau
durant	PRP	durant
la	DET:ART	le
réparation	NOM	réparation
,	PUN	,
mais	KON	mais
à	PRP	à
la	DET:ART	le
remise	NOM	remise
en	PRP	en
eau	NOM	eau
,	PUN	,
la	DET:ART	le
pression	NOM	pression
était	VER:impf	être
partout	ADV	partout
de	PRP	de
retour	NOM	retour
.	SENT	.
