vingt-cinq	NUM	vingt-cinq
enfants	NOM	enfant
se	PRO:PER	se
sont	VER:pres	être
retrouvés	VER:pper	retrouver
,	PUN	,
mercredi	NOM	mercredi
après-midi	NOM	après-midi
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
jean-monnet	NOM	jean-monnet
,	PUN	,
pour	PRP	pour
assister	VER:infi	assister
à	PRP	à
un	DET:ART	un
spectacle	NOM	spectacle
musical	ADJ	musical
orchestré	VER:pper	orchestrer
par	PRP	par
denis	NOM	denis
bergerot	NOM	bergerot
,	PUN	,
de	PRP	de
la	DET:ART	le
formation	NOM	formation
«	PUN:cit	«
gens	NOM	gens
de	PRP	de
lorraine	NOM	lorrain
»	PUN:cit	»
durant	PRP	durant
une	DET:ART	un
bonne	ADJ	bon
heure	NOM	heure
,	PUN	,
le	DET:ART	le
musicien	NOM	musicien
a	VER:pres	avoir
joué	VER:pper	jouer
de	PRP	de
l'	DET:ART	le
épinette	NOM	épinette
,	PUN	,
de	PRP	de
l'	DET:ART	le
orgue	NOM	orgue
de	PRP	de
barbarie	NOM	barbarie
,	PUN	,
de	PRP	de
la	DET:ART	le
vielle	NOM	vielle
et	KON	et
de	PRP	de
la	DET:ART	le
cornemuse	NOM	cornemuse
.	SENT	.
le	PRO:PER	le
tout	ADV	tout
en	PRO:PER	en
expliquant	VER:ppre	expliquer
à	PRP	à
son	DET:POS	son
jeune	ADJ	jeune
public	NOM	public
le	DET:ART	le
fonctionnement	NOM	fonctionnement
des	PRP:det	du
différents	ADJ	différent
instruments	NOM	instrument
.	SENT	.
sur	PRP	sur
des	PRP:det	du
airs	NOM	air
de	PRP	de
chansons	NOM	chanson
enfantines	ADJ	enfantin
,	PUN	,
de	PRP	de
musique	NOM	musique
traditionnelle	ADJ	traditionnel
et	KON	et
populaire	ADJ	populaire
,	PUN	,
monsieur	NOM	monsieur
bergerot	NOM	bergerot
a	VER:pres	avoir
su	VER:pper	savoir
communiquer	VER:infi	communiquer
avec	PRP	avec
son	DET:POS	son
auditoire	NOM	auditoire
par	PRP	par
la	DET:ART	le
parole	NOM	parole
et	KON	et
par	PRP	par
le	DET:ART	le
geste	NOM	geste
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
fin	NOM	fin
du	PRP:det	du
spectacle	NOM	spectacle
,	PUN	,
le	DET:ART	le
jeune	ADJ	jeune
public	NOM	public
pouvait	VER:impf	pouvoir
se	PRO:PER	se
procurer	VER:infi	procurer
les	DET:ART	le
chansons	NOM	chanson
entendues	VER:pper	entendre
,	PUN	,
un	DET:ART	un
peu	ADV	peu
plus	ADV	plus
tôt	ADV	tôt
,	PUN	,
en	PRO:PER	en
achetant	VER:ppre	acheter
cd	NOM	cd
et	KON	et
cassettes	NOM	cassette
.	SENT	.
une	DET:ART	un
excellente	ADJ	excellent
façon	NOM	façon
de	PRP	de
poursuivre	VER:infi	poursuivre
le	DET:ART	le
spectacle	NOM	spectacle
chez	PRP	chez
soi	PRO:PER	soi
.	SENT	.
