bayonville	NOM	bayonville
:	PUN	:
-	PUN	-
rétrospective	NOM	rétrospectif|rétrospective
française	ADJ	français
de	PRP	de
l'	ADJ	l'
uvre	NOM	uvre
du	PRP:det	du
peintre	NOM	peintre
claude	NOM	claude
venard	ADJ	venard
(	PUN	(
1913	NUM	@card@
-	PUN	-
1999	NUM	@card@
),	NOM	),
au	PRP:det	au
manoir	NOM	manoir
du	PRP:det	du
mad	NOM	mad
,	PUN	,
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
blenod-les-pont-a-mousson	NOM	blenod-les-pont-a-mousson
:	PUN	:
-	PUN	-
thé	NOM	thé
dansant	VER:ppre	danser
dimanche	NOM	dimanche
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
foyer	NOM	foyer
ambroise-croizat	ADJ	ambroise-croizat
.	SENT	.
dieulouard	NOM	dieulouard
:	PUN	:
-	PUN	-
fête	NOM	fête
patronale	ADJ	patronal
,	PUN	,
manèges	NOM	manège
et	KON	et
stands	NOM	stand
divers	ADJ	divers
,	PUN	,
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
sur	PRP	sur
le	DET:ART	le
parking	NOM	parking
de	PRP	de
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
-	PUN	-
soirée	NOM	soirée
loto	NOM	loto
des	PRP:det	du
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
de	PRP	de
l'	DET:ART	le
école	NOM	école
jules-verne	NOM	jules-verne
,	PUN	,
samedi	NOM	samedi
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
-	PUN	-
concours	NOM	concours
de	PRP	de
belote	NOM	belote
du	PRP:det	du
fjep	NOM	fjep
dimanche	NOM	dimanche
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
centre	NOM	centre
socioculturel	ADJ	socioculturel
.	SENT	.
inscriptions	NOM	inscription
à	PRP	à
partir	VER:infi	partir
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
jaulny	NOM	jaulny
:	PUN	:
-	PUN	-
peintures	NOM	peinture
,	PUN	,
lithographies	NOM	lithographie
,	PUN	,
aquarelles	NOM	aquarelle
,	PUN	,
encres	NOM	encre
,	PUN	,
dessins	NOM	dessin
d'	PRP	de
adrienne	ADJ	adrienne
jouclard	NOM	jouclard
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
sauf	PRP	sauf
le	DET:ART	le
lundi	NOM	lundi
au	PRP:det	au
magasin	NOM	magasin
au	PRP:det	au
vieux	ADJ	vieux
jaulny	NOM	jaulny
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
jeandelaincourt	NOM	jeandelaincourt
:	PUN	:
-	PUN	-
ciné	NOM	ciné
en	PRP	en
campagne	NOM	campagne
,	PUN	,
vendredi	NOM	vendredi
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
avec	PRP	avec
«	PUN:cit	«
la	DET:ART	le
planète	NOM	planète
au	PRP:det	au
trésor	NOM	trésor
,	PUN	,
un	DET:ART	un
nouvel	ADJ	nouveau
univers	NOM	univers
»,	ADJ	»,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
entrée	NOM	entrée
:	PUN	:
4	NUM	@card@
	NOM	
adulte	ADJ	adulte
,	PUN	,
3	NUM	@card@
	ABR	
moins	ADV	moins
de	PRP	de
15	NUM	@card@
ans	NOM	an
.	SENT	.
lesmenils	NOM	lesmenils
:	PUN	:
-	PUN	-
super	ADJ	super
loto	NOM	loto
au	PRP:det	au
profit	NOM	profit
de	PRP	de
l'	DET:ART	le
école	NOM	école
pour	PRP	pour
sourds	NOM	sourd
de	PRP	de
craïova	NOM	craïova
en	PRP	en
roumanie	NOM	roumanie
,	PUN	,
accessible	ADJ	accessible
aux	PRP:det	au
sourds	NOM	sourd
et	KON	et
malentendants	NOM	malentendant
,	PUN	,
samedi	NOM	samedi
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
socioculturelle	ADJ	socioculturel
.	SENT	.
tirage	NOM	tirage
spécial	ADJ	spécial
enfants	NOM	enfant
,	PUN	,
buvette	NOM	buvette
et	KON	et
pâtisseries	NOM	pâtisserie
.	SENT	.
loisy	NOM	loisy
:	PUN	:
-	PUN	-
soirée	NOM	soirée
café-théâtre	NOM	café-théâtre
avec	PRP	avec
les	DET:ART	le
«	PUN:cit	«
boute-en-scène	NOM	boute-en-scène
»	PUN:cit	»
de	PRP	de
millery	NOM	millery
et	KON	et
les	DET:ART	le
ateliers	NOM	atelier
percussions	NOM	percussion
,	PUN	,
musique	NOM	musique
et	KON	et
théâtre	NOM	théâtre
du	PRP:det	du
carrefour	NOM	carrefour
des	PRP:det	du
jeunes	NOM	jeune
du	PRP:det	du
grand-valmon	NOM	grand-valmon
,	PUN	,
samedi	NOM	samedi
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
couarail	NOM	couarail
.	SENT	.
réservations	NOM	réservation
:	PUN	:
03.83	NUM	@card@
.	SENT	.
83.18	NUM	@card@
.	SENT	.
90	NUM	@card@
ou	KON	ou
03.83	NUM	@card@
.	SENT	.
83.20	NUM	@card@
.	SENT	.
09	NUM	@card@
nomeny	NOM	nomeny
:	PUN	:
-	PUN	-
ciné	NOM	ciné
en	PRP	en
campagne	NOM	campagne
,	PUN	,
vendredi	NOM	vendredi
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
avec	PRP	avec
«	PUN:cit	«
la	DET:ART	le
planète	NOM	planète
au	PRP:det	au
trésor	NOM	trésor
,	PUN	,
un	DET:ART	un
nouvel	ADJ	nouveau
univers	NOM	univers
»,	ADJ	»,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
entrée	NOM	entrée
:	PUN	:
4	NUM	@card@
	NOM	
adulte	ADJ	adulte
,	PUN	,
3	NUM	@card@
	ABR	
moins	ADV	moins
de	PRP	de
