ecole	NOM	ecole
de	PRP	de
la	DET:ART	le
sainte-famille	NOM	sainte-famille
:	PUN	:
salade	NOM	salade
fraîcheur	NOM	fraîcheur
;	PUN	;
palette	NOM	palette
à	PRP	à
la	DET:ART	le
provençale	ADJ	provençal
;	PUN	;
carottes	ADJ	carotte
vichy	NOM	vichy
;	PUN	;
fondu	ADJ	fondu
président	NOM	président
;	PUN	;
méli-mélo	NOM	méli-mélo
au	PRP:det	au
sirop	NOM	sirop
.	SENT	.
maurice	ADJ	maurice
humbert	NOM	humbert
:	PUN	:
salade	NOM	salade
	ADJ	
uf	ADJ	uf
;	PUN	;
émincé	VER:pper	émincer
de	PRP	de
dinde	NOM	dinde
;	PUN	;
ebly	NOM	ebly
;	PUN	;
fromage	NOM	fromage
;	PUN	;
pâtisserie	NOM	pâtisserie
.	SENT	.
ensemble	ADV	ensemble
scolaire	ADJ	scolaire
j.	NOM	j.
-	PUN	-
b.	ABR	b.
-	PUN	-
vatelot	NOM	vatelot
:	PUN	:
crêpe	VER:pres	crêper
champignons	NOM	champignon
ou	KON	ou
céleri	NOM	céleri
;	PUN	;
filet	NOM	filet
de	PRP	de
colin	NOM	colin
à	PRP	à
la	DET:ART	le
bretonne	NOM	breton
ou	KON	ou
knack	NOM	knack
;	PUN	;
épinards	NOM	épinard
béchamel	NOM	béchamel
ou	KON	ou
pâtes	NOM	pâte
;	PUN	;
yaourt-fromage-fruit	NOM	yaourt-fromage-fruit
de	PRP	de
saison	NOM	saison
;	PUN	;
banane	NOM	banane
.	SENT	.
collèges	NOM	collège
croix-de-metz	NAM	croix-de-metz
et	KON	et
foug	NAM	foug
:	PUN	:
crudités	NOM	crudité
au	PRP:det	au
choix	NOM	choix
;	PUN	;
émincé	VER:pper	émincer
de	PRP	de
dinde	NOM	dinde
ou	KON	ou
andouillette	NOM	andouillette
;	PUN	;
ebly	NOM	ebly
ou	KON	ou
haricots	NOM	haricot
verts	ADJ	vert
;	PUN	;
fromage	NOM	fromage
;	PUN	;
pâtisserie	NOM	pâtisserie
.	SENT	.
collège	NOM	collège
j.	ABR	j.
grüber	NOM	grüber
à	PRP	à
colombey	NOM	colombey
:	PUN	:
entrées	VER:pper	entrer
;	PUN	;
palette	NOM	palette
à	PRP	à
la	DET:ART	le
diable	NOM	diable
;	PUN	;
haricots	NOM	haricot
verts	ADJ	vert
;	PUN	;
produit	NOM	produit
laitier	ADJ	laitier
;	PUN	;
gâteau	NOM	gâteau
.	SENT	.
collège	NOM	collège
et	KON	et
lycée	NOM	lycée
valcourt	ADJ	valcourt
:	PUN	:
crudités	NOM	crudité
variées	ADJ	varié
;	PUN	;
gratin	NOM	gratin
de	PRP	de
fruits	NOM	fruit
de	PRP	de
mer	NOM	mer
;	PUN	;
riz	NOM	riz
pilaf	NOM	pilaf
;	PUN	;
fromage	NOM	fromage
;	PUN	;
assortiment	NOM	assortiment
de	PRP	de
desserts	NOM	dessert
.	SENT	.
collège	NOM	collège
amiral-de-rigny	NAM	amiral-de-rigny
:	PUN	:
charcuterie	NOM	charcuterie
variée	ADJ	varié
;	PUN	;
b	VER:simp	b
	ADJ	
uf	NOM	uf
bourguignon	ADJ	bourguignon
;	PUN	;
pommes	NOM	pomme
de	PRP	de
terre	NOM	terre
;	PUN	;
fromage	NOM	fromage
;	PUN	;
compote	NOM	compote
de	PRP	de
pommes	NOM	pomme
ou	KON	ou
poires	NOM	poire
.	SENT	.
lycée	NOM	lycée
cugnot	NOM	cugnot
:	PUN	:
entrées	VER:pper	entrer
au	PRP:det	au
choix-crudités	NOM	choix-crudités
variées	ADJ	varié
;	PUN	;
blanquette	NOM	blanquette
de	PRP	de
poisson	NOM	poisson
;	PUN	;
riz	NOM	riz
;	PUN	;
fromages	NOM	fromage
;	PUN	;
assortiment	NOM	assortiment
de	PRP	de
desserts	NOM	dessert
.	SENT	.
lycée	NOM	lycée
majorelle	NOM	majorelle
:	PUN	:
entrées	VER:pper	entrer
au	PRP:det	au
choix-crudités	NOM	choix-crudités
variées	ADJ	varié
;	PUN	;
b	VER:simp	b
	ADJ	
uf	NOM	uf
massalé	VER:pper	massalé
;	PUN	;
riz	NOM	riz
blanc	ADJ	blanc
thaï	NOM	thaï
;	PUN	;
fromage	NOM	fromage
ou	KON	ou
yaourt	NOM	yaourt
;	PUN	;
dessert	NOM	dessert
au	PRP:det	au
choix	NOM	choix
ou	KON	ou
fruit	NOM	fruit
.	SENT	.
sous	PRP	sous
réserve	NOM	réserve
des	PRP:det	du
conditions	NOM	condition
d'	PRP	de
approvisionnement	NOM	approvisionnement
ou	KON	ou
de	PRP	de
perturbation	NOM	perturbation
des	PRP:det	du
services	NOM	service
.	SENT	.
