baccarat	NOM	baccarat
:	PUN	:
-	PUN	-
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
thé	NOM	thé
dansant	VER:ppre	danser
animé	VER:pper	animer
par	PRP	par
l'	DET:ART	le
orchestre	NOM	orchestre
claude	NOM	claude
michel	ADJ	michel
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
-	PUN	-
musée	NOM	musée
du	PRP:det	du
cristal	NOM	cristal
,	PUN	,
ouvert	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
badonviller	NOM	badonviller
:	PUN	:
-	PUN	-
atelier	NOM	atelier
de	PRP	de
céramique	NOM	céramique
et	KON	et
verre	NOM	verre
(	PUN	(
ancienne	ADJ	ancien
maison	NOM	maison
de	PRP	de
la	DET:ART	le
faïence	NOM	faïence
),	ADJ	),
ouvert	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
sauf	PRP	sauf
mardi	NOM	mardi
,	PUN	,
visites	NOM	visite
individuelles	ADJ	individuel
ou	KON	ou
en	PRP	en
groupe	NOM	groupe
en	PRP	en
matinée	NOM	matinée
sur	PRP	sur
réservation	NOM	réservation
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
42.19	NUM	@card@
.	SENT	.
57	NUM	@card@
barbas	VER:simp	barber
:	PUN	:
samedi	NOM	samedi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
soirée	NOM	soirée
belote	NOM	belote
à	PRP	à
la	DET:ART	le
mjc	NOM	mjc
.	SENT	.
bayon	NOM	bayon
:	PUN	:
samedi	NOM	samedi
,	PUN	,
en	PRP	en
soirée	NOM	soirée
,	PUN	,
soirée	NOM	soirée
animée	VER:pper	animer
par	PRP	par
l'	DET:ART	le
orchestre	NOM	orchestre
serge	NOM	serge
yvans	ADJ	yvans
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
blainville	NOM	blainville
:	PUN	:
samedi	NOM	samedi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
dîner	NOM	dîner
dansant	VER:ppre	danser
animé	VER:pper	animer
par	PRP	par
jean-claude	NOM	jean-claude
mausoléo	NOM	mausoléo
à	PRP	à
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
fêtes	NOM	fête
et	KON	et
de	PRP	de
la	DET:ART	le
culture	NOM	culture
.	SENT	.
blâmont	VER:futu	blâmont
:	PUN	:
-	PUN	-
château	NOM	château
de	PRP	de
blâmont	VER:futu	blâmont
,	PUN	,
ouvert	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
visites	NOM	visite
guidées	VER:pper	guider
.	SENT	.
cirey	NOM	cirey
:	PUN	:
-	PUN	-
exposition-vente	NOM	exposition-vente
des	PRP:det	du
oeuvres	NOM	œuvre
de	PRP	de
raymond	NOM	raymond
weymeskirch	NOM	weymeskirch
,	PUN	,
potier	NOM	potier
,	PUN	,
dans	PRP	dans
son	DET:POS	son
atelier	NOM	atelier
rue	VER:pres	ruer
des	PRP:det	du
chenevières	NOM	chenevières
,	PUN	,
le	DET:ART	le
samedi	NOM	samedi
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h.	ABR	h.
damelevières	NOM	damelevières
:	PUN	:
samedi	NOM	samedi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
soirée	NOM	soirée
«	PUN:cit	«
jardinage	NOM	jardinage
biologique	ADJ	biologique
»	PUN:cit	»
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
deneuvre	NOM	deneuvre
:	PUN	:
-	PUN	-
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
concert	NOM	concert
du	PRP:det	du
nouvel-an	NOM	nouvel-an
,	PUN	,
avec	PRP	avec
l'	DET:ART	le
harmonie	NOM	harmonie
municipale	ADJ	municipal
de	PRP	de
saint-dié	NOM	saint-dié
,	PUN	,
à	PRP	à
l'	DET:ART	le
église	NOM	église
saint-rémy	NOM	saint-rémy
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
-	PUN	-
musée	NOM	musée
archéologique	ADJ	archéologique
,	PUN	,
restitution	NOM	restitution
du	PRP:det	du
sanctuaire	NOM	sanctuaire
de	PRP	de
la	DET:ART	le
source	NOM	source
dédié	VER:pper	dédier
au	PRP:det	au
dieu	NOM	dieu
hercule	NOM	hercule
,	PUN	,
ouvert	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
03.83	NUM	@card@
.	SENT	.
75.22	NUM	@card@
.	SENT	.
82	NUM	@card@
fenneviller	NOM	fenneviller
:	PUN	:
-	PUN	-
musée	NOM	musée
du	PRP:det	du
vélo	NOM	vélo
,	PUN	,
dans	PRP	dans
l'	DET:ART	le
ancienne	ADJ	ancien
cour	NOM	cour
de	PRP	de
l'	DET:ART	le
école	NOM	école
communale	ADJ	communal
,	PUN	,
ouvert	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
dimanches	NOM	dimanche
et	KON	et
jours	NOM	jour
fériés	ADJ	férié
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
fontenoy-la-joute	NOM	fontenoy-la-joute
:	PUN	:
ouverture	NOM	ouverture
des	PRP:det	du
bouquinistes	NOM	bouquiniste
habituels	ADJ	habituel
.	SENT	.
froville	NOM	froville
:	PUN	:
-	PUN	-
visite	NOM	visite
du	PRP:det	du
prieuré	NOM	prieuré
,	PUN	,
église	NOM	église
romane	ADJ	roman
du	PRP:det	du
xie	NOM	xie
siècle	NOM	siècle
,	PUN	,
