dames	NOM	dame
-	PUN	-
classique	NOM	classique
16	NUM	@card@
e	NOM	e
de	PRP	de
finale	NOM	finale
:	PUN	:
c.	ABR	c.
bezault	NOM	bezault
(	PUN	(
rennes	NOM	renne
)	PUN	)
bat	VER:pres	battre
e.	NOM	e.
bois	NOM	bois
(	PUN	(
brignais	NOM	brignais
)	PUN	)
;	PUN	;
a.	ABR	a.
trayan	NOM	trayan
(	PUN	(
nîmes	VER:simp	nîmes
)	PUN	)
bat	VER:pres	battre
c.	VER:pper	c.
bailly	NOM	bailly
(	PUN	(
birenom	NOM	birenom
)	PUN	)
;	PUN	;
a.	VER:simp	a.
bablée	VER:pper	bablée
(	PUN	(
rennes	NOM	renne
)	PUN	)
bat	VER:pres	battre
c.	VER:pper	c.
evangelisti	NOM	evangelisti
(	PUN	(
nîmes	VER:simp	nîmes
)	PUN	)
;	PUN	;
j.	ABR	j.
kim	NOM	kim
wom	NOM	wom
(	PUN	(
corée	ADJ	corée
)	PUN	)
bat	VER:pres	battre
s.	VER:pper	s.
varlet	NOM	varlet
(	PUN	(
houille	NOM	houille
)	PUN	)
;	PUN	;
m.	ABR	m.
barczynski	NOM	barczynski
(	PUN	(
bondy	NOM	bondy
)	PUN	)
bat	VER:pres	battre
e.	NOM	e.
delorme	ADJ	delorme
(	PUN	(
bourg-en-bresse	NOM	bourg-en-bresse
)	PUN	)
;	PUN	;
b.	ABR	b.
schuch	NOM	schuch
(	PUN	(
brienom	NOM	brienom
)	PUN	)
bat	VER:pres	battre
v.	VER:pper	v.
durand	NOM	durand
(	PUN	(
villeurbanne	NOM	villeurbanne
)	PUN	)
;	PUN	;
a.	ABR	a.
galand	NOM	galand
(	PUN	(
marsannay	NOM	marsannay
)	PUN	)
bat	VER:pres	battre
c.	VER:pper	c.
lafaurie	VER:pper	lafaurie
(	PUN	(
soisy	NOM	soisy
)	PUN	)
;	PUN	;
j.	ABR	j.
lee	NOM	lee
hee	ADJ	hee
(	PUN	(
corée	ADJ	corée
)	PUN	)
bat	VER:pres	battre
n.	NOM	n.
serrier	ADJ	serrier
(	PUN	(
dombasle	NOM	dombasle
)	PUN	)
;	PUN	;
k.	ABR	k.
kang	NOM	kang
kylin	ADJ	kylin
(	PUN	(
corée	ADJ	corée
)	PUN	)
bat	VER:pres	battre
e.	NOM	e.
hammouche	NOM	hammouche
(	PUN	(
le	DET:ART	le
bouscat	NOM	bouscat
)	PUN	)
;	PUN	;
a.	ABR	a.
fouace	NOM	fouace
(	PUN	(
octeville	NOM	octeville
)	PUN	)
bat	VER:pres	battre
a.	VER:pper	a.
heykants	ADJ	heykants
(	PUN	(
belgique	ADJ	belgique
)	PUN	)
;	PUN	;
e.	ABR	e.
duplouy	NOM	duplouy
(	PUN	(
compiègne	NOM	compiègne
)	PUN	)
bat	VER:pres	battre
l.	VER:pper	l.
saguet	NOM	saguet
(	PUN	(
rueil	NOM	rueil
)	PUN	)
;	PUN	;
f.	ABR	f.
bourdon	NOM	bourdon
(	PUN	(
strasbourg	NOM	strasbourg
)	PUN	)
bat	VER:pres	battre
a.	VER:pper	a.
chesse	NOM	chesse
(	PUN	(
neuilly	NOM	neuilly
)	PUN	)
;	PUN	;
r.	ABR	r.
eom	NOM	eom
key	NOM	key
(	PUN	(
corée	ADJ	corée
)	PUN	)
bat	VER:pres	battre
s.	VER:pper	s.
clouet	NOM	clouet
(	PUN	(
vertus	NOM	vertu
)	PUN	)
;	PUN	;
c.	ABR	c.
lizzul-riehl	NOM	lizzul-riehl
(	PUN	(
strasbourg	NOM	strasbourg
)	PUN	)
bat	VER:pres	battre
g.	VER:pper	g.
gauthier	NOM	gauthier
(	PUN	(
chauny	NOM	chauny
)	PUN	)
;	PUN	;
h.	ABR	h.
jo	NOM	jo
min	ADJ	min
(	PUN	(
corée	ADJ	corée
)	PUN	)
bat	VER:pres	battre
a.	ABR	a.
kiener	NAM	kiener
(	PUN	(
nîmes	VER:simp	nîmes
)	PUN	)
;	PUN	;
m-c	NOM	m-c
.	SENT	.
van	NOM	van
stevens	NOM	stevens
bat	VER:pres	battre
