les	DET:ART	le
élus	NOM	élu
ont	VER:pres	avoir
désigné	VER:pper	désigner
vendredi	NOM	vendredi
soir	NOM	soir
leurs	DET:POS	leur
délégués	NOM	délégué
sénatoriaux	ADJ	sénatorial
.	SENT	.
sont	VER:pres	être
élus	VER:pper	élire
titulaires	ADJ	titulaire
:	PUN	:
ernest	ADJ	ernest
schaer	NOM	schaer
,	PUN	,
colette	NOM	colette
clerc	NOM	clerc
,	PUN	,
gilles	NOM	gille
louis	NOM	louis
et	KON	et
suppléants	ADJ	suppléant
:	PUN	:
jocelyne	ADJ	jocelyne
ferrari	NOM	ferrari
,	PUN	,
gigi	VER:pper	gigi
rinaldi	VER:pper	rinaldi
,	PUN	,
jean-marie	NOM	jean-marie
ternet	ADJ	ternet
.	SENT	.
