....	ABR	....
que	KON	que
deux	NUM	deux
étudiantes	NOM	étudiant
en	PRP	en
terminale	ADJ	terminal
travaillaient	VER:impf	travailler
actuellement	ADV	actuellement
à	PRP	à
l'	DET:ART	le
élaboration	NOM	élaboration
d'	PRP	de
un	DET:ART	un
projet	NOM	projet
de	PRP	de
classe	NOM	classe
sur	PRP	sur
«	PUN:cit	«
une	DET:ART	un
ville	NOM	ville
en	PRP	en
déclin	NOM	déclin
avec	PRP	avec
pour	PRP	pour
exemple	NOM	exemple
,	PUN	,
neufchâteau	NOM	neufchâteau
»	PUN:cit	»
!	SENT	!
une	DET:ART	un
rencontre	NOM	rencontre
est	VER:pres	être
d'	PRP	de
ores	ADV	ores
et	KON	et
déjà	ADV	déjà
prévue	VER:pper	prévoir
avec	PRP	avec
le	DET:ART	le
premier	NUM	premier
magistrat	NOM	magistrat
.	SENT	.
gageons	VER:pres	gager
que	KON	que
le	DET:ART	le
maire	NOM	maire
trouve	VER:pres	trouver
les	DET:ART	le
arguments	NOM	argument
pour	PRP	pour
obtenir	VER:infi	obtenir
des	PRP:det	du
lycéennes	NOM	lycéen
le	DET:ART	le
changement	NOM	changement
de	PRP	de
l'	DET:ART	le
intitulé	NOM	intitulé
de	PRP	de
leurs	DET:POS	leur
travaux	NOM	travail
.	SENT	.
a	VER:pres	avoir
moins	ADV	moins
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
en	PRO:PER	en
soit	VER:subp	être
pas	ADV	pas
convaincu	VER:pper	convaincre
...	PUN	...
