hors	PRP	hors
championnats	NOM	championnat
:	PUN	:
junior	ADJ	junior
s/légers	NOM	s/légers
:	PUN	:
oumri	NOM	oumri
(	PUN	(
ro	VER:simp	ro
bisontin	ADJ	bisontin
)	PUN	)
bat	VER:pres	battre
truong	NOM	truong
(	PUN	(
talant	VER:ppre	taler
,	PUN	,
côte	NOM	côte
d'	PRP	de
or	NOM	or
).	VER:subi	).
seniors	NOM	senior
moyens	ADJ	moyen
:	PUN	:
baaij	NOM	baaij
(	PUN	(
talant	VER:ppre	taler
)	PUN	)
bat	VER:pres	battre
khedim	NOM	khedim
(	PUN	(
ascap	NOM	ascap
).	VER:ppre	).
seniors	NOM	senior
mi-moyens	NOM	mi-moyen
:	PUN	:
ibrahmen	NOM	ibrahmen
(	PUN	(
ascap	NOM	ascap
)	PUN	)
bat	VER:pres	battre
lolliot	NOM	lolliot
(	PUN	(
bc	NOM	bc
dijon	NOM	dijon
).	VER:subi	).
seniors	NOM	senior
s/légers	ADJ	s/légers
:	PUN	:
saoud	NOM	saoud
(	PUN	(
ascap	NOM	ascap
)	PUN	)
bat	VER:pres	battre
fargette	NOM	fargette
(	PUN	(
ra	NOM	ra
lédonien	NOM	lédonien
).	VER:subi	).
finales	ADJ	final
des	PRP:det	du
championnats	NOM	championnat
de	PRP	de
bourgogne	NOM	bourgogne
franche-comté	ADJ	franche-comté
:	PUN	:
seniors	NOM	senior
légers	ADJ	léger
:	PUN	:
bienaimé	VER:pper	bienaimé
(	PUN	(
talant	VER:ppre	taler
)	PUN	)
bat	VER:pres	battre
mignot	NOM	mignot
(	PUN	(
ra	NOM	ra
lédonien	NOM	lédonien
)	PUN	)
seniors	NOM	senior
mi-moyens	NOM	mi-moyen
:	PUN	:
zoujaji	NOM	zoujaji
(	PUN	(
auxerre	NOM	auxerre
)	PUN	)
bat	VER:pres	battre
merdjaoui	VER:pper	merdjaoui
(	PUN	(
ascap	NOM	ascap
).	VER:ppre	).
seniors	NOM	senior
mi-lourds	NOM	mi-lourd
:	PUN	:
cadignan	NOM	cadignan
(	PUN	(
talant	VER:ppre	taler
)	PUN	)
bat	VER:pres	battre
ben	ADV	ben
abdellah	NOM	abdellah
(	PUN	(
ascap	NOM	ascap
)	PUN	)
sur	PRP	sur
blessure	NOM	blessure
.	SENT	.
seniors	NOM	senior
lourds	ADJ	lourd
:	PUN	:
souki	NOM	souki
(	PUN	(
ro	VER:simp	ro
bisontin	ADJ	bisontin
)	PUN	)
bat	VER:pres	battre
robin	ADJ	robin
(	PUN	(
bc	NOM	bc
dijon	NOM	dijon
)	PUN	)
par	PRP	par
jet	NOM	jet
d'	PRP	de
éponge	NOM	éponge
.	SENT	.
