{	ADJ	{
afinale	NOM	afinale
des	PRP:det	du
13	NUM	@card@
ans	NOM	an
luneville	NOM	luneville
.	SENT	.
_	NOM	_
hier	ADV	hier
,	PUN	,
au	PRP:det	au
gymnase	NOM	gymnase
alain-mimoun	NOM	alain-mimoun
de	PRP	de
lunéville	NAM	Lunéville
,	PUN	,
dix	NUM	dix
équipes	NOM	équipe
de	PRP	de
footballeurs	NOM	footballeur
de	PRP	de
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
,	PUN	,
précédemment	ADV	précédemment
sélectionnées	VER:pper	sélectionner
,	PUN	,
ont	VER:pres	avoir
disputé	VER:pper	disputer
avec	PRP	avec
ardeur	NOM	ardeur
la	DET:ART	le
finale	NOM	finale
districale	ADJ	districale
dont	PRO:REL	dont
voici	ADV	voici
les	DET:ART	le
résultats	NOM	résultat
:	PUN	:
eliminatoires	ADJ	eliminatoires
groupe	NOM	groupe
a	VER:pres	avoir
:	PUN	:
blainville	NOM	blainville
bat	VER:pres	battre
esls	NOM	esls
lunéville	NAM	Lunéville
2	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
ptt	NOM	ptt
nancy	NOM	nancy
bat	VER:pres	battre
heillecourt	NOM	heillecourt
1	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
blainville	NOM	blainville
bat	VER:pres	battre
heillecourt	NOM	heillecourt
4	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
pont-à-mousson-norroy-esls	NOM	pont-à-mousson-norroy-esls
0	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
ptt	NOM	ptt
nancy-esls	NOM	nancy-esls
1	NUM	@card@
-	PUN	-
1	NUM	@card@
;	PUN	;
blainville	NOM	blainville
bat	VER:pres	battre
pam-norroy	NOM	pam-norroy
2	NUM	@card@
-	PUN	-
1	NUM	@card@
;	PUN	;
esls	NOM	esls
bat	VER:pres	battre
heillecourt	NOM	heillecourt
1	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
ptt	NOM	ptt
nancy	NOM	nancy
bat	VER:pres	battre
pam-norroy	NOM	pam-norroy
1	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
blainville	NOM	blainville
et	KON	et
ptt	NOM	ptt
nancy	NOM	nancy
0	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
heillecourt	NOM	heillecourt
et	KON	et
pam	NOM	pam
norroy	NOM	norroy
0	NUM	@card@
-	PUN	-
0	NUM	@card@
eliminatoires	ADJ	eliminatoires
groupe	NOM	groupe
b	ADJ	b
:	PUN	:
ust	NOM	ust
lunéville	NAM	Lunéville
bat	VER:pres	battre
cos	NOM	cos
villers	NOM	villers
2	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
liverdun	NOM	liverdun
et	KON	et
malzéville	NOM	malzéville
0	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
bat	VER:pres	battre
ust	NOM	ust
lunéville	NAM	Lunéville
1	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
villers	NOM	villers
et	KON	et
liverdun	NOM	liverdun
0	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
ust	NOM	ust
lunéville	NAM	Lunéville
et	KON	et
malzéville	NAM	Malzéville
1	NUM	@card@
-	PUN	-
1	NUM	@card@
;	PUN	;
villers	NOM	villers
et	KON	et
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
0	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
ust	NOM	ust
lunéville	ADJ	lunéville
et	KON	et
liverdun	NOM	liverdun
0	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
malzéville	NOM	malzéville
et	KON	et
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
0	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
villers	NOM	villers
bat	VER:pres	battre
malzéville	NOM	malzéville
1	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
bat	VER:pres	battre
liverdun	NOM	liverdun
1	NUM	@card@
-	PUN	-
0	NUM	@card@
demi-finales	NOM	demi-finale
:	PUN	:
blainville	NOM	blainville
bat	VER:pres	battre
ust	NOM	ust
lunéville	NAM	Lunéville
1	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
bat	VER:pres	battre
ptt	ADJ	ptt
nancy	NOM	nancy
1	NUM	@card@
-	PUN	-
0	NUM	@card@
pour	PRP	pour
la	DET:ART	le
9	NUM	@card@
e	ADJ	e
place	NOM	place
:	PUN	:
malzéville	NOM	malzéville
bat	VER:pres	battre
heillecourt	NOM	heillecourt
aux	PRP:det	au
tab	NOM	tab
;	PUN	;
pour	KON	pour
pour	PRP	pour
la	DET:ART	le
7	NUM	@card@
e	NOM	e
:	PUN	:
pam-norroy	NOM	pam-norroy
bat	VER:pres	battre
liverdun	NOM	liverdun
2	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
pour	PRP	pour
la	DET:ART	le
5	NUM	@card@
e	NOM	e
:	PUN	:
villers	NOM	villers
bat	VER:pres	battre
esls	NOM	esls
aux	PRP:det	au
tab	NOM	tab
;	PUN	;
pour	PRP	pour
la	DET:ART	le
3	NUM	@card@
e	NOM	e
:	PUN	:
ptt	NOM	ptt
nancy	NOM	nancy
bat	VER:pres	battre
vst	NOM	vst
lunéville	ADJ	lunéville
aux	PRP:det	au
tab	NOM	tab
.	SENT	.
finale	ADJ	final
:	PUN	:
blainville	NOM	blainville
bat	VER:pres	battre
vand	ADJ	vand
	NOM	
uvre	NOM	uvre
0	NUM	@card@
-	PUN	-
0	NUM	@card@
(	PUN	(
2	NUM	@card@
tab	NOM	tab
à	PRP	à
1	NUM	@card@
).	ABR	).
composition	NOM	composition
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
blainville	NOM	blainville
qualifiée	VER:pper	qualifier
pour	PRP	pour
la	DET:ART	le
finale	NOM	finale
régionale	ADJ	régional
des	PRP:det	du
13	NUM	@card@
ans	NOM	an
,	PUN	,
à	PRP	à
algrange	NOM	algrange
,	PUN	,
le	DET:ART	le
dimanche	NOM	dimanche
2	NUM	@card@
mars	NOM	mars
:	PUN	:
fontaine	NOM	fontaine
,	PUN	,
kestel	NOM	kestel
,	PUN	,
monacelli	NOM	monacelli
,	PUN	,
convard	ADJ	convard
,	PUN	,
masson	NOM	masson
,	PUN	,
pinto	NOM	pinto
,	PUN	,
rodrigues	ADJ	rodrigues
.	SENT	.
