trois	NUM	trois
naissances	NOM	naissance
:	PUN	:
donovane	NOM	donovane
walbrecq	NOM	walbrecq
,	PUN	,
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
orée	NOM	orée
du	PRP:det	du
parc	NOM	parc
le	DET:ART	le
22	NUM	@card@
janvier	NOM	janvier
;	PUN	;
cécile	NOM	cécile
burté	VER:pper	burté
le	DET:ART	le
5	NUM	@card@
mai	NOM	mai
,	PUN	,
6	NUM	@card@
rue	NOM	rue
de	PRP	de
verdun	NOM	verdun
et	KON	et
lucas	NOM	lucas
parisot	NOM	parisot
le	DET:ART	le
14	NUM	@card@
décembre	NOM	décembre
,	PUN	,
6	NUM	@card@
rue	NOM	rue
de	PRP	de
verdun	NOM	verdun
.	SENT	.
un	DET:ART	un
décès	NOM	décès
:	PUN	:
mme	VER:simp	mme
yvette	ADJ	yvette
buchmuller	NOM	buchmuller
,	PUN	,
3	NUM	@card@
rue	NOM	rue
nationale	ADJ	national
.	SENT	.
nouveaux	NOM	nouveau
résidants	ADJ	résidant
:	PUN	:
m.	ABR	m.
damien	NOM	damien
job	NOM	job
et	KON	et
christelle	NOM	christelle
galmiche	ADJ	galmiche
,	PUN	,
22	NUM	@card@
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
orée	NOM	orée
du	PRP:det	du
parc	NOM	parc
;	PUN	;
m.	ABR	m.
thomas	NOM	thomas
mamber	ADJ	mamber
et	KON	et
karine	ADJ	karine
vatrinet	NOM	vatrinet
,	PUN	,
5	NUM	@card@
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
orée	NOM	orée
du	PRP:det	du
parc	NOM	parc
;	PUN	;
m.	ABR	m.
fromweiller	NOM	fromweiller
,	PUN	,
mme	NOM	madame
et	KON	et
leur	DET:POS	leur
fils	NOM	fil|fils
tom	NOM	tom
,	PUN	,
rue	NOM	rue
de	PRP	de
la	DET:ART	le
justice	NOM	justice
(	PUN	(
nouvelle	ADJ	nouveau
construction	NOM	construction
)	PUN	)
;	PUN	;
m.	ABR	m.
patrick	NOM	patrick
bardin	ADJ	bardin
et	KON	et
marie-françoise	NOM	marie-françoise
wackermann	ADJ	wackermann
,	PUN	,
26	NUM	@card@
rue	NOM	rue
de	PRP	de
verdun	NOM	verdun
;	PUN	;
m.	ABR	m.
sébastien	ADJ	sébastien
vuillaume	NOM	vuillaume
,	PUN	,
mme	NOM	madame
et	KON	et
leur	DET:POS	leur
fille	NOM	fille
mathilde	NAM	Mathilde
,	PUN	,
13	NUM	@card@
rue	NOM	rue
saint-laurent	ADJ	saint-laurent
.	SENT	.
deux	NUM	deux
départs	NOM	départ
:	PUN	:
m.	ABR	m.
patrice	NOM	patrice
sergio	ADJ	sergio
et	KON	et
isabelle	ADJ	isabelle
peronny	NOM	peronny
,	PUN	,
5	NUM	@card@
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
orée	NOM	orée
du	PRP:det	du
parc	NOM	parc
;	PUN	;
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
bernard	NOM	bernard
boutrou	NOM	boutrou
,	PUN	,
13	NUM	@card@
rue	NOM	rue
saint-laurent	ADJ	saint-laurent
.	SENT	.
