poursuivant	VER:ppre	poursuivre
sa	DET:POS	son
connaissance	NOM	connaissance
du	PRP:det	du
monde	NOM	monde
,	PUN	,
gray-accueil	NOM	gray-accueil
recevra	VER:futu	recevoir
mardi	NOM	mardi
21	NUM	@card@
janvier	NOM	janvier
,	PUN	,
pierre	NOM	pierre
baumann	NOM	baumann
qui	PRO:REL	qui
présentera	VER:futu	présenter
aux	PRP:det	au
membres	NOM	membre
de	PRP	de
l'	DET:ART	le
association	NOM	association
et	KON	et
à	PRP	à
leurs	DET:POS	leur
amis	NOM	ami
une	DET:ART	un
vidéo	NOM	vidéo
commentée	VER:pper	commenter
sur	PRP	sur
le	DET:ART	le
vietnam	NOM	vietnam
en	PRP	en
général	NOM	général
et	KON	et
en	PRP	en
particulier	ADJ	particulier
hanoï	NOM	hanoï
et	KON	et
la	DET:ART	le
fameuse	ADJ	fameux
baie	NOM	bai|baie
d'	PRP	de
along	NOM	along
ainsi	KON	ainsi
que	KON	que
haïphong	VER:pper	haïphong
.	SENT	.
rendez-vous	NOM	rendez-vous
est	VER:pres	être
donné	VER:pper	donner
,	PUN	,
salle	NOM	salle
108	NUM	@card@
de	PRP	de
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
,	PUN	,
19	NUM	@card@
rue	NOM	rue
victor-hugo	ADJ	victor-hugo
,	PUN	,
mardi	NOM	mardi
21	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
14	NUM	@card@
h.	ABR	h.
il	PRO:PER	il
est	VER:pres	être
rappelé	VER:pper	rappeler
que	KON	que
les	DET:ART	le
«	PUN:cit	«
mardis	NOM	mardi
de	PRP	de
gray-accueil	NOM	gray-accueil
»	PUN:cit	»
sont	VER:pres	être
ouverts	VER:pper	ouvrir
à	PRP	à
tous	PRO:IND	tout
.	SENT	.
par	PRP	par
ailleurs	ADV	ailleurs
l'	DET:ART	le
association	NOM	association
demande	VER:pres	demander
aux	PRP:det	au
personnes	NOM	personne
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
inscrites	VER:pper	inscrire
pour	PRP	pour
la	DET:ART	le
sortie	NOM	sortie
du	PRP:det	du
mardi	NOM	mardi
18	NUM	@card@
mars	NOM	mars
(	PUN	(
palais	NOM	palais
des	PRP:det	du
nations	NOM	nation
de	PRP	de
genève	NOM	genève
,	PUN	,
visite	NOM	visite
de	PRP	de
genève	NOM	genève
et	KON	et
du	PRP:det	du
musée	NOM	musée
du	PRP:det	du
fer	NOM	fer
et	KON	et
du	PRP:det	du
chemin	NOM	chemin
de	PRP	de
fer	NOM	fer
de	PRP	de
vallorbe	NOM	vallorbe
)	PUN	)
de	PRP	de
bien	ADV	bien
vouloir	VER:infi	vouloir
confirmer	VER:infi	confirmer
rapidement	ADV	rapidement
leur	DET:POS	leur
inscription	NOM	inscription
,	PUN	,
accompagnée	VER:pper	accompagner
du	PRP:det	du
règlement	NOM	règlement
du	PRP:det	du
montant	NOM	montant
de	PRP	de
la	DET:ART	le
sortie	NOM	sortie
(	PUN	(
42	NUM	@card@
	NOM	
pour	PRP	pour
les	DET:ART	le
adhérents	NOM	adhérent
,	PUN	,
46	NUM	@card@
	NOM	
pour	PRP	pour
les	DET:ART	le
non-adhérents	NOM	non-adhérents
)	PUN	)
soit	KON	soit
auprès	ADV	auprès
de	PRP	de
leurs	DET:POS	leur
responsables	ADJ	responsable
«	PUN:cit	«
ateliers	NOM	atelier
support	NOM	support
d'	PRP	de
accueil	NOM	accueil
»	PUN:cit	»
soit	KON	soit
auprès	ADV	auprès
d'	PRP	de
yvonne	NOM	yvonne
ou	KON	ou
jacques	NOM	jacque|jacques
beissel	ADJ	beissel
,	PUN	,
27	NUM	@card@
avenue	NOM	avenue
jean-dominique	ADJ	jean-dominique
,	PUN	,
70100	NUM	@card@
gray-la-ville	NOM	gray-la-ville
.	SENT	.
