germaine	ADJ	germain
decobeck	NOM	decobeck
veuve	ADJ	veuf|veuve
jeanroy	NOM	jeanroy
,	PUN	,
87	NUM	@card@
ans	NOM	an
,	PUN	,
sans	PRP	sans
profession	NOM	profession
,	PUN	,
domiciliée	VER:pper	domicilier
à	PRP	à
champagney	NOM	champagney
;	PUN	;
marie-marthe	NOM	marie-marthe
guyot	ADJ	guyot
veuve	ADJ	veuf|veuve
bernard	NOM	bernard
,	PUN	,
92	NUM	@card@
ans	NOM	an
,	PUN	,
sans	PRP	sans
profession	NOM	profession
,	PUN	,
domiciliée	VER:pper	domicilier
à	PRP	à
pusey	NOM	pusey
;	PUN	;
carmen	NOM	carmen
alice	NOM	alice
lombard	ADJ	lombard
,	PUN	,
94	NUM	@card@
ans	NOM	an
,	PUN	,
sans	PRP	sans
profession	NOM	profession
,	PUN	,
domiciliée	VER:pper	domicilier
à	PRP	à
lure	NOM	lure
;	PUN	;
noël	NOM	noël
pierre	NOM	pierre
marguet	NOM	marguet
,	PUN	,
86	NUM	@card@
ans	NOM	an
,	PUN	,
retraité	VER:pper	retraiter
,	PUN	,
domicilié	VER:pper	domicilier
à	PRP	à
lure	NOM	lure
;	PUN	;
jean-marie	NOM	jean-marie
joseph	ADJ	joseph
ryckelynck	NOM	ryckelynck
,	PUN	,
79	NUM	@card@
ans	NOM	an
,	PUN	,
retraité	VER:pper	retraiter
,	PUN	,
domicilié	VER:pper	domicilier
à	PRP	à
melisey	NOM	melisey
.	SENT	.
