ca	VER:cond	ca
y	PRO:PER	y
est	VER:pres	être
!	SENT	!
la	DET:ART	le
pétanque	NOM	pétanque
audincourtoise	ADJ	audincourtoise
vient	VER:pres	venir
d'	PRP	de
obtenir	VER:infi	obtenir
le	DET:ART	le
feu	NOM	feu
vert	ADJ	vert
de	PRP	de
sa	DET:POS	son
fédération	NOM	fédération
pour	PRP	pour
organiser	VER:infi	organiser
les	DET:ART	le
prochains	ADJ	prochain
championnats	NOM	championnat
départementaux	ADJ	départemental
en	PRP	en
doublettes	NOM	doublette
mixtes	ADJ	mixte
.	SENT	.
ce	PRO:DEM	ce
sont	VER:pres	être
donc	ADV	donc
plus	ADV	plus
de	PRP	de
trois	NUM	trois
cents	NOM	cent
licenciés	VER:pper	licencier
qui	PRO:REL	qui
se	PRO:PER	se
rencontreront	VER:futu	rencontrer
sur	PRP	sur
le	DET:ART	le
boulodrome	NOM	boulodrome
d'	PRP	de
audincourt	NOM	audincourt
le	DET:ART	le
29	NUM	@card@
mai	NOM	mai
prochain	ADJ	prochain
.	SENT	.
appréciant	VER:ppre	apprécier
sans	PRP	sans
doute	NOM	doute
la	DET:ART	le
qualité	NOM	qualité
de	PRP	de
l'	DET:ART	le
accueil	NOM	accueil
et	KON	et
le	DET:ART	le
sens	NOM	sen|sens
de	PRP	de
l'	DET:ART	le
organisation	NOM	organisation
du	PRP:det	du
club	NOM	club
local	ADJ	local
,	PUN	,
les	DET:ART	le
instances	NOM	instance
départementales	ADJ	départemental
avaient	VER:impf	avoir
aussi	ADV	aussi
choisi	VER:pper	choisir
de	PRP	de
réunir	VER:infi	réunir
leur	DET:POS	leur
assemblée	NOM	assemblée
extraordinaire	ADJ	extraordinaire
à	PRP	à
audincourt	NOM	audincourt
.	SENT	.
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
déroulée	VER:pper	dérouler
dimanche	NOM	dimanche
dernier	ADJ	dernier
.	SENT	.
toujours	ADV	toujours
prêts	ADJ	prêt
à	PRP	à
retrousser	VER:infi	retrousser
les	DET:ART	le
manches	NOM	manche
quand	KON	quand
il	PRO:PER	il
le	PRO:PER	le
faut	VER:pres	falloir
,	PUN	,
les	DET:ART	le
boulistes	NOM	bouliste
accueilleront	VER:futu	accueillir
également	ADV	également
la	DET:ART	le
grande	ADJ	grand
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
doubs	NOM	doubs
en	PRP	en
novembre	NOM	novembre
.	SENT	.
ces	PRO:DEM	ce
rendez-vous	NOM	rendez-vous
mobiliseront	VER:futu	mobiliser
une	DET:ART	un
fois	NOM	foi|fois
de	PRP	de
plus	ADV	plus
toutes	PRO:IND	tout
les	DET:ART	le
énergies	NOM	énergie
du	PRP:det	du
club	NOM	club
.	SENT	.
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
enthousiasme	NOM	enthousiasme
et	KON	et
un	DET:ART	un
brin	NOM	brin
de	PRP	de
fierté	NOM	fierté
que	KON	que
les	DET:ART	le
adhérents	NOM	adhérent
assumeront	VER:futu	assumer
ces	PRO:DEM	ce
responsabilités	NOM	responsabilité
.	SENT	.
audincourt	ADJ	audincourt
devient	VER:pres	devenir
peu	ADV	peu
à	PRP	à
peu	ADV	peu
le	DET:ART	le
carrefour	NOM	carrefour
obligé	ADJ	obligé
des	PRP:det	du
jeux	NOM	jeu
de	PRP	de
boules	NOM	boule
.	SENT	.
permanences	NOM	permanence
pour	PRP	pour
les	DET:ART	le
licences	NOM	licence
:	PUN	:
les	DET:ART	le
vendredis	NOM	vendredi
24	NUM	@card@
et	KON	et
31	NUM	@card@
janvier	NOM	janvier
de	PRP	de
17	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
et	KON	et
le	DET:ART	le
dimanche	NOM	dimanche
9	NUM	@card@
février	NOM	février
de	PRP	de
11	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
local	NOM	local
du	PRP:det	du
club	NOM	club
,	PUN	,
stade	NOM	stade
municipal	ADJ	municipal
des	PRP:det	du
cantons	NOM	canton
.	SENT	.
