messe	NOM	messe
:	PUN	:
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
clinique	NOM	clinique
médicale	ADJ	médical
brugnon-agache	NOM	brugnon-agache
,	PUN	,
à	PRP	à
beaujeu	NOM	beaujeu
.	SENT	.
assistante	NOM	assistant
sociale	ADJ	social
:	PUN	:
permanence	NOM	permanence
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
des	PRP:det	du
4	NUM	@card@
rivières	NOM	rivière
.	SENT	.
gymnastique	NOM	gymnastique
volontaire	ADJ	volontaire
:	PUN	:
séance	NOM	séance
animée	VER:pper	animer
par	PRP	par
fabienne	NOM	fabienne
salomon	NOM	salomon
,	PUN	,
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
office	NOM	office
de	PRP	de
tourisme	NOM	tourisme
:	PUN	:
du	PRP:det	du
mardi	NOM	mardi
au	PRP:det	au
samedi	NOM	samedi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
(	PUN	(
03.84	NUM	@card@
.	SENT	.
67.16	NUM	@card@
.	SENT	.
94	NUM	@card@
).	ABR	).
fanfare	NOM	fanfare
des	PRP:det	du
4	NUM	@card@
rivières	NOM	rivière
:	PUN	:
répétition	NOM	répétition
,	PUN	,
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
couyba	VER:simp	couyba
.	SENT	.
judo	NOM	judo
:	PUN	:
cours	NOM	cour|cours
pour	PRP	pour
les	DET:ART	le
10	NUM	@card@
-	PUN	-
12	NUM	@card@
ans	NOM	an
de	PRP	de
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
et	KON	et
pour	PRP	pour
les	DET:ART	le
ados	NOM	ado|ados
de	PRP	de
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
