durant	PRP	durant
les	DET:ART	le
vacances	NOM	vacance
de	PRP	de
février	NOM	février
,	PUN	,
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
l'	DET:ART	le
opération	NOM	opération
«	PUN:cit	«
a	VER:pres	avoir
tous	PRO:IND	tout
sports	NOM	sport
»,	ADJ	»,
la	DET:ART	le
ville	NOM	ville
,	PUN	,
en	PRP	en
collaboration	NOM	collaboration
avec	PRP	avec
les	DET:ART	le
clubs	NOM	club
,	PUN	,
propose	VER:pres	proposer
des	PRP:det	du
activités	NOM	activité
aux	PRP:det	au
jeunes	NOM	jeune
.	SENT	.
escrime	NOM	escrime
:	PUN	:
de	PRP	de
9	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
,	PUN	,
du	PRP:det	du
17	NUM	@card@
au	PRP:det	au
19	NUM	@card@
février	NOM	février
,	PUN	,
au	PRP:det	au
complexe	ADJ	complexe
pierre-de-coubertin	NOM	pierre-de-coubertin
.	SENT	.
lutte	NOM	lutte
:	PUN	:
de	PRP	de
6	NUM	@card@
à	PRP	à
14	NUM	@card@
ans	NOM	an
,	PUN	,
du	PRP:det	du
17	NUM	@card@
au	PRP:det	au
19	NUM	@card@
février	NOM	février
,	PUN	,
au	PRP:det	au
complexe	ADJ	complexe
pierre-de-coubertin	NOM	pierre-de-coubertin
.	SENT	.
raquettes	NOM	raquette
:	PUN	:
de	PRP	de
10	NUM	@card@
à	PRP	à
15	NUM	@card@
ans	NOM	an
,	PUN	,
les	DET:ART	le
17	NUM	@card@
et	KON	et
18	NUM	@card@
février	NOM	février
,	PUN	,
sites	NOM	site
de	PRP	de
la	DET:ART	le
malmaison	NOM	malmaison
et	KON	et
du	PRP:det	du
larmont	VER:futu	larmont
.	SENT	.
baby-activités	NOM	baby-activités
:	PUN	:
ski	NOM	ski
de	PRP	de
fond	NOM	fond
(	PUN	(
la	DET:ART	le
malmaison	NOM	malmaison
)	PUN	)
ou	KON	ou
jeux	NOM	jeu
de	PRP	de
balles	NOM	balle
et	KON	et
ballons	NOM	ballon
(	PUN	(
gymnase	NOM	gymnase
du	PRP:det	du
bas	NOM	bas
du	PRP:det	du
lycée	NOM	lycée
),	ADJ	),
de	PRP	de
6	NUM	@card@
à	PRP	à
8	NUM	@card@
ans	NOM	an
,	PUN	,
du	PRP:det	du
17	NUM	@card@
au	PRP:det	au
21	NUM	@card@
février	NOM	février
.	SENT	.
plongée	VER:pper	plonger
:	PUN	:
de	PRP	de
13	NUM	@card@
à	PRP	à
17	NUM	@card@
ans	NOM	an
,	PUN	,
du	PRP:det	du
24	NUM	@card@
au	PRP:det	au
26	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
la	DET:ART	le
piscine	NOM	piscine
georges-cuinet	ADJ	georges-cuinet
.	SENT	.
aéromodélisme	NOM	aéromodélisme
:	PUN	:
de	PRP	de
10	NUM	@card@
à	PRP	à
18	NUM	@card@
ans	NOM	an
,	PUN	,
les	DET:ART	le
24	NUM	@card@
et	KON	et
25	NUM	@card@
février	NOM	février
,	PUN	,
au	PRP:det	au
gymnase	NOM	gymnase
du	PRP:det	du
bas	NOM	bas
du	PRP:det	du
lycée	NOM	lycée
.	SENT	.
ski	NOM	ski
alpin	ADJ	alpin
:	PUN	:
de	PRP	de
8	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
,	PUN	,
du	PRP:det	du
25	NUM	@card@
au	PRP:det	au
27	NUM	@card@
février	NOM	février
,	PUN	,
au	PRP:det	au
larmont	VER:futu	larmont
«	PUN:cit	«
l'	DET:ART	le
arcan	NOM	arcan
»	PUN:cit	»
hockey	NOM	hockey
en	PRP	en
salle	NOM	salle
:	PUN	:
de	PRP	de
8	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
,	PUN	,
du	PRP:det	du
24	NUM	@card@
au	PRP:det	au
28	NUM	@card@
février	NOM	février
,	PUN	,
au	PRP:det	au
gymnase	NOM	gymnase
cordier	ADJ	cordier
.	SENT	.
les	DET:ART	le
dossiers	NOM	dossier
sont	VER:pres	être
à	PRP	à
retirer	VER:infi	retirer
dès	PRP	dès
maintenant	ADV	maintenant
.	SENT	.
inscriptions	NOM	inscription
:	PUN	:
mairie	NOM	mairie
de	PRP	de
pontarlier	NOM	pontarlier
,	PUN	,
service	NOM	service
des	PRP:det	du
sports	NOM	sport
,	PUN	,
ou	KON	ou
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
du	PRP:det	du
larmont	VER:futu	larmont
à	PRP	à
houtaud	NOM	houtaud
,	PUN	,
à	PRP	à
partir	VER:infi	partir
du	PRP:det	du
29	NUM	@card@
janvier	NOM	janvier
.	SENT	.
l'	DET:ART	le
inscription	NOM	inscription
ne	ADV	ne
sera	VER:futu	être
prise	NOM	prise
que	KON	que
sur	PRP	sur
présentation	NOM	présentation
du	PRP:det	du
dossier	NOM	dossier
complet	ADJ	complet
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
38.82	NUM	@card@
.	SENT	.
29	NUM	@card@
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
