equilibrer	VER:infi	equilibrer
le	DET:ART	le
budget	NOM	budget
fait	VER:pres	faire
partie	VER:pper	partir
des	PRP:det	du
soucis	NOM	souci
des	PRP:det	du
responsables	ADJ	responsable
de	PRP	de
l'	DET:ART	le
association	NOM	association
d'	PRP	de
aide	NOM	aide
à	PRP	à
domicile	NOM	domicile
en	PRP	en
milieu	NOM	milieu
rural	ADJ	rural
(	PUN	(
admr	NOM	admr
).	VER:pper	).
dans	PRP	dans
cet	PRO:DEM	ce
objectif	NOM	objectif
,	PUN	,
une	DET:ART	un
équipe	NOM	équipe
de	PRP	de
bénévoles	NOM	bénévole
proposera	VER:futu	proposer
les	DET:ART	le
23	NUM	@card@
24	NUM	@card@
et	KON	et
26	NUM	@card@
janvier	NOM	janvier
à	PRP	à
chaque	PRO:IND	chaque
foyer	NOM	foyer
du	PRP:det	du
val	NOM	val
de	PRP	de
gennes	NOM	gennes
des	PRP:det	du
mini-rosiers	NOM	mini-rosiers
.	SENT	.
françoise	ADJ	françoise
cairey-remonay	NOM	cairey-remonay
,	PUN	,
organisatrice	ADJ	organisateur
de	PRP	de
l'	DET:ART	le
opération	NOM	opération
,	PUN	,
accueille	VER:pres	accueillir
toutes	PRO:IND	tout
les	DET:ART	le
bonnes	ADJ	bon
volontés	NOM	volonté
pour	PRP	pour
cette	PRO:DEM	ce
collecte	NOM	collecte
de	PRP	de
fonds	NOM	fond|fonds
à	PRP	à
but	NOM	but
social	ADJ	social
.	SENT	.
