trouvé	VER:pper	trouver
le	DET:ART	le
15	NUM	@card@
janvier	NOM	janvier
,	PUN	,
dans	PRP	dans
le	DET:ART	le
quartier	NOM	quartier
du	PRP:det	du
haut	ADJ	haut
avenue	NOM	avenue
fontaine-argent	NOM	fontaine-argent
,	PUN	,
chatte	NOM	chat|chatte
,	PUN	,
2	NUM	@card@
ans	NOM	an
,	PUN	,
blanche	ADJ	blanc
,	PUN	,
tricolore	ADJ	tricolore
vers	PRP	vers
la	DET:ART	le
queue	NOM	queue
.	SENT	.
pour	PRP	pour
tous	PRO:IND	tout
renseignements	NOM	renseignement
,	PUN	,
s'	PRO:PER	se
adresser	VER:infi	adresser
à	PRP	à
la	DET:ART	le
spa	NOM	spa
au	PRP:det	au
03.81	NUM	@card@
.	SENT	.
81.17	NUM	@card@
.	SENT	.
99	NUM	@card@
