mélissa	VER:simp	mélissa
est	VER:pres	être
née	VER:pper	naître
le	DET:ART	le
13	NUM	@card@
janvier	NOM	janvier
à	PRP	à
19	NUM	@card@
h	ABR	heure
55	NUM	@card@
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
de	PRP	de
lunéville	NAM	Lunéville
.	SENT	.
c'	PRO:DEM	ce
était	VER:impf	être
un	DET:ART	un
agréable	ADJ	agréable
poupon	NOM	poupon
de	PRP	de
3,580	NUM	@card@
kg	ABR	kg
et	KON	et
50	NUM	@card@
cm	NOM	cm
.	SENT	.
elle	PRO:PER	elle
fait	VER:pres	faire
le	DET:ART	le
bonheur	NOM	bonheur
de	PRP	de
marie-hélène	NOM	marie-hélène
meydard	ADJ	meydard
,	PUN	,
caissière	NOM	caissier
et	KON	et
patrick	NOM	patrick
saporetti	VER:pper	saporetti
,	PUN	,
agent	NOM	agent
à	PRP	à
la	DET:ART	le
dde	NOM	dde
,	PUN	,
comblés	VER:pper	combler
de	PRP	de
la	PRO:PER	la
recevoir	VER:infi	recevoir
au	PRP:det	au
8	NUM	@card@
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
eglise	NOM	eglise
auprès	ADV	auprès
de	PRP	de
christopher	NOM	christopher
,	PUN	,
4	NUM	@card@
ans	NOM	an
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
.	SENT	.
