leur	DET:POS	leur
album	NOM	album
s'	PRO:PER	se
intitule	VER:pres	intituler
«	PUN:cit	«
laid	ADJ	laid
back	NOM	back
galerie	NOM	galerie
»	PUN:cit	»
on	PRO:PER	on
y	PRO:PER	y
retrouve	VER:pres	retrouver
pour	PRP	pour
la	DET:ART	le
partie	NOM	partie
vocale	ADJ	vocal
des	PRP:det	du
gens	NOM	gens
aussi	ADV	aussi
différents	ADJ	différent
et	KON	et
de	PRP	de
notoriété	NOM	notoriété
sans	PRP	sans
rapport	NOM	rapport
comme	ADV	comme
etienne	ADJ	etienne
daho	NOM	daho
,	PUN	,
johan	ADJ	johan
asherton	NOM	asherton
,	PUN	,
klima	NOM	klima
,	PUN	,
sondre	NOM	sondre
lerche	ADV	lerche
,	PUN	,
prince	NOM	prince
malachi	ADJ	malachi
,	PUN	,
matthieu	NOM	matthieu
malon	NOM	malon
,	PUN	,
jody	NOM	jody
sternberg	NOM	sternberg
.	SENT	.
pourtant	ADV	pourtant
,	PUN	,
stéphane	ADJ	stéphane
bertrand	NOM	bertrand
et	KON	et
jonathan	NOM	jonathan
chaoul	ADJ	chaoul
,	PUN	,
ceux	PRO:DEM	celui
de	PRP	de
ginger	ADJ	ginger
ale	NOM	ale
ont	VER:pres	avoir
su	VER:pper	savoir
tisser	VER:infi	tisser
un	DET:ART	un
lien	NOM	lien
entre	PRP	entre
ces	PRO:DEM	ce
mondes	NOM	monde
.	SENT	.
la	DET:ART	le
presse	NOM	presse
est	VER:pres	être
unanime	ADJ	unanime
pour	PRP	pour
saluer	VER:infi	saluer
le	DET:ART	le
talent	NOM	talent
de	PRP	de
ce	PRO:DEM	ce
duo	NOM	duo
«	PUN:cit	«
frenchy	NOM	frenchy
»	PUN:cit	»
de	PRP	de
l'	DET:ART	le
électro	ADJ	électro
.	SENT	.
avec	PRP	avec
une	DET:ART	un
culture	NOM	culture
musicale	ADJ	musical
exceptionnelle	ADJ	exceptionnel
,	PUN	,
ces	PRO:DEM	ce
«	PUN:cit	«
défricheurs	NOM	défricheur
»	PUN:cit	»
se	PRO:PER	se
sont	VER:pres	être
taillé	VER:pper	tailler
une	DET:ART	un
place	NOM	place
de	PRP	de
choix	NOM	choix
.	SENT	.
a	VER:pres	avoir
voir	VER:infi	voir
au	PRP:det	au
vertigo	NOM	vertigo
le	DET:ART	le
29	NUM	@card@
janvier	NOM	janvier
à	PRP	à
21	NUM	@card@
h.	ABR	h.
locations	NOM	location
aux	PRP:det	au
points	NOM	point
habituels	ADJ	habituel
.	SENT	.
