marc	NOM	marc
collet	NOM	collet
et	KON	et
chantal	ADJ	chantal
stirneman	NOM	stirneman
proposent	VER:pres	proposer
des	PRP:det	du
séances	NOM	séance
de	PRP	de
tennis	NOM	tennis
de	PRP	de
table	NOM	table
dans	PRP	dans
les	DET:ART	le
villages	NOM	village
du	PRP:det	du
grand-valmon	NOM	grand-valmon
.	SENT	.
pour	PRP	pour
les	DET:ART	le
villages	NOM	village
de	PRP	de
loisy	NOM	loisy
,	PUN	,
landremont	NOM	landremont
,	PUN	,
millery	NOM	millery
,	PUN	,
autreville	NOM	autreville
et	KON	et
bezaumont	NOM	bezaumont
,	PUN	,
les	DET:ART	le
séances	NOM	séance
s'	PRO:PER	se
adressent	VER:pres	adresser
aux	PRP:det	au
8	NUM	@card@
-	PUN	-
20	NUM	@card@
ans	NOM	an
et	KON	et
seront	VER:futu	être
basées	VER:pper	baser
sur	PRP	sur
le	DET:ART	le
jeu	NOM	jeu
et	KON	et
le	DET:ART	le
travail	NOM	travail
technique	ADJ	technique
.	SENT	.
l'	DET:ART	le
objectif	NOM	objectif
final	ADJ	final
est	VER:pres	être
l'	DET:ART	le
organisation	NOM	organisation
d'	PRP	de
un	DET:ART	un
challenge	NOM	challenge
intercommunal	ADJ	intercommunal
.	SENT	.
pour	PRP	pour
la	DET:ART	le
commune	NOM	commune
de	PRP	de
ville-au-val	NOM	ville-au-val
,	PUN	,
les	DET:ART	le
séances	NOM	séance
sont	VER:pres	être
réservées	VER:pper	réserver
aux	PRP:det	au
5	NUM	@card@
-	PUN	-
7	NUM	@card@
ans	NOM	an
qui	PRO:REL	qui
découvriront	VER:futu	découvrir
des	PRP:det	du
activités	NOM	activité
sportives	ADJ	sportif
par	PRP	par
des	PRP:det	du
jeux	NOM	jeu
pré-sportifs	NOM	pré-sportifs
.	SENT	.
les	DET:ART	le
horaires	NOM	horaire
:	PUN	:
loisy	NOM	loisy
le	DET:ART	le
lundi	NOM	lundi
de	PRP	de
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
;	PUN	;
landremont	VER:futu	landremont
le	DET:ART	le
jeudi	NOM	jeudi
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
;	PUN	;
millery	NOM	millery
le	DET:ART	le
mercredi	NOM	mercredi
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
autreville	NOM	autreville
le	DET:ART	le
mercredi	NOM	mercredi
de	PRP	de
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
ville-au-val	ADJ	ville-au-val
le	DET:ART	le
mercredi	NOM	mercredi
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
bezaumont	VER:futu	bezaumont
le	DET:ART	le
jeudi	NOM	jeudi
de	PRP	de
19	NUM	@card@
h	ABR	heure
10	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
10	NUM	@card@
