hommes	NOM	homme
:	PUN	:
1	NUM	@card@
marguet	NOM	marguet
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
200	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
michaud	ADJ	michaud
fidey	NOM	fidey
180	NUM	@card@
;	PUN	;
3	NUM	@card@
isenmann	ADJ	isenmann
(	PUN	(
oberhaslach	NOM	oberhaslach
)	PUN	)
170	NUM	@card@
;	PUN	;
4	NUM	@card@
roy	NOM	roy
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
167	NUM	@card@
)	PUN	)
;	PUN	;
5	NUM	@card@
jacquin	NOM	jacquin
(	PUN	(
olympic	ADJ	olympic
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
167	NUM	@card@
)	PUN	)
;	PUN	;
6	NUM	@card@
baron	NOM	baron
(	PUN	(
sc	NOM	sc
val	NOM	val
de	PRP	de
morteau	NOM	morteau
)	PUN	)
148	NUM	@card@
;	PUN	;
7	NUM	@card@
page	NOM	page
(	PUN	(
olympic	ADJ	olympic
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
146	NUM	@card@
)	PUN	)
;	PUN	;
8	NUM	@card@
raguin	NOM	raguin
(	PUN	(
olympic	ADJ	olympic
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
134	NUM	@card@
;	PUN	;
rives	NOM	rive
(	PUN	(
morteau	NOM	morteau
)	PUN	)
125	NUM	@card@
;	PUN	;
10	NUM	@card@
jeanmonnot	NOM	jeanmonnot
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
119	NUM	@card@
;	PUN	;
11	NUM	@card@
monnin	NOM	monnin
(	PUN	(
olympic	ADJ	olympic
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
118	NUM	@card@
;	PUN	;
12	NUM	@card@
coste	NOM	coste
(	PUN	(
as	VER:pres	avoir
oye-et-pallet	NOM	oye-et-pallet
)	PUN	)
115	NUM	@card@
;	PUN	;
13	NUM	@card@
chapuis	NOM	chapuis
(	PUN	(
olympic	ADJ	olympic
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
112	NUM	@card@
13	NUM	@card@
sanchez	VER:pres	sanchez
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
112	NUM	@card@
;	PUN	;
15	NUM	@card@
michaud	NOM	michaud
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
105	NUM	@card@
;	PUN	;
16	NUM	@card@
bouthiaux	NOM	bouthiaux
(	PUN	(
olympic	ADJ	olympic
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
103	NUM	@card@
;	PUN	;
16	NUM	@card@
marceau	NOM	marceau
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
103	NUM	@card@
;	PUN	;
18	NUM	@card@
jeannerod	NOM	jeannerod
(	PUN	(
as	VER:pres	avoir
mouthe	NOM	mouthe
)	PUN	)
102	NUM	@card@
;	PUN	;
19	NUM	@card@
normand	NOM	normand
(	PUN	(
as	VER:pres	avoir
oye-et-pallet	NOM	oye-et-pallet
)	PUN	)
101	NUM	@card@
;	PUN	;
20	NUM	@card@
baud	NOM	baud
(	PUN	(
les	DET:ART	le
verrières	NOM	verrière
)	PUN	)
96	NUM	@card@
;	PUN	;
20	NUM	@card@
salvi	NOM	salvi
(	PUN	(
olympic	ADJ	olympic
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
96.	ABR	@ord@
..	ABR	..
etc	ABR	etc
.	SENT	.
dames	NOM	dame
:	PUN	:
1	NUM	@card@
jouille	NOM	jouille
(	PUN	(
ess	NOM	ess
montbenoît	ADJ	montbenoît
)	PUN	)
200	NUM	@card@
;	PUN	;
2	NUM	@card@
jacquin	NOM	jacquin
(	PUN	(
olympic	ADJ	olympic
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
186	NUM	@card@
;	PUN	;
3	NUM	@card@
roy	NOM	roy
(	PUN	(
ess	NOM	ess
montbenoît	ADJ	montbenoît
)	PUN	)
180	NUM	@card@
;	PUN	;
4	NUM	@card@
guillemin	NOM	guillemin
(	PUN	(
nozeroy	NOM	nozeroy
)	PUN	)
170	NUM	@card@
;	PUN	;
5	NUM	@card@
jeantet	NOM	jeantet
(	PUN	(
septmoncel	NOM	septmoncel
)	PUN	)
162	NUM	@card@
;	PUN	;
6	NUM	@card@
guillemain	NOM	guillemain
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
151	NUM	@card@
;	PUN	;
7	NUM	@card@
blanc	ADJ	blanc
(	PUN	(
septmoncel	NOM	septmoncel
)	PUN	)
85	NUM	@card@
;	PUN	;
8	NUM	@card@
bouveret	NOM	bouveret
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
80	NUM	@card@
;	PUN	;
9	NUM	@card@
germann	NOM	germann
(	PUN	(
csr	ADJ	csr
pontarlier	NOM	pontarlier
)	PUN	)
80	NUM	@card@
;	PUN	;
10	NUM	@card@
buschier	NOM	buschier
(	PUN	(
les	DET:ART	le
menuires	NOM	menuires
)	PUN	)
77.	ABR	@ord@
..	ABR	..
etc	ABR	etc
.	SENT	.
