cs	ADJ	cs
blénod	NOM	blénod
.	SENT	.
poussins	NOM	poussin
(	PUN	(
deux	NUM	deux
équipes	NOM	équipe
)	PUN	)
cherchent	VER:pres	chercher
match	NOM	match
pour	PRP	pour
les	DET:ART	le
samedis	NOM	samedi
25	NUM	@card@
janvier	NOM	janvier
,	PUN	,
et	KON	et
8	NUM	@card@
février	NOM	février
;	PUN	;
benjamins	NOM	benjamin
(	PUN	(
deux	NUM	deux
équipes	NOM	équipe
à	PRP	à
9	NUM	@card@
)	PUN	)
pour	PRP	pour
samedi	NOM	samedi
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
;	PUN	;
13	NUM	@card@
ans	NOM	an
hr	NOM	hr
pour	PRP	pour
samedi	NOM	samedi
25	NUM	@card@
janvier	NOM	janvier
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
.	SENT	.
contacter	VER:infi	contacter
mlle	VER:futu	mlle
christinaz	NOM	christinaz
au	PRP:det	au
06.81	NUM	@card@
.	SENT	.
44.68	NUM	@card@
.	SENT	.
74	NUM	@card@
champigneulles	NOM	champigneulles
.	SENT	.
benjamins	NOM	benjamin
,	PUN	,
trois	NUM	trois
équipes	NOM	équipe
cherchent	VER:pres	chercher
match	NOM	match
pour	PRP	pour
samedi	NOM	samedi
25	NUM	@card@
janvier	NOM	janvier
.	SENT	.
tél	ABR	téléphone
:	PUN	:
06.11	NUM	@card@
.	SENT	.
77.16	NUM	@card@
.	SENT	.
32	NUM	@card@
;	PUN	;
champigneulles	VER:pres	champigneulles
moins	ADV	moins
13	NUM	@card@
ans	NOM	an
,	PUN	,
3	NUM	@card@
e	ADJ	e
division	NOM	division
,	PUN	,
cherche	VER:pres	chercher
match	NOM	match
pour	PRP	pour
samedi	NOM	samedi
25	NUM	@card@
janvier	NOM	janvier
.	SENT	.
tél	ABR	téléphone
:	PUN	:
03.83	NUM	@card@
.	SENT	.
38.27	NUM	@card@
.	SENT	.
55	NUM	@card@
us	NOM	us
vandieres	NOM	vandieres
.	SENT	.
cherche	VER:pres	chercher
match	NOM	match
pour	PRP	pour
le	DET:ART	le
25	NUM	@card@
ou	KON	ou
le	DET:ART	le
26	NUM	@card@
janvier	NOM	janvier
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
contre	PRP	contre
ppd	NOM	ppd
ou	KON	ou
1	NUM	@card@
r	NOM	r
e	VER:subi	e
division	NOM	division
.	SENT	.
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
81.57	NUM	@card@
.	SENT	.
47	NUM	@card@
ou	KON	ou
06.84	NUM	@card@
.	SENT	.
58.90	NUM	@card@
.	SENT	.
59	NUM	@card@
pagny-sur-moselle	NOM	pagny-sur-moselle
.	SENT	.
15	NUM	@card@
ans	NOM	an
,	PUN	,
à	PRP	à
domicile	NOM	domicile
,	PUN	,
ce	PRO:DEM	ce
samedi	NOM	samedi
.	SENT	.
tél	ABR	téléphone
:	PUN	:
06.81	NUM	@card@
.	SENT	.
87.30	NUM	@card@
.	SENT	.
53	NUM	@card@
belleau	NOM	belleau
.	SENT	.
pour	PRP	pour
samedi	NOM	samedi
25	NUM	@card@
janvier	NOM	janvier
2003	NUM	@card@
équipe	NOM	équipe
13	NUM	@card@
ans	NOM	an
,	PUN	,
3	NUM	@card@
e	ADJ	e
division	NOM	division
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
pour	PRP	pour
dimanche	NOM	dimanche
26	NUM	@card@
janvier	NOM	janvier
,	PUN	,
équipe	NOM	équipe
1	NUM	@card@
b	NOM	b
contre	PRP	contre
2	NUM	@card@
e	ADJ	e
division	NOM	division
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
équipe	NOM	équipe
1	NUM	@card@
a,	NOM	a,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
contre	PRP	contre
ppd	NOM	ppd
:	PUN	:
matches	NOM	match
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
.	SENT	.
tél	ABR	téléphone
:	PUN	:
03.83	NUM	@card@
.	SENT	.
49.12	NUM	@card@
.	SENT	.
18	NUM	@card@
fc	NOM	fc
richardménil-flavigny-méréville	NOM	richardménil-flavigny-méréville
.	SENT	.
poussins	NOM	poussin
,	PUN	,
2	NUM	@card@
équipes	NOM	équipe
,	PUN	,
les	DET:ART	le
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
8	NUM	@card@
15	NUM	@card@
février	NOM	février
et	KON	et
8	NUM	@card@
mars	NOM	mars
2003	NUM	@card@
benjamins	NOM	benjamin
,	PUN	,
le	DET:ART	le
8	NUM	@card@
mars	NOM	mars
,	PUN	,
deux	NUM	deux
équipes	NOM	équipe
.	SENT	.
13	NUM	@card@
ans	NOM	an
,	PUN	,
1	NUM	@card@
è	NOM	è
re	VER:subi	re
division	NOM	division
ou	KON	ou
2	NUM	@card@
e	ADJ	e
division	NOM	division
,	PUN	,
les	DET:ART	le
25	NUM	@card@
janvier	NOM	janvier
et	KON	et
8	NUM	@card@
mars	NOM	mars
;	PUN	;
13	NUM	@card@
ans	NOM	an
b	ADJ	b
,	PUN	,
3	NUM	@card@
e	ADJ	e
division	NOM	division
,	PUN	,
les	DET:ART	le
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
8	NUM	@card@
et	KON	et
15	NUM	@card@
février	NOM	février
2003	NUM	@card@
tél	ABR	téléphone
:	PUN	:
m.	ABR	m.
renard	NOM	renard
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
25.67	NUM	@card@
.	SENT	.
97	NUM	@card@
ou	KON	ou
06.12	NUM	@card@
.	SENT	.
81.17	NUM	@card@
.	SENT	.
21	NUM	@card@
