pluie	NOM	pluie
de	PRP	de
médailles	NOM	médaille
et	KON	et
d'	PRP	de
accessits	NOM	accessit
pour	PRP	pour
gray-natation	NOM	gray-natation
lors	ADV	lors
de	PRP	de
la	DET:ART	le
3	NUM	@card@
e	ADJ	e
étape	NOM	étape
du	PRP:det	du
circuit	NOM	circuit
régional	ADJ	régional
avec	PRP	avec
,	PUN	,
en	PRP	en
particulier	NOM	particulier
,	PUN	,
quatre	NUM	quatre
médailles	NOM	médaille
d'	PRP	de
or	NOM	or
dont	PRO:REL	dont
deux	NUM	deux
«	PUN:cit	«
doublés	NOM	doublé
»	PUN:cit	»
pour	PRP	pour
romain	ADJ	romain
jeanneret	NOM	jeanneret
et	KON	et
thomas	NOM	thomas
andré	ADJ	andré
sur	PRP	sur
les	DET:ART	le
200	NUM	@card@
et	KON	et
400	NUM	@card@
nage	NOM	nage
libre	ADJ	libre
en	PRP	en
juniors-seniors	NOM	juniors-seniors
.	SENT	.
les	DET:ART	le
autres	ADJ	autre
victoires	NOM	victoire
:	PUN	:
anaïs	NOM	anaïs
clémençot	NOM	clémençot
sur	PRP	sur
le	DET:ART	le
400	NUM	@card@
libre	ADJ	libre
junior-sénior	NOM	junior-sénior
et	KON	et
anthony	NOM	anthony
mainier	ADJ	mainier
sur	PRP	sur
le	DET:ART	le
200	NUM	@card@
quatre	NUM	quatre
nages	NOM	nage
junior-senior	NOM	junior-senior
.	SENT	.
dans	PRP	dans
les	DET:ART	le
moissons	NOM	moisson
également	ADV	également
,	PUN	,
17	NUM	@card@
médailles	NOM	médaille
d'	PRP	de
argent	NOM	argent
avec	ADV	avec
,	PUN	,
chez	PRP	chez
les	DET:ART	le
filles	NOM	fille
,	PUN	,
julie	NOM	julie
pillot	NOM	pillot
en	PRP	en
cadette	NOM	cadet
(	PUN	(
100	NUM	@card@
brasse	NOM	brasse
,	PUN	,
200	NUM	@card@
et	KON	et
400	NUM	@card@
libre	ADJ	libre
),	NOM	),
laetitia	VER:simp	laetitia
brisard	NOM	brisard
en	PRP	en
cadet	NOM	cadet
(	PUN	(
50	NUM	@card@
brasse	NOM	brasse
),	ADJ	),
charline	NOM	charline
dieudonné	ADJ	dieudonné
en	PRP	en
cadette	NOM	cadet
(	PUN	(
50	NUM	@card@
et	KON	et
100	NUM	@card@
dos	NOM	dos
),	ADJ	),
anaïs	NOM	anaïs
clémençot	NOM	clémençot
en	PRP	en
junior-senior	NOM	junior-senior
(	PUN	(
50	NUM	@card@
brasse	NOM	brasse
)	PUN	)
et	KON	et
laurie	VER:subp	laurie
ventron	NOM	ventron
en	PRP	en
minime	ADJ	minime
(	PUN	(
200	NUM	@card@
libre	ADJ	libre
).	NOM	).
chez	PRP	chez
les	DET:ART	le
garçons	NOM	garçon
,	PUN	,
frédéric	ADJ	frédéric
boyer	NOM	boyer
en	PRP	en
junior-senior	NOM	junior-senior
(	PUN	(
50	NUM	@card@
papillon	NOM	papillon
),	ADJ	),
jérémy	ADJ	jérémy
devillier	NOM	devillier
en	PRP	en
cadet	NOM	cadet
(	PUN	(
50	NUM	@card@
papillon	NOM	papillon
),	ADJ	),
thomas	NOM	thomas
andré	ADJ	andré
,	PUN	,
outre	PRP	outre
son	DET:POS	son
doublé	NOM	doublé
sur	PRP	sur
grande	ADJ	grand
distance	NOM	distance
derrière	PRP	derrière
romain	ADJ	romain
jeanneret	NOM	jeanneret
,	PUN	,
deux	NUM	deux
autres	ADJ	autre
médaillés	VER:pper	médailler
(	PUN	(
200	NUM	@card@
et	KON	et
50	NUM	@card@
dos	NOM	dos
),	ADJ	),
alexandre	ADJ	alexandre
tupin	NOM	tupin
en	PRP	en
cadet	NOM	cadet
(	PUN	(
200	NUM	@card@
dos	NOM	dos
),	ADJ	),
mathieu	NOM	mathieu
gauliard	NOM	gauliard
en	PRP	en
minime	ADJ	minime
(	PUN	(
100	NUM	@card@
brasse	NOM	brasse
).	VER:subi	).
enfin	ADV	enfin
,	PUN	,
11	NUM	@card@
médailles	NOM	médaille
de	PRP	de
bronze	NOM	bronze
,	PUN	,
en	PRP	en
filles	NOM	fille
,	PUN	,
laura	VER:simp	laurer
cavatz	NOM	cavatz
en	PRP	en
minime	ADJ	minime
sur	PRP	sur
100	NUM	@card@
libre	ADJ	libre
,	PUN	,
julie	NOM	julie
pillot	NOM	pillot
en	PRP	en
cadette	NOM	cadet
(	PUN	(
50	NUM	@card@
et	KON	et
100	NUM	@card@
libre	ADJ	libre
),	NOM	),
anaïs	NOM	anaïs
clémençot	NOM	clémençot
en	PRP	en
