revigny	NAM	revigny
.	SENT	.
_	NOM	_
la	DET:ART	le
seconde	NUM	second
confrontation	NOM	confrontation
en	PRP	en
coupe	NOM	coupe
schmitt	ADJ	schmitt
s'	PRO:PER	se
est	VER:pres	être
mieux	ADV	mieux
déroulée	VER:pper	dérouler
pour	PRP	pour
les	DET:ART	le
revinéens	NOM	revinéens
qui	PRO:REL	qui
s'	PRO:PER	se
emparent	VER:pres	emparer
des	PRP:det	du
points	NOM	point
de	PRP	de
la	DET:ART	le
victoire	NOM	victoire
:	PUN	:
3	NUM	@card@
-	PUN	-
1	NUM	@card@
face	NOM	face
à	PRP	à
l'	DET:ART	le
équipe	NOM	équipe
première	NUM	premier
d'	PRP	de
essey-lès-nancy	NOM	essey-lès-nancy
,	PUN	,
sébastien	ADJ	sébastien
creusot	NOM	creusot
étant	VER:ppre	être
l'	DET:ART	le
auteur	NOM	auteur
d'	PRP	de
une	DET:ART	un
performance	NOM	performance
à	PRP	à
5	NUM	@card@
-	PUN	-
6	NUM	@card@
;	PUN	;
6	NUM	@card@
-	PUN	-
3	NUM	@card@
;	PUN	;
6	NUM	@card@
-	PUN	-
1	NUM	@card@
les	DET:ART	le
résultats	NOM	résultat
:	PUN	:
pihet	VER:pper	pihet
15	NUM	@card@
/	PUN	/
3	NUM	@card@
perd	VER:pres	perdre
contre	PRP	contre
mazure	NOM	mazure
15	NUM	@card@
/	PUN	/
2	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
;	PUN	;
creusot	NOM	creusot
15	NUM	@card@
/	PUN	/
1	NUM	@card@
bat	NOM	bat
dumait	VER:impf	dumait
5	NUM	@card@
/	PUN	/
6	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
;	PUN	;
pottelette	NOM	pottelette
5	NUM	@card@
/	PUN	/
6	NUM	@card@
bat	NOM	bat
doyen	NOM	doyen
5	NUM	@card@
/	PUN	/
6	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
creusot-pottelette	NOM	creusot-pottelette
battent	VER:pres	battre
doyen/mazure	NOM	doyen/mazure
6	NUM	@card@
-	PUN	-
1	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
