melbourne	NOM	melbourne
.	SENT	.
_	NOM	_
l'	DET:ART	le
américain	ADJ	américain
andre	NOM	andre
agassi	NOM	agassi
a	VER:pres	avoir
balayé	VER:pper	balayer|balayer
le	DET:ART	le
sud-africain	ADJ	sud-africain
wayne	NOM	wayne
ferreira	VER:futu	ferreira
(	PUN	(
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
)	PUN	)
en	PRP	en
1	NUM	@card@
h	ABR	heure
28	NUM	@card@
',	NOM	',
dans	PRP	dans
la	DET:ART	le
première	NUM	premier
demi-finale	NOM	demi-finale
du	PRP:det	du
simple	ADJ	simple
messieurs	NOM	messieurs
des	PRP:det	du
internationaux	ADJ	international
d'	PRP	de
australie	NOM	australie
,	PUN	,
tandis	KON	tandis
que	KON	que
la	DET:ART	le
belge	ADJ	belge
kim	NOM	kim
clijsters	NOM	clijsters
a	VER:pres	avoir
failli	VER:pper	faillir
empêcher	VER:infi	empêcher
une	DET:ART	un
cinquième	NOM	cinquième
finale	ADJ	final
entre	PRP	entre
les	DET:ART	le
s	NOM	s
	ADJ	
urs	NOM	urs
williams	NOM	williams
en	PRP	en
grand	ADJ	grand
chelem	NOM	chelem
.	SENT	.
agassi	NOM	agassi
,	PUN	,
triple	ADJ	triple
vainqueur	NOM	vainqueur
de	PRP	de
l'	DET:ART	le
épreuve	NOM	épreuve
(	PUN	(
1995	NUM	@card@
2000	ABR	@card@
2001	NUM	@card@
)	PUN	)
et	KON	et
détenteur	NOM	détenteur
de	PRP	de
sept	NUM	sept
tournois	NOM	tournoi
du	PRP:det	du
grand	ADJ	grand
chelem	NOM	chelem
,	PUN	,
n'	ADV	ne
a	VER:pres	avoir
guère	ADV	guère
été	VER:pper	être
à	PRP	à
l'	DET:ART	le
ouvrage	NOM	ouvrage
depuis	PRP	depuis
le	DET:ART	le
début	NOM	début
du	PRP:det	du
tournoi	NOM	tournoi
,	PUN	,
puisqu'il	NOM	puisqu'il
n'	ADV	ne
a	VER:pres	avoir
perdu	VER:pper	perdre
qu'	KON	que
un	DET:ART	un
seul	ADJ	seul
set	NOM	set
,	PUN	,
en	PRP	en
16	NUM	@card@
e	NOM	e
de	PRP	de
finale	NOM	finale
,	PUN	,
contre	PRP	contre
le	DET:ART	le
français	ADJ	français
nicolas	NOM	nicolas
escudé	ADJ	escudé
.	SENT	.
en	PRP	en
finale	NOM	finale
,	PUN	,
il	PRO:PER	il
rencontrera	VER:futu	rencontrer
le	DET:ART	le
vainqueur	NOM	vainqueur
de	PRP	de
l'	DET:ART	le
autre	ADJ	autre
demi-finale	NOM	demi-finale
,	PUN	,
programmée	VER:pper	programmer
ce	PRO:DEM	ce
matin	NOM	matin
(	PUN	(
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
),	NOM	),
entre	PRP	entre
l'	DET:ART	le
américain	ADJ	américain
andy	NOM	andy
roddick	NOM	roddick
et	KON	et
l'	DET:ART	le
allemand	ADJ	allemand
werner	NOM	werner
schüttler	VER:infi	schüttler
.	SENT	.
la	DET:ART	le
belge	ADJ	belge
kim	NOM	kim
clijsters	NOM	clijsters
a	VER:pres	avoir
,	PUN	,
quant	PRP	quant
à	PRP	à
elle	PRO:PER	elle
,	PUN	,
laissé	VER:pper	laisser
passer	VER:infi	passer
une	DET:ART	un
formidable	ADJ	formidable
occasion	NOM	occasion
d'	PRP	de
empêcher	VER:infi	empêcher
une	DET:ART	un
cinquième	NOM	cinquième
finale	ADJ	final
entre	PRP	entre
les	DET:ART	le
s	NOM	s
	ADJ	
