notre	DET:POS	notre
rédaction	NOM	rédaction
a	VER:pres	avoir
été	VER:pper	être
destinataire	NOM	destinataire
de	PRP	de
deux	NUM	deux
appels	NOM	appel
à	PRP	à
témoins	NOM	témoin
suite	NOM	suite
à	PRP	à
des	PRP:det	du
accidents	NOM	accident
matériels	ADJ	matériel
de	PRP	de
la	DET:ART	le
route	NOM	route
.	SENT	.
le	DET:ART	le
premier	NUM	premier
émane	VER:pres	émaner
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
moval	NOM	moval
et	KON	et
concerne	VER:pres	concerner
une	DET:ART	un
sortie	NOM	sortie
de	PRP	de
route	NOM	route
,	PUN	,
en	PRP	en
date	NOM	date
du	PRP:det	du
22	NUM	@card@
janvier	NOM	janvier
,	PUN	,
lorsqu'une	NOM	lorsqu'une
voiture	NOM	voiture
a	VER:pres	avoir
percuté	VER:pper	percuter
l'	DET:ART	le
îlot	NOM	îlot
situé	VER:pper	situer
à	PRP	à
la	DET:ART	le
sortie	NOM	sortie
de	PRP	de
moval	NOM	moval
,	PUN	,
en	PRP	en
direction	NOM	direction
de	PRP	de
delle	NOM	delle
.	SENT	.
contact	NOM	contact
:	PUN	:
mairie	NOM	mairie
de	PRP	de
moval	NOM	moval
au	PRP:det	au
03.84	NUM	@card@
.	SENT	.
56.04	NUM	@card@
.	SENT	.
12	NUM	@card@
le	DET:ART	le
second	NOM	second
nous	PRO:PER	nous
est	VER:pres	être
transmis	VER:pper	transmettre
par	PRP	par
un	DET:ART	un
particulier	NOM	particulier
dont	PRO:REL	dont
la	DET:ART	le
voiture	NOM	voiture
,	PUN	,
garée	VER:pper	garer
rue	NOM	rue
de	PRP	de
thann	NOM	thann
à	PRP	à
belfort	NOM	belfort
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
percutée	VER:pper	percuter
par	PRP	par
un	DET:ART	un
véhicule	NOM	véhicule
le	DET:ART	le
lundi	NOM	lundi
13	NUM	@card@
janvier	NOM	janvier
vers	PRP	vers
18	NUM	@card@
h.	ABR	h.
le	DET:ART	le
conducteur	NOM	conducteur
en	PRP	en
cause	NOM	cause
,	PUN	,
malgré	PRP	malgré
l'	DET:ART	le
importance	NOM	importance
des	PRP:det	du
dégâts	NOM	dégât
,	PUN	,
est	VER:pres	être
reparti	VER:pper	repartir
sans	PRP	sans
laisser	VER:infi	laisser
d'	PRP	de
adresse	NOM	adresse
.	SENT	.
tel	PRO:DEM	tel
du	PRP:det	du
propriétaire	NOM	propriétaire
de	PRP	de
l'	DET:ART	le
automobile	NOM	automobile
dégradée	VER:pper	dégrader
:	PUN	:
06.64	NUM	@card@
.	SENT	.
27.89	NUM	@card@
.	SENT	.
28	NUM	@card@
