mardi	NOM	mardi
27	NUM	@card@
janvier	NOM	janvier
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
club	NOM	club
des	PRP:det	du
pervenches	NOM	pervenche
,	PUN	,
cartes	NOM	carte
et	KON	et
jeux	NOM	jeu
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
des	PRP:det	du
anciens	NOM	ancien
;	PUN	;
csb	NOM	csb
,	PUN	,
entraînement	NOM	entraînement
des	PRP:det	du
footballeurs	NOM	footballeur
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
stade	NOM	stade
malplantouze	ADJ	malplantouze
;	PUN	;
tennis	NOM	tennis
de	PRP	de
table	NOM	table
de	PRP	de
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
marcel	ADJ	marcel
richard	NOM	richard
;	PUN	;
club	NOM	club
informatique	ADJ	informatique
de	PRP	de
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
45	NUM	@card@
au	PRP:det	au
groupe	NOM	groupe
scolaire	ADJ	scolaire
.	SENT	.
mercredi	NOM	mercredi
28	NUM	@card@
:	PUN	:
collecte	NOM	collecte
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
;	PUN	;
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
;	PUN	;
club	NOM	club
informatique	ADJ	informatique
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
au	PRP:det	au
groupe	NOM	groupe
scolaire	ADJ	scolaire
.	SENT	.
jeudi	NOM	jeudi
29	NUM	@card@
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
csb	NOM	csb
,	PUN	,
entraînement	NOM	entraînement
des	PRP:det	du
footballeurs	NOM	footballeur
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
stade	NOM	stade
de	PRP	de
malplantouze	ADJ	malplantouze
;	PUN	;
club	NOM	club
informatique	ADJ	informatique
de	PRP	de
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
45	NUM	@card@
au	PRP:det	au
groupe	NOM	groupe
scolaire	ADJ	scolaire
.	SENT	.
vendredi	NOM	vendredi
30	NUM	@card@
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
club	NOM	club
des	PRP:det	du
loisirs	NOM	loisir
créatifs	ADJ	créatif
,	PUN	,
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
des	PRP:det	du
anciens	NOM	ancien
;	PUN	;
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
et	KON	et
des	PRP:det	du
adjoints	NOM	adjoint
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
dimanche	NOM	dimanche
2	NUM	@card@
février	NOM	février
:	PUN	:
manoeuvre	NOM	manœuvre
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
à	PRP	à
8	NUM	@card@
h	ABR	heure
;	PUN	;
messe	NOM	messe
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
saint-jean-baptiste	ADJ	saint-jean-baptiste
de	PRP	de
brû	NOM	brû
.	SENT	.
