elle	PRO:PER	elle
a	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
jour	NOM	jour
le	DET:ART	le
16	NUM	@card@
janvier	NOM	janvier
à	PRP	à
la	DET:ART	le
clinique	ADJ	clinique
majorelle	NOM	majorelle
,	PUN	,
toisant	VER:ppre	toiser
50	NUM	@card@
cm	NOM	cm
,	PUN	,
pesant	VER:ppre	peser
3,7	NUM	@card@
kg	ABR	kg
.	SENT	.
très	ADV	très
attendue	VER:pper	attendre
,	PUN	,
cette	PRO:DEM	ce
petite	ADJ	petit
emma	NOM	emma
.	SENT	.
la	DET:ART	le
jolie	ADJ	joli
brunette	NOM	brunet
attendrit	VER:pres	attendrir
non	ADV	non
seulement	ADV	seulement
son	DET:POS	son
frère	NOM	frère
léo	ADJ	léo
mais	KON	mais
aussi	ADV	aussi
,	PUN	,
et	KON	et
surtout	ADV	surtout
,	PUN	,
ses	DET:POS	son
parents	ADJ	parent
olivier	NOM	olivier
henrion	NOM	henrion
,	PUN	,
le	DET:ART	le
papa	NOM	papa
,	PUN	,
informaticien	NOM	informaticien
et	KON	et
marie-christine	NOM	marie-christine
,	PUN	,
la	DET:ART	le
maman	NOM	maman
,	PUN	,
greffière	NOM	greffier
.	SENT	.
la	DET:ART	le
famille	NOM	famille
réside	VER:pres	résider
rue	NOM	rue
du	PRP:det	du
puisot	NOM	puisot
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
et	KON	et
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
pour	PRP	pour
emma	NOM	emma
.	SENT	.
