tous	PRO:IND	tout
les	DET:ART	le
deux	NUM	deux
ans	NOM	an
se	PRO:PER	se
déroulent	VER:pres	dérouler
les	DET:ART	le
olympiades	NOM	olympiade
des	PRP:det	du
métiers	NOM	métier
auxquelles	PRO:REL	auquel
participent	VER:pres	participer
régulièrement	ADV	régulièrement
l'	DET:ART	le
entreprise	NOM	entreprise
cunin	ADJ	cunin
.	SENT	.
cette	PRO:DEM	ce
année	NOM	année
deux	NUM	deux
jeunes	NOM	jeune
ont	VER:pres	avoir
terminé	VER:pper	terminer
à	PRP	à
la	DET:ART	le
première	NUM	premier
place	NOM	place
des	PRP:det	du
olympiades	NOM	olympiade
régionales	ADJ	régional
et	KON	et
participeront	VER:futu	participer
à	PRP	à
la	DET:ART	le
finale	NOM	finale
nationale	ADJ	national
le	DET:ART	le
4	NUM	@card@
février	NOM	février
à	PRP	à
tours	NOM	tour
.	SENT	.
pour	PRP	pour
participer	VER:infi	participer
aux	PRP:det	au
olympiades	NOM	olympiade
il	PRO:PER	il
faut	VER:pres	falloir
avoir	VER:infi	avoir
un	DET:ART	un
bon	ADJ	bon
niveau	NOM	niveau
manuel	ADJ	manuel
,	PUN	,
mais	KON	mais
posséder	VER:infi	posséder
également	ADV	également
de	PRP	de
solides	ADJ	solide
connaissances	NOM	connaissance
en	PRP	en
mathématiques	NOM	mathématique
et	KON	et
en	PRP	en
technologie	NOM	technologie
et	KON	et
fournir	VER:infi	fournir
un	DET:ART	un
énorme	ADJ	énorme
travail	NOM	travail
personnel	ADJ	personnel
.	SENT	.
christophe	ADJ	christophe
perry	NOM	perry
a	VER:pres	avoir
passé	VER:pper	passer
son	DET:POS	son
cap	NOM	cap
de	PRP	de
couvreur	NOM	couvreur
zingueur	NOM	zingueur
sur	PRP	sur
deux	NUM	deux
ans	NOM	an
,	PUN	,
puis	ADV	puis
son	DET:POS	son
bp	NOM	bp
couvreur	NOM	couvreur
,	PUN	,
sur	PRP	sur
deux	NUM	deux
ans	NOM	an
également	ADV	également
.	SENT	.
il	PRO:PER	il
vient	VER:pres	venir
d'	PRP	de
être	VER:infi	être
embauché	VER:pper	embaucher
comme	ADV	comme
ouvrier	ADJ	ouvrier
dans	PRP	dans
l'	DET:ART	le
entreprise	NOM	entreprise
.	SENT	.
johnny	NOM	johnny
tisserand	NOM	tisserand
a	VER:pres	avoir
passé	VER:pper	passer
son	DET:POS	son
cap	NOM	cap
de	PRP	de
chauffagiste	NOM	chauffagiste
conex	NOM	conex
sur	PRP	sur
deux	NUM	deux
ans	NOM	an
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
actuellement	ADV	actuellement
en	PRP	en
deuxième	NUM	deuxième
année	NOM	année
de	PRP	de
bp	NOM	bp
génie	NOM	génie
climatique	ADJ	climatique
.	SENT	.
ces	PRO:DEM	ce
jeunes	NOM	jeune
qui	PRO:REL	qui
travaillent	VER:pres	travailler
sur	PRP	sur
des	PRP:det	du
maquettes	NOM	maquette
sont	VER:pres	être
plein	ADJ	plein
de	PRP	de
confiance	NOM	confiance
et	KON	et
très	ADV	très
fiers	ADJ	fier
de	PRP	de
pouvoir	VER:infi	pouvoir
participer	VER:infi	participer
à	PRP	à
une	DET:ART	un
épreuve	NOM	épreuve
aussi	ADV	aussi
relevée	ADJ	relevé
et	KON	et
prestigieuse	ADJ	prestigieux
.	SENT	.
leurs	DET:POS	leur
maîtres	NOM	maître
de	PRP	de
stage	NOM	stage
et	KON	et
le	DET:ART	le
pdg	NOM	pdg
de	PRP	de
l'	DET:ART	le
entreprise	NOM	entreprise
aussi	ADV	aussi
!	SENT	!
