asptt	NOM	asptt
nancy	NOM	nancy
bat	VER:pres	battre
dole	VER:pres	doler
:	PUN	:
10	NUM	@card@
-	PUN	-
8	NUM	@card@
ùmi-temps	NOM	ùmi-temps
:	PUN	:
5	NUM	@card@
-	PUN	-
5	NUM	@card@
ùdole	NOM	ùdole
:	PUN	:
recordon	NOM	recordon
(	PUN	(
2	NUM	@card@
),	NOM	),
marie	VER:pres	marier
(	PUN	(
1	NUM	@card@
),	NOM	),
delannoy	NOM	delannoy
(	PUN	(
1	NUM	@card@
),	NOM	),
bougaud	NOM	bougaud
(	PUN	(
4	NUM	@card@
).	ABR	).
nancy	NOM	nancy
:	PUN	:
minar	NOM	minar
(	PUN	(
2	NUM	@card@
),	NOM	),
kikos	NOM	kikos
(	PUN	(
1	NUM	@card@
),	NOM	),
kwiatkowski	NOM	kwiatkowski
(	PUN	(
1	NUM	@card@
),	NOM	),
stewart	NOM	stewart
(	PUN	(
4	NUM	@card@
),	NOM	),
cortès	NOM	cortès
(	PUN	(
1	NUM	@card@
),	NOM	),
pourchet	NOM	pourchet
(	PUN	(
1	NUM	@card@
).	ABR	).
