dieulouard	NOM	dieulouard
et	KON	et
cernay-wattwiller	VER:infi	cernay-wattwiller
:	PUN	:
23	NUM	@card@
-	PUN	-
23	NUM	@card@
ùdieulouard	NOM	ùdieulouard
:	PUN	:
darnois	ADJ	darnois
(	PUN	(
8	NUM	@card@
dont	PRO:REL	dont
3	NUM	@card@
penaltys	NOM	penalty
),	ADJ	),
chable	VER:pres	chabler
(	PUN	(
5	NUM	@card@
),	NOM	),
giovannacci	ADJ	giovannacci
(	PUN	(
3	NUM	@card@
),	NOM	),
gérard	ADJ	gérard
(	PUN	(
2	NUM	@card@
),	NOM	),
rotatinti	ADJ	rotatinti
(	PUN	(
2	NUM	@card@
),	NOM	),
hayotte	NOM	hayotte
(	PUN	(
1	NUM	@card@
),	NOM	),
lefevre	NOM	lefevre
(	PUN	(
1	NUM	@card@
),	NOM	),
amokrane	ADJ	amokrane
(	PUN	(
1	NUM	@card@
).	ABR	).
cernay/wattwiller	NAM	cernay/wattwiller
:	PUN	:
battmann	NOM	battmann
(	PUN	(
7	NUM	@card@
),	NOM	),
saratann	ADJ	saratann
(	PUN	(
7	NUM	@card@
),	NOM	),
omeyer	VER:infi	omeyer
(	PUN	(
5	NUM	@card@
dont	PRO:REL	dont
4	NUM	@card@
penaltys	NOM	penalty
),	ADJ	),
zink	NOM	zink
(	PUN	(
2	NUM	@card@
),	NOM	),
meyer	ADJ	meyer
(	PUN	(
1	NUM	@card@
),	NOM	),
giorgetti	ADJ	giorgetti
(	PUN	(
1	NUM	@card@
).	ABR	).
