kitzb	NOM	kitzb
^	ABR	^
ühel	NOM	ühel
.	SENT	.
_	NOM	_
l'	DET:ART	le
américain	ADJ	américain
daron	NOM	daron
rahlves	NOM	rahlves
a	VER:pres	avoir
remporté	VER:pper	remporter
hier	ADV	hier
la	DET:ART	le
descente	NOM	descente
écourtée	VER:pper	écourter
de	PRP	de
kitzbühel	NOM	kitzbühel
(	PUN	(
autriche	ADJ	autriche
),	NOM	),
la	DET:ART	le
première	NUM	premier
victoire	NOM	victoire
d'	PRP	de
un	DET:ART	un
américain	NOM	américain
en	PRP	en
coupe	NOM	coupe
du	PRP:det	du
monde	NOM	monde
,	PUN	,
dans	PRP	dans
les	DET:ART	le
prestigieuses	ADJ	prestigieux
épreuves	NOM	épreuve
d'	PRP	de
hahnenkamm	NOM	hahnenkamm
.	SENT	.
en	PRP	en
1	NUM	@card@
'	PUN	'
09	NUM	@card@
''	NOM	''
63	NUM	@card@
le	DET:ART	le
californien	NOM	californien
de	PRP	de
29	NUM	@card@
ans	NOM	an
a	VER:pres	avoir
précédé	VER:pper	précéder
le	DET:ART	le
suisse	ADJ	suisse
didier	NOM	didier
cuche	NOM	cuche
et	KON	et
le	DET:ART	le
norvégien	ADJ	norvégien
kjetil-andré	NOM	kjetil-andré
aamodt	NOM	aamodt
,	PUN	,
respectivement	ADV	respectivement
de	PRP	de
5	NUM	@card@
et	KON	et
8	NUM	@card@
centièmes	NOM	centième
.	SENT	.
en	PRP	en
raison	NOM	raison
du	PRP:det	du
brouillard	NOM	brouillard
,	PUN	,
l'	DET:ART	le
épreuve	NOM	épreuve
avait	VER:impf	avoir
été	VER:pper	être
retardée	VER:pper	retarder
plusieurs	PRO:IND	plusieurs
fois	NOM	foi|fois
dans	PRP	dans
la	DET:ART	le
matinée	NOM	matinée
,	PUN	,
puis	ADV	puis
finalement	ADV	finalement
écourtée	VER:pper	écourter
de	PRP	de
plus	ADV	plus
d'	PRP	de
un	DET:ART	un
tiers	NOM	tiers
de	PRP	de
sa	DET:POS	son
longueur	NOM	longueur
,	PUN	,
avec	PRP	avec
un	DET:ART	un
départ	NOM	départ
donné	VER:pper	donner
plus	ADV	plus
bas	ADJ	bas
.	SENT	.
rahlves	NOM	rahlves
,	PUN	,
