sous	PRP	sous
la	DET:ART	le
présidence	NOM	présidence
de	PRP	de
lyne	NOM	lyne
rousseau	ADJ	rousseau
,	PUN	,
maire	NOM	maire
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
s'	PRO:PER	se
est	VER:pres	être
réuni	VER:pper	réunir
pour	PRP	pour
délibérer	VER:infi	délibérer
des	PRP:det	du
sujets	NOM	sujet
à	PRP	à
l'	DET:ART	le
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
.	SENT	.
révision	NOM	révision
du	PRP:det	du
plan	NOM	plan
local	ADJ	local
d'	PRP	de
urbanisme	NOM	urbanisme
:	PUN	:
le	DET:ART	le
maire	NOM	maire
informe	VER:pres	informer
le	DET:ART	le
conseil	NOM	conseil
sur	PRP	sur
la	DET:ART	le
dernière	ADJ	dernier
réunion	NOM	réunion
et	KON	et
donne	VER:pres	donner
lecture	NOM	lecture
du	PRP:det	du
document	NOM	document
provisoire	ADJ	provisoire
«	PUN:cit	«
projet	NOM	projet
d'	PRP	de
aménagement	NOM	aménagement
et	KON	et
de	PRP	de
développement	NOM	développement
durable	ADJ	durable
»,	ADJ	»,
le	DET:ART	le
conseil	NOM	conseil
devant	PRP	devant
se	PRO:PER	se
prononcer	VER:infi	prononcer
sur	PRP	sur
certains	PRO:IND	certain
points	NOM	point
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
point	ADV	point
:	PUN	:
habitat	NOM	habitat
,	PUN	,
prévision	NOM	prévision
de	PRP	de
zones	NOM	zone
à	PRP	à
urbaniser	VER:infi	urbaniser
sur	PRP	sur
les	DET:ART	le
court	ADJ	court
et	KON	et
long	ADJ	long
termes	NOM	terme
:	PUN	:
70	NUM	@card@
parcelles	NOM	parcelle
sur	PRP	sur
9	NUM	@card@
ha	ABR	ha
,	PUN	,
dont	PRO:REL	dont
2	NUM	@card@
ha	ABR	ha
utilisables	ADJ	utilisable
immédiatement	ADV	immédiatement
,	PUN	,
12	NUM	@card@
voix	NOM	voix
pour	KON	pour
;	PUN	;
2	NUM	@card@
e	VER:simp	e
point	ADV	point
:	PUN	:
zone	VER:pres	zoner
destinée	VER:pper	destiner
à	PRP	à
l'	DET:ART	le
accueil	NOM	accueil
des	PRP:det	du
gens	NOM	gens
du	PRP:det	du
voyage	NOM	voyage
:	PUN	:
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
décide	VER:pres	décider
que	KON	que
la	DET:ART	le
seule	ADJ	seul
zone	NOM	zone
qui	PRO:REL	qui
pourrait	VER:cond	pouvoir
convenir	VER:infi	convenir
est	VER:pres	être
celle	PRO:DEM	celui
proche	ADJ	proche
du	PRP:det	du
lieu	NOM	lieu
d'	PRP	de
accueil	NOM	accueil
qu'	PRO:REL	que
ils	PRO:PER	il
occupent	VER:pres	occuper
actuellement	ADV	actuellement
.	SENT	.
reste	VER:pres	rester
à	PRP	à
convaincre	VER:infi	convaincre
le	DET:ART	le
propriétaire	NOM	propriétaire
de	PRP	de
ce	PRO:DEM	ce
terrain	NOM	terrain
,	PUN	,
ainsi	KON	ainsi
que	KON	que
les	DET:ART	le
services	NOM	service
de	PRP	de
la	DET:ART	le
navigation	NOM	navigation
.	SENT	.
le	DET:ART	le
maire	NOM	maire
est	VER:pres	être
chargé	VER:pper	charger
de	PRP	de
reprendre	VER:infi	reprendre
contact	NOM	contact
avec	PRP	avec
le	DET:ART	le
député	NOM	député
et	KON	et
les	DET:ART	le
services	NOM	service
compétents	ADJ	compétent
pour	PRP	pour
trouver	VER:infi	trouver
une	DET:ART	un
solution	NOM	solution
définitive	ADJ	définitif
à	PRP	à
ce	PRO:DEM	ce
délicat	ADJ	délicat
problème	NOM	problème
;	PUN	;
3	NUM	@card@
e	VER:simp	e
point	ADV	point
:	PUN	:
l'	DET:ART	le
extension	NOM	extension
du	PRP:det	du
secteur	NOM	secteur
«	PUN:cit	«
carriéable	NOM	carriéable
»	PUN:cit	»
des	PRP:det	du
fours	NOM	four
à	PRP	à
chaux	NOM	chaux
de	PRP	de
dugny	NAM	dugny
.	SENT	.
les	DET:ART	le
membres	NOM	membre
du	PRP:det	du
conseil	NOM	conseil
ont	VER:pres	avoir
refusé	VER:pper	refuser
de	PRP	de
délibérer	VER:infi	délibérer
sur	PRP	sur
ce	PRO:DEM	ce
point	NOM	point
,	PUN	,
considérant	VER:ppre	considérer
que	KON	que
la	DET:ART	le
superficie	NOM	superficie
des	PRP:det	du
zones	NOM	zone
«	PUN:cit	«
carriéables	NOM	carriéables
»	PUN:cit	»
sur	PRP	sur
le	DET:ART	le
territoire	NOM	territoire
est	VER:pres	être
déjà	ADV	déjà
importante	ADJ	important
et	KON	et
ils	PRO:PER	il
revendiquent	VER:pres	revendiquer
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
que	KON	que
la	DET:ART	le
commune	NOM	commune
perçoive	VER:subp	percevoir
,	PUN	,
en	PRP	en
contrepartie	NOM	contrepartie
de	PRP	de
la	DET:ART	le
taxe	NOM	taxe
professionnelle	ADJ	professionnel
;	PUN	;
4	NUM	@card@
e	VER:simp	e
point	ADV	point
:	PUN	:
choix	NOM	choix
de	PRP	de
la	DET:ART	le
zone	NOM	zone
d'	PRP	de
activités	NOM	activité
:	PUN	:
après	PRP	après
discussion	NOM	discussion
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
propose	VER:pres	proposer
une	DET:ART	un
zone	NOM	zone
à	PRP	à
proximité	NOM	proximité
de	PRP	de
la	DET:ART	le
station	NOM	station
d'	PRP	de
épuration	NOM	épuration
(	PUN	(
route	NOM	route
de	PRP	de
dugny	NAM	dugny
).	ABR	).
la	DET:ART	le
zone	NOM	zone
ux	ADJ	ux
«	PUN:cit	«
devant	VER:ppre	devoir
la	DET:ART	le
petite	ADJ	petit
rue	NOM	rue
»	PUN:cit	»
doit	VER:pres	devoir
être	VER:infi	être
conservée	VER:pper	conserver
.	SENT	.
projet	NOM	projet
d'	PRP	de
aménagement	NOM	aménagement
de	PRP	de
la	DET:ART	le
forêt	NOM	forêt
communale	ADJ	communal
:	PUN	:
des	PRP:det	du
informations	NOM	information
sont	VER:pres	être
évoquées	VER:pper	évoquer
par	PRP	par
pierre	NOM	pierre
lesire	VER:pres	lesire
sur	PRP	sur
la	DET:ART	le
dernière	ADJ	dernier
réunion	NOM	réunion
de	PRP	de
la	DET:ART	le
commission	NOM	commission
forêt	NOM	forêt
avec	PRP	avec
les	DET:ART	le
techniciens	NOM	technicien
de	PRP	de
l'	DET:ART	le
onf	NOM	onf
.	SENT	.
le	DET:ART	le
projet	NOM	projet
d'	PRP	de
aménagement	NOM	aménagement
pour	PRP	pour
une	DET:ART	un
durée	NOM	durée
de	PRP	de
15	NUM	@card@
ans	NOM	an
est	VER:pres	être
accepté	VER:pper	accepter
,	PUN	,
par	PRP	par
11	NUM	@card@
voix	NOM	voix
pour	KON	pour
et	KON	et
une	DET:ART	un
abstention	NOM	abstention
;	PUN	;
intégration	NOM	intégration
dans	PRP	dans
la	DET:ART	le
forêt	NOM	forêt
communale	ADJ	communal
des	PRP:det	du
parcelles	NOM	parcelle
de	PRP	de
«	PUN:cit	«
lamorlette	NOM	lamorlette
»	PUN:cit	»
2	NUM	@card@
ha	ABR	ha
,	PUN	,
par	PRP	par
11	NUM	@card@
voix	NOM	voix
pour	KON	pour
et	KON	et
une	DET:ART	un
contre	NOM	contre
.	SENT	.
recrutement	NOM	recrutement
d'	PRP	de
un	DET:ART	un
employé	NOM	employé
communal	ADJ	communal
:	PUN	:
12	NUM	@card@
voix	NOM	voix
pour	PRP	pour
la	DET:ART	le
suppression	NOM	suppression
du	PRP:det	du
poste	NOM	poste
d'	PRP	de
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
qualifié	VER:pper	qualifier
et	KON	et
12	NUM	@card@
voix	NOM	voix
pour	PRP	pour
l'	DET:ART	le
ouverture	NOM	ouverture
du	PRP:det	du
poste	NOM	poste
d'	PRP	de
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
décide	VER:pres	décider
d'	PRP	de
accorder	VER:infi	accorder
ce	PRO:DEM	ce
poste	NOM	poste
à	PRP	à
christophe	NOM	christophe
ferrée	VER:pper	ferrer
,	PUN	,
actuellement	ADV	actuellement
en	PRP	en
contrat	NOM	contrat
«	PUN:cit	«
emploi	NOM	emploi
jeunes	ADJ	jeune
»	PUN:cit	»
depuis	PRP	depuis
trois	NUM	trois
ans	NOM	an
.	SENT	.
la	DET:ART	le
possibilité	NOM	possibilité
d'	PRP	de
un	DET:ART	un
nouveau	ADJ	nouveau
contrat	NOM	contrat
«	PUN:cit	«
emploi	NOM	emploi
jeunes	ADJ	jeune
»	PUN:cit	»
peut	VER:pres	pouvoir
être	VER:infi	être
envisagée	VER:pper	envisager
pour	PRP	pour
les	DET:ART	le
deux	NUM	deux
années	NOM	année
restantes	ADJ	restant
,	PUN	,
mais	KON	mais
sans	PRP	sans
promesse	NOM	promesse
d'	PRP	de
embauche	NOM	embauche
.	SENT	.
restructuration	NOM	restructuration
de	PRP	de
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
:	PUN	:
le	DET:ART	le
maire	NOM	maire
est	VER:pres	être
autorisé	VER:pper	autoriser
à	PRP	à
la	DET:ART	le
signature	NOM	signature
du	PRP:det	du
marché	NOM	marché
de	PRP	de
maîtrise	NOM	maîtrise
d'	ADJ	d'
uvre	NOM	uvre
par	PRP	par
10	NUM	@card@
voix	NOM	voix
pour	KON	pour
et	KON	et
2	NUM	@card@
contre	NOM	contre
,	PUN	,
et	KON	et
à	PRP	à
négocier	VER:infi	négocier
un	DET:ART	un
emprunt	NOM	emprunt
(	PUN	(
pour	PRP	pour
la	DET:ART	le
partie	NOM	partie
restante	ADJ	restant
,	PUN	,
à	PRP	à
la	DET:ART	le
charge	NOM	charge
de	PRP	de
