vingt-deux	NUM	vingt-deux
ans	NOM	an
de	PRP	de
bons	ADJ	bon
et	KON	et
loyaux	ADJ	loyal
services	NOM	service
,	PUN	,
passés	VER:pper	passer
à	PRP	à
l'	DET:ART	le
organisation	NOM	organisation
de	PRP	de
séjours	NOM	séjour
pour	PRP	pour
les	DET:ART	le
retraités	NOM	retraité
au	PRP:det	au
centre	NOM	centre
de	PRP	de
vacances	NOM	vacance
de	PRP	de
douarnenez	VER:pres	douarnenez
du	PRP:det	du
c.	ABR	c.
e	VER:futu	e
solvay	NOM	solvay
,	PUN	,
se	PRO:PER	se
devaient	VER:impf	devoir
d'	PRP	de
être	VER:infi	être
récompensés	VER:pper	récompenser
.	SENT	.
en	PRP	en
effet	NOM	effet
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
1980	NUM	@card@
qu'	KON	que
hubert	NOM	hubert
crunchant	ADJ	crunchant
,	PUN	,
membre	NOM	membre
du	PRP:det	du
c.	ABR	c.
e	VER:futu	e
solvay	NOM	solvay
et	KON	et
président	NOM	président
de	PRP	de
la	DET:ART	le
commission	NOM	commission
«	PUN:cit	«
colonies	NOM	colonie
de	PRP	de
vacances	NOM	vacance
»	PUN:cit	»
décida	VER:simp	décider
,	PUN	,
avec	PRP	avec
l'	DET:ART	le
aide	NOM	aide
de	PRP	de
son	DET:POS	son
épouse	NOM	épouse
bernadette	NOM	bernadette
et	KON	et
celle	PRO:DEM	celui
du	PRP:det	du
c.	ABR	c.
e	VER:futu	e
,	PUN	,
d'	PRP	de
organiser	VER:infi	organiser
des	PRP:det	du
séjours	NOM	séjour
à	PRP	à
l'	DET:ART	le
intention	NOM	intention
des	PRP:det	du
retraités	NOM	retraité
de	PRP	de
l'	DET:ART	le
usine	NOM	usine
au	PRP:det	au
centre	NOM	centre
de	PRP	de
vacances	NOM	vacance
de	PRP	de
douarnenez	NOM	douarnenez
.	SENT	.
hubert	NOM	hubert
crunchant	ADJ	crunchant
s'	PRO:PER	se
est	VER:pres	être
toujours	ADV	toujours
occupé	VER:pper	occuper
bénévolement	ADV	bénévolement
de	PRP	de
ces	PRO:DEM	ce
séjours	NOM	séjour
en	PRP	en
les	DET:ART	le
organisant	VER:ppre	organiser
sur	PRP	sur
ses	DET:POS	son
congés	NOM	congé
,	PUN	,
avec	ADV	avec
,	PUN	,
bien	ADV	bien
entendu	VER:pper	entendre
,	PUN	,
l'	DET:ART	le
aide	NOM	aide
de	PRP	de
son	DET:POS	son
épouse	NOM	épouse
mais	KON	mais
aussi	ADV	aussi
d'	PRP	de
autres	ADJ	autre
bénévoles	NOM	bénévole
.	SENT	.
ces	PRO:DEM	ce
séjours	NOM	séjour
ont	VER:pres	avoir
toujours	ADV	toujours
connu	VER:pper	connaître
un	DET:ART	un
franc	ADJ	franc
succès	NOM	succès
auprès	ADV	auprès
des	PRP:det	du
retraités	NOM	retraité
.	SENT	.
«	PUN:cit	«
il	PRO:PER	il
faut	VER:pres	falloir
reconnaître	VER:infi	reconnaître
qu'	KON	que
hubert	NOM	hubert
a	VER:pres	avoir
fait	VER:pper	faire
découvrir	VER:infi	découvrir
aux	PRP:det	au
retraités	NOM	retraité
de	PRP	de
très	ADV	très
nombreux	ADJ	nombreux
sites	NOM	site
de	PRP	de
la	DET:ART	le
bretagne	NOM	bretagne
.	SENT	.
une	DET:ART	un
région	NOM	région
qu'	PRO:REL	que
il	PRO:PER	il
connaît	VER:pres	connaître
presque	ADV	presque
mieux	ADV	mieux
que	KON	que
certains	PRO:IND	certain
bretons	ADJ	breton
»	PUN:cit	»
ironise	VER:pres	ironiser
daniel	ADJ	daniel
.	SENT	.
«	PUN:cit	«
avec	PRP	avec
mon	DET:POS	mon
mari	NOM	mari
,	PUN	,
on	PRO:PER	on
regrette	VER:pres	regretter
aujourd'hui	ADV	aujourd'hui
de	PRP	de
ne	ADV	ne
pas	ADV	pas
y	PRO:PER	y
être	VER:infi	être
allés	VER:pper	aller
plus	ADV	plus
tôt	ADV	tôt
.	SENT	.
l'	DET:ART	le
ambiance	NOM	ambiance
est	VER:pres	être
bonne	ADJ	bon
,	PUN	,
hubert	NOM	hubert
et	KON	et
bernadette	NOM	bernadette
sont	VER:pres	être
aux	PRP:det	au
petits	ADJ	petit
soins	NOM	soin
pour	PRP	pour
nous	PRO:PER	nous
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
vraiment	ADV	vraiment
familial	ADJ	familial
»	PUN:cit	»
raconte	VER:pres	raconter
monique	ADJ	monique
.	SENT	.
depuis	PRP	depuis
quelques	PRO:IND	quelque
mois	NOM	moi|mois
,	PUN	,
une	DET:ART	un
modification	NOM	modification
importante	ADJ	important
est	VER:pres	être
intervenue	VER:pper	intervenir
au	PRP:det	au
sein	NOM	sein
de	PRP	de
ce	PRO:DEM	ce
centre	NOM	centre
de	PRP	de
vacances	NOM	vacance
,	PUN	,
qui	PRO:REL	qui
sera	VER:futu	être
désormais	ADV	désormais
géré	VER:pper	gérer
par	PRP	par
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
retraités	ADJ	retraité
solvay	NOM	solvay
et	KON	et
qui	PRO:REL	qui
se	PRO:PER	se
déroulera	VER:futu	dérouler
à	PRP	à
quelques	PRO:IND	quelque
kilomètres	NOM	kilomètre
de	PRP	de
douarnenez	NOM	douarnenez
,	PUN	,
à	PRP	à
fouesnant	VER:ppre	fouesnant
.	SENT	.
«	PUN:cit	«
le	DET:ART	le
travail	NOM	travail
de	PRP	de
préparation	NOM	préparation
et	KON	et
de	PRP	de
remise	NOM	remise
en	PRP	en
état	NOM	état
de	PRP	de
la	DET:ART	le
colonie	NOM	colonie
étant	VER:ppre	être
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
fastidieux	ADJ	fastidieux
et	KON	et
éreintant	VER:ppre	éreinter
,	PUN	,
les	DET:ART	le
séjours	NOM	séjour
auront	VER:futu	avoir
lieu	NOM	lieu
désormais	ADV	désormais
dans	PRP	dans
un	DET:ART	un
autre	ADJ	autre
centre	NOM	centre
à	PRP	à
fouesnant	NOM	fouesnant
»	PUN:cit	»
précise	ADJ	précis
jean	NOM	jean
petitfils	NOM	petitfils
,	PUN	,
président	NOM	président
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
retraités	ADJ	retraité
solvay	NOM	solvay
.	SENT	.
bien	ADV	bien
entendu	VER:pper	entendre
,	PUN	,
hubert	NOM	hubert
et	KON	et
bernadette	NOM	bernadette
crunchant	ADJ	crunchant
seront	VER:futu	être
toujours	ADV	toujours
là	ADV	là
pour	PRP	pour
l'	DET:ART	le
organisation	NOM	organisation
de	PRP	de
ces	PRO:DEM	ce
séjours	NOM	séjour
,	PUN	,
qui	PRO:REL	qui
ont	VER:pres	avoir
lieu	NOM	lieu
en	PRP	en
septembre	NOM	septembre
.	SENT	.
une	DET:ART	un
réception	NOM	réception
a	VER:pres	avoir
donc	ADV	donc
été	VER:pper	être
organisée	VER:pper	organiser
à	PRP	à
l'	DET:ART	le
amicale	ADJ	amical
solvay	NOM	solvay
par	PRP	par
les	DET:ART	le
responsables	ADJ	responsable
du	PRP:det	du
c.	ABR	c.
e	VER:futu	e
qui	PRO:REL	qui
tenaient	VER:impf	tenir
à	PRP	à
rendre	VER:infi	rendre
hommage	NOM	hommage
à	PRP	à
ce	PRO:DEM	ce
sympathique	ADJ	sympathique
et	KON	et
dynamique	ADJ	dynamique
couple	NOM	couple
pour	PRP	pour
leur	DET:POS	leur
fidélité	NOM	fidélité
et	KON	et
leur	DET:POS	leur
dévouement	NOM	dévouement
.	SENT	.
hubert	NOM	hubert
a	VER:pres	avoir
reçu	VER:pper	recevoir
un	DET:ART	un
scanner	NOM	scanner
et	KON	et
un	DET:ART	un
ouvrage	NOM	ouvrage
sur	PRP	sur
le	DET:ART	le
canada	NOM	canada
,	PUN	,
qui	PRO:REL	qui
est	VER:pres	être
la	DET:ART	le
future	ADJ	futur
destination	NOM	destination
du	PRP:det	du
voyage	NOM	voyage
des	PRP:det	du
époux	NOM	époux
crunchant	ADJ	crunchant
.	SENT	.
quant	PRP	quant
à	PRP	à
bernadette	NOM	bernadette
,	PUN	,
elle	PRO:PER	elle
reçut	VER:simp	recevoir
une	DET:ART	un
magnifique	ADJ	magnifique
composition	NOM	composition
florale	ADJ	floral
.	SENT	.
