rallye	NOM	rallye
de	PRP	de
monte-carlo	NOM	monte-carlo
:	PUN	:
1	NUM	@card@
loeb-elena	NOM	loeb-elena
(	PUN	(
fra/citroën	ADJ	fra/citroën
xsara	NOM	xsara
wrc	ADJ	wrc
)	PUN	)
4	NUM	@card@
h	ABR	heure
29	NUM	@card@
'	PUN	'
11	NUM	@card@
''	NOM	''
4	NUM	@card@
;	PUN	;
2	NUM	@card@
mcrae-ringer	NOM	mcrae-ringer
(	PUN	(
gbr/citroën	ADJ	gbr/citroën
xsara	NOM	xsara
wrc	ADJ	wrc
)	PUN	)
à	PRP	à
38	NUM	@card@
''	NOM	''
1	NUM	@card@
;	PUN	;
3	NUM	@card@
sainz-marti	NOM	sainz-marti
(	PUN	(
esp/citroën	ADJ	esp/citroën
xsara	NOM	xsara
wrc	ADJ	wrc
)	PUN	)
à	PRP	à
52	NUM	@card@
''	NOM	''
2	NUM	@card@
;	PUN	;
4	NUM	@card@
martin-park	NOM	martin-park
(	PUN	(
est-gbr/ford	ADJ	est-gbr/ford
focus	NOM	focus
wrc	ADJ	wrc
)	PUN	)
à	PRP	à
55	NUM	@card@
''	NOM	''
5	NUM	@card@
;	PUN	;
5	NUM	@card@
burns-reid	NOM	burns-reid
(	PUN	(
gbr/peugeot	NOM	gbr/peugeot
206	NUM	@card@
wrc	NOM	wrc
)	PUN	)
à	PRP	à
3	NUM	@card@
'	PUN	'
16	NUM	@card@
''	NOM	''
5	NUM	@card@
;	PUN	;
6	NUM	@card@
robert-bedon	NOM	robert-bedon
(	PUN	(
fra/peugeot	NOM	fra/peugeot
206	NUM	@card@
wrc	NOM	wrc
)	PUN	)
à	PRP	à
5	NUM	@card@
'	PUN	'
16	NUM	@card@
''	NOM	''
7	NUM	@card@
;	PUN	;
7	NUM	@card@
duval-fortin	NOM	duval-fortin
(	PUN	(
bel/ford	VER:pres	bel/ford
focus	NOM	focus
wrc	ADJ	wrc
)	PUN	)
à	PRP	à
5	NUM	@card@
'	PUN	'
17	NUM	@card@
''	NOM	''
1	NUM	@card@
;	PUN	;
8	NUM	@card@
schwarz-hiemer	NOM	schwarz-hiemer
(	PUN	(
all/hyundaï	VER:pper	all/hyundaï
accent	NOM	accent
wrc	ADJ	wrc
)	PUN	)
à	PRP	à
6	NUM	@card@
'	PUN	'
42	NUM	@card@
''	NOM	''
3	NUM	@card@
;	PUN	;
9	NUM	@card@
auriol-giraudet	NOM	auriol-giraudet
(	PUN	(
fra/skoda	VER:simp	fra/skoda
octavia	VER:simp	octavier
wrc	NOM	wrc
)	PUN	)
à	PRP	à
7	NUM	@card@
'	PUN	'
13	NUM	@card@
''	NOM	''
8	NUM	@card@
;	PUN	;
10	NUM	@card@
kresta-hulka	NOM	kresta-hulka
(	PUN	(
tch/peugeot	NOM	tch/peugeot
206	NUM	@card@
wrc	NOM	wrc
)	PUN	)
à	PRP	à
7	NUM	@card@
'	PUN	'
50	NUM	@card@
''	NOM	''
9	NUM	@card@
championnat	NOM	championnat
du	PRP:det	du
monde	NOM	monde
des	PRP:det	du
pilotes	NOM	pilote
:	PUN	:
1	NUM	@card@
loeb	NOM	loeb
(	PUN	(
fra	NOM	fra
)	PUN	)
10	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
mcrae	NOM	mcrae
(	PUN	(
gbr	NOM	gbr
)	PUN	)
8	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
sainz	NOM	sainz
(	PUN	(
esp	NOM	esp
)	PUN	)
6	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
martin	NOM	martin
(	PUN	(
est	VER:pres	être
)	PUN	)
5	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
burns	NOM	burns
(	PUN	(
gbr	NOM	gbr
)	PUN	)
4	NUM	@card@
pts	NOM	pts
.	SENT	.
championnat	NOM	championnat
du	PRP:det	du
monde	NOM	monde
des	PRP:det	du
constructeurs	NOM	constructeur
:	PUN	:
1	NUM	@card@
citroën	NOM	citroën
18	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
ford	NOM	ford
10	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
peugeot	NOM	peugeot
6	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
hyundaï	NOM	hyundaï
3	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
skoda	NOM	skoda
2	NUM	@card@
pts	NOM	pts
.	SENT	.
