lorient	NOM	lorient
(	PUN	(
l	VER:simp	l
2)	NOM	2)
-	PUN	-
lille	NOM	lille
(	PUN	(
l	VER:simp	l
1)	NOM	1)
laval	ADJ	laval
(	PUN	(
l	VER:simp	l
2)	NOM	2)
-	PUN	-
paris-sg	NOM	paris-sg
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
bordeaux	NOM	bordeau|bordeaux
(	PUN	(
l	VER:simp	l
1)	NOM	1)
-	PUN	-
wasquehal	NOM	wasquehal
(	PUN	(
l	VER:simp	l
2)	NOM	2)
angoulême	ADJ	angoulême
(	PUN	(
nat	VER:pper	nat
)	PUN	)
-	PUN	-
guingamp	NOM	guingamp
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
libourne	NOM	libourne
saint-seurin	ADJ	saint-seurin
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
-	PUN	-
rennes	NOM	renne
(	PUN	(
l	VER:simp	l
1)	NOM	1)
bourg-péronnas	VER:simp	bourg-péronnas
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
-	PUN	-
auxerre	NOM	auxerre
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
martigues	NOM	martigues
(	PUN	(
nat	VER:pper	nat
)	PUN	)
-	PUN	-
metz	NAM	Metz
(	PUN	(
l	VER:simp	l
2)	ADJ	2)
schiltigheim	NOM	schiltigheim
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
toulouse	NOM	toulouse
(	PUN	(
l	VER:simp	l
2)	ADJ	2)
ces	PRO:DEM	ce
huitièmes	NOM	huitième
de	PRP	de
finale	NOM	finale
se	PRO:PER	se
disputeront	VER:futu	disputer
le	DET:ART	le
samedi	NOM	samedi
15	NUM	@card@
février	NOM	février
.	SENT	.
