funchal	NOM	funchal
.	SENT	.
_	ADJ	_
mi-temps	NOM	mi-temps
:	PUN	:
15	NUM	@card@
-	PUN	-
6	NUM	@card@
arbitres	NOM	arbitre
:	PUN	:
mm	NOM	mm
.	SENT	.
m.	ABR	m.
et	KON	et
d.	VER:subi	d.
nachevski	NOM	nachevski
(	PUN	(
mcd	VER:simp	mcd
).	VER:pper	).
spectateurs	NOM	spectateur
:	PUN	:
1.500	NUM	@card@
environ	NOM	environ
.	SENT	.
les	DET:ART	le
marqueurs	NOM	marqueur
:	PUN	:
france	NOM	france
:	PUN	:
fernandez	VER:pres	fernandez
(	PUN	(
2	NUM	@card@
),	NOM	),
burdet	NOM	burdet
(	PUN	(
2	NUM	@card@
),	NOM	),
ber	NOM	ber
.	SENT	.
gille	NOM	gille
(	PUN	(
4	NUM	@card@
),	NOM	),
narcisse	NOM	narcisse
(	PUN	(
4	NUM	@card@
),	ABR	),
g.	ABR	g.
anquetil	NOM	anquetil
(	PUN	(
5	NUM	@card@
),	NOM	),
golic	NOM	golic
(	PUN	(
2	NUM	@card@
),	NOM	),
houlet	ADJ	houlet
(	PUN	(
4	NUM	@card@
dont	PRO:REL	dont
2	NUM	@card@
pen	NOM	pen
.	SENT	.
),	ADJ	),
richardson	NOM	richardson
(	PUN	(
1	NUM	@card@
),	NOM	),
abati	VER:pper	abati
(	PUN	(
4	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
pen	NOM	pen
.	SENT	.
),	NOM	),
cazal	ADJ	cazal
(	PUN	(
3	NUM	@card@
).	ABR	).
russie	NOM	russie
:	PUN	:
i.	ABR	i.
lavrov	NOM	lavrov
(	PUN	(
2	NUM	@card@
),	NOM	),
ivanov	NOM	ivanov
(	PUN	(
1	NUM	@card@
),	NOM	),
schlatchev	NOM	schlatchev
(	PUN	(
4	NUM	@card@
dont	PRO:REL	dont
3	NUM	@card@
pen	NOM	pen
.	SENT	.
),	ADJ	),
moskalenko	NOM	moskalenko
(	PUN	(
1	NUM	@card@
),	NOM	),
torgovanov	NOM	torgovanov
(	PUN	(
2	NUM	@card@
),	NOM	),
tchougai	NOM	tchougai
(	PUN	(
1	NUM	@card@
),	NOM	),
kamanin	ADJ	kamanin
(	PUN	(
2	NUM	@card@
),	NOM	),
rastvortsev	NOM	rastvortsev
(	PUN	(
2	NUM	@card@
).	ABR	).
