m.	ABR	m.
marius	NOM	marius
barthet	NOM	barthet
27	NUM	@card@
rue	NOM	rue
granges	NOM	grange
25110	NUM	@card@
baume-les-dames	NOM	baume-les-dames
.	SENT	.
je	PRO:PER	je
viens	VER:pres	venir
d'	PRP	de
apprendre	VER:infi	apprendre
une	DET:ART	un
horrible	ADJ	horrible
nouvelle	ADJ	nouveau
:	PUN	:
un	DET:ART	un
homme	NOM	homme
a	VER:pres	avoir
tué	VER:pper	tuer
sa	DET:POS	son
femme	NOM	femme
de	PRP	de
sang	NOM	sang
froid	ADJ	froid
-	PUN	-
six	NUM	six
balles	NOM	balle
de	PRP	de
revolver	NOM	revolver
-	PUN	-
parce	KON	parce
qu'	PRO:REL	que
elle	PRO:PER	elle
avait	VER:impf	avoir
contracté	VER:pper	contracter
la	DET:ART	le
maladie	NOM	maladie
d'	PRP	de
alzheimer	VER:infi	alzheimer
.	SENT	.
avec	PRP	avec
cette	PRO:DEM	ce
affreuse	ADJ	affreux
précision	NOM	précision
que	KON	que
la	DET:ART	le
justice	NOM	justice
l'	PRO:PER	la|le
a	VER:pres	avoir
pratiquement	ADV	pratiquement
acquitté	VER:pper	acquitter
.	SENT	.
ce	PRO:DEM	ce
qui	PRO:REL	qui
lui	PRO:PER	lui
a	VER:pres	avoir
valu	VER:pper	valoir
d'	PRP	de
être	VER:infi	être
interviewé	VER:pper	interviewer
à	PRP	à
la	DET:ART	le
sortie	NOM	sortie
de	PRP	de
l'	DET:ART	le
audience	NOM	audience
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
intolérable	ADJ	intolérable
pour	PRP	pour
ceux	PRO:DEM	celui
,	PUN	,
dont	PRO:REL	dont
je	PRO:PER	je
fais	VER:pres	faire
partie	NOM	partie
,	PUN	,
qui	PRO:REL	qui
ont	VER:pres	avoir
vu	VER:pper	voir
leur	DET:POS	leur
conjoint	NOM	conjoint
atteint	VER:pper	atteindre
de	PRP	de
la	DET:ART	le
même	ADJ	même
maladie	NOM	maladie
et	KON	et
qui	PRO:REL	qui
l'	PRO:PER	la|le
ont	VER:pres	avoir
soigné	VER:pper	soigner
avec	PRP	avec
dévouement	NOM	dévouement
.	SENT	.
je	PRO:PER	je
peux	VER:pres	pouvoir
témoigner	VER:infi	témoigner
que	KON	que
pendant	PRP	pendant
ces	PRO:DEM	ce
longues	ADJ	longue
années	NOM	année
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
amour	NOM	amour
que	PRO:REL	que
j'	PRO:PER	je
ai	VER:pres	avoir
assisté	VER:pper	assister
mon	DET:POS	mon
épouse	NOM	épouse
et	KON	et
je	PRO:PER	je
sais	VER:pres	savoir
qu'	KON	que
elle	PRO:PER	elle
en	PRO:PER	en
avait	VER:impf	avoir
conscience	NOM	conscience
.	SENT	.
elle	PRO:PER	elle
m'	PRO:PER	me
a	VER:pres	avoir
quitté	VER:pper	quitter
,	PUN	,
hélas	VER:simp	héler
,	PUN	,
mais	KON	mais
je	PRO:PER	je
voudrais	VER:cond	vouloir
demander	VER:infi	demander
à	PRP	à
tous	PRO:IND	tout
ceux	PRO:DEM	celui
qui	PRO:REL	qui
subissent	VER:pres	subir
la	DET:ART	le
même	ADJ	même
épreuve	NOM	épreuve
avec	PRP	avec
un	NOM	un
de	PRP	de
leurs	DET:POS	leur
proches	NOM	proche
de	PRP	de
le	PRO:PER	le
traiter	VER:infi	traiter
avec	PRP	avec
beaucoup	ADV	beaucoup
de	PRP	de
tendresse	NOM	tendresse
pendant	PRP	pendant
cette	PRO:DEM	ce
période	NOM	période
difficile	ADJ	difficile
.	SENT	.
