secrétariat	NOM	secrétariat
de	PRP	de
mairies	NOM	mairie
:	PUN	:
vigneulles	NOM	vigneulles
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
viéville-sous-les-côtes	NOM	viéville-sous-les-côtes
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
billy-sous-les-côtes	NOM	billy-sous-les-côtes
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
saint-benoît	NOM	saint-benoît
de	PRP	de
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
hattonville	NOM	hattonville
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
permanences	NOM	permanence
des	PRP:det	du
maires	NOM	maire
délégués	VER:pper	déléguer
:	PUN	:
saint-benoît	NOM	saint-benoît
de	PRP	de
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
hattonchâtel	NOM	hattonchâtel
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
permanence	NOM	permanence
du	PRP:det	du
ccas	NOM	ccas
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
en	PRP	en
mairie	NOM	mairie
.	SENT	.
permanence	NOM	permanence
du	PRP:det	du
conseiller	NOM	conseiller
général	ADJ	général
:	PUN	:
locaux	ADJ	local
de	PRP	de
la	DET:ART	le
codecom	NOM	codecom
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
permanences	NOM	permanence
du	PRP:det	du
canton	NOM	canton
:	PUN	:
lachaussée	VER:pper	lachaussée
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
nonsard	NOM	nonsard
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
buxières-sous-les-côtes	NOM	buxières-sous-les-côtes
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
club	NOM	club
rencontres	NOM	rencontre
:	PUN	:
mairie	NOM	mairie
de	PRP	de
creuë	NOM	creuë
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h.	ABR	h.
amis	NOM	ami
de	PRP	de
la	DET:ART	le
danse	NOM	danse
:	PUN	:
salle	NOM	salle
saint-rémy	NOM	saint-rémy
de	PRP	de
17	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
jazz	NOM	jazz
et	KON	et
claquettes	NOM	claquette
enfants	NOM	enfant
niveau	NOM	niveau
1	NUM	@card@
2	NUM	@card@
et	KON	et
3	NUM	@card@
;	PUN	;
20	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
gym	NOM	gym
jazz	NOM	jazz
adultes	ADJ	adulte
.	SENT	.
