gym	NOM	gym
volontaire	ADJ	volontaire
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
centre	NOM	centre
de	PRP	de
loisirs	NOM	loisir
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
omnisports	ADJ	omnisports
:	PUN	:
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
