simples	ADJ	simple
:	PUN	:
sanchez	VER:pres	sanchez
(	PUN	(
373	NUM	@card@
fra	NOM	fra
)	PUN	)
bat	VER:pres	battre
laurendon	NOM	laurendon
(	PUN	(
378	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
kheotavong	NOM	kheotavong
(	PUN	(
235	NUM	@card@
ang	NOM	ang
)	PUN	)
bat	VER:pres	battre
topalova	NOM	topalova
(	PUN	(
249	NUM	@card@
bul	NOM	bul
)	PUN	)
6	NUM	@card@
-	PUN	-
2	NUM	@card@
2	NUM	@card@
-	PUN	-
0	NUM	@card@
ab	ADV	ab
.	SENT	.
taton	NOM	taton
(	PUN	(
398	NUM	@card@
bel	NOM	bel
)	PUN	)
bat	VER:pres	battre
johansson	NOM	johansson
(	PUN	(
510	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
0	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
bammer	NOM	bammer
(	PUN	(
177	NUM	@card@
aut	NOM	aut
)	PUN	)
bat	VER:pres	battre
kilsdonk	NOM	kilsdonk
(	PUN	(
689	NUM	@card@
hol	NOM	hol
)	PUN	)
7	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
doubles	NOM	double
:	PUN	:
birnerova/heitz	NAM	birnerova/heitz
battent	VER:pres	battre
pavlova/visic	NOM	pavlova/visic
6	NUM	@card@
-	PUN	-
7	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
liu/xie	NOM	liu/xie
battent	VER:pres	battre
daskovic/kondratiev	NOM	daskovic/kondratiev
6	NUM	@card@
-	PUN	-
4	NUM	@card@
7	NUM	@card@
-	PUN	-
5	NUM	@card@
