féminines	ADJ	féminin
moins	ADV	moins
18	NUM	@card@
ans	NOM	an
chenove-beex	ADJ	chenove-beex
va	VER:pres	aller
11	NUM	@card@
-	PUN	-
20	NUM	@card@
beaune-dole	NOM	beaune-dole
34	NUM	@card@
-	PUN	-
12	NUM	@card@
moirans-dijon	NOM	moirans-dijon
23	NUM	@card@
-	PUN	-
16	NUM	@card@
excellence	NOM	excellence
pays	NOM	pays
riolais-maîche	VER:pres	riolais-maîche
30	NUM	@card@
-	PUN	-
23	NUM	@card@
esb-palente	ADJ	esb-palente
orchamps	NOM	orchamps
17	NUM	@card@
-	PUN	-
23	NUM	@card@
régional	ADJ	régional
dampierre-vesoul	NOM	dampierre-vesoul
37	NUM	@card@
-	PUN	-
11	NUM	@card@
ascap	NOM	ascap
sochx	NOM	sochx
pouilley-les	NOM	pouilley-les
v.	ABR	v.
27	NUM	@card@
-	PUN	-
6	NUM	@card@
esb-poligny	NAM	esb-poligny
8	NUM	@card@
-	PUN	-
37	NUM	@card@
chaussin-vercel	NOM	chaussin-vercel
17	NUM	@card@
-	PUN	-
38	NUM	@card@
moins	ADV	moins
16	NUM	@card@
ans	NOM	an
excellence	NOM	excellence
pontarlier-vauvillers	NOM	pontarlier-vauvillers
32	NUM	@card@
-	PUN	-
16	NUM	@card@
dole-grandvillars	NOM	dole-grandvillars
21	NUM	@card@
-	PUN	-
23	NUM	@card@
val	NOM	val
de	PRP	de
saône-st	NOM	saône-st
vit	VER:pres	vivre
19	NUM	@card@
-	PUN	-
32	NUM	@card@
luxeuil-saône	NOM	luxeuil-saône
mam	NOM	mam
.	SENT	.
43	NUM	@card@
-	PUN	-
18	NUM	@card@
honneur	NOM	honneur
pouilley	VER:subi	pouilley
vignes-esb	NOM	vignes-esb
c	VER:subi	c
13	NUM	@card@
-	PUN	-
24	NUM	@card@
vesoul-villersexel	NOM	vesoul-villersexel
36	NUM	@card@
-	PUN	-
15	NUM	@card@
pal	NOM	pal
.	SENT	.
