fonctionnant	VER:ppre	fonctionner
depuis	PRP	depuis
quelques	PRO:IND	quelque
années	NOM	année
grâce	NOM	grâce
à	PRP	à
l'	DET:ART	le
implication	NOM	implication
de	PRP	de
bénévoles	NOM	bénévole
,	PUN	,
l'	DET:ART	le
école	NOM	école
de	PRP	de
hand	NOM	hand
du	PRP:det	du
pays	NOM	pays
riolais	VER:impf	riolais
a	VER:pres	avoir
été	VER:pper	être
labellisée	VER:pper	labellisée
«	PUN:cit	«
ballon	NOM	ballon
d'	PRP	de
or	NOM	or
»	PUN:cit	»
par	PRP	par
la	DET:ART	le
fédération	NOM	fédération
de	PRP	de
handball	NOM	handball
.	SENT	.
deux	NUM	deux
clubs	NOM	club
seulement	ADV	seulement
ont	VER:pres	avoir
reçu	VER:pper	recevoir
cette	PRO:DEM	ce
distinction	NOM	distinction
en	PRP	en
franche-comté	NOM	franche-comté
,	PUN	,
rioz	NOM	rioz
et	KON	et
morteau	NOM	morteau
.	SENT	.
le	DET:ART	le
club	NOM	club
local	ADJ	local
répondait	VER:impf	répondre
à	PRP	à
l'	DET:ART	le
ensemble	NOM	ensemble
des	PRP:det	du
critères	NOM	critère
de	PRP	de
qualité	NOM	qualité
:	PUN	:
qualification	NOM	qualification
et	KON	et
nombre	NOM	nombre
d'	PRP	de
intervenants	NOM	intervenant
,	PUN	,
évolution	NOM	évolution
des	PRP:det	du
effectifs	NOM	effectif
...	PUN	...
depuis	PRP	depuis
septembre	NOM	septembre
,	PUN	,
55	NUM	@card@
enfants	NOM	enfant
sont	VER:pres	être
initiés	VER:pper	initier
à	PRP	à
la	DET:ART	le
pratique	NOM	pratique
du	PRP:det	du
handball	NOM	handball
chaque	PRO:IND	chaque
mercredi	NOM	mercredi
et	KON	et
encadrés	VER:pper	encadrer
par	PRP	par
lapin	NOM	lapin
,	PUN	,
sophie	NOM	sophie
,	PUN	,
laure	NOM	laure
,	PUN	,
nina	NOM	nina
,	PUN	,
clémentine	NOM	clémentine
,	PUN	,
anne-laure	NOM	anne-laure
,	PUN	,
sophie	NOM	sophie
et	KON	et
maud	NOM	maud
.	SENT	.
en	PRP	en
décembre	NOM	décembre
dernier	ADJ	dernier
,	PUN	,
le	DET:ART	le
club	NOM	club
a	VER:pres	avoir
également	ADV	également
recruté	VER:pper	recruter
un	DET:ART	un
emploi-jeune	NOM	emploi-jeune
en	PRP	en
la	DET:ART	le
personne	NOM	personne
de	PRP	de
maud	ADJ	maud
bayardon	NOM	bayardon
.	SENT	.
dimanche	NOM	dimanche
9	NUM	@card@
février	NOM	février
,	PUN	,
les	DET:ART	le
enfants	NOM	enfant
de	PRP	de
l'	DET:ART	le
école	NOM	école
de	PRP	de
hand	NOM	hand
participeront	VER:futu	participer
à	PRP	à
l'	DET:ART	le
animation	NOM	animation
à	PRP	à
la	DET:ART	le
fin	NOM	fin
du	PRP:det	du
match	NOM	match
de	PRP	de
la	DET:ART	le
finale	NOM	finale
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
de	PRP	de
la	DET:ART	le
ligue	NOM	ligue
à	PRP	à
besançon	NOM	besançon
.	SENT	.
samedi	NOM	samedi
22	NUM	@card@
février	NOM	février
:	PUN	:
soirée	NOM	soirée
match	NOM	match
pour	PRP	pour
les	DET:ART	le
sponsors	NOM	sponsor
,	PUN	,
les	DET:ART	le
arbitres	NOM	arbitre
,	PUN	,
les	DET:ART	le
entraîneurs	NOM	entraîneur
et	KON	et
les	DET:ART	le
joueurs	NOM	joueur
,	PUN	,
au	PRP:det	au
gymnase	NOM	gymnase
de	PRP	de
rioz	NOM	rioz
.	SENT	.
dimanche	NOM	dimanche
23	NUM	@card@
février	NOM	février
:	PUN	:
le	DET:ART	le
club	NOM	club
de	PRP	de
rioz	NOM	rioz
participera	VER:futu	participer
à	PRP	à
l'	DET:ART	le
opération	NOM	opération
«	PUN:cit	«
handball	NOM	handball
au	PRP:det	au
féminin	ADJ	féminin
»	PUN:cit	»
avec	PRP	avec
des	PRP:det	du
tournois	NOM	tournoi
ou	KON	ou
de	PRP	de
l'	DET:ART	le
initiation	NOM	initiation
à	PRP	à
partir	VER:infi	partir
de	PRP	de
13	NUM	@card@
h	ABR	heure
au	PRP:det	au
gymnase	NOM	gymnase
de	PRP	de
rioz	NOM	rioz
.	SENT	.
