l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
chantal	ADJ	chantal
schneider	NOM	schneider
,	PUN	,
à	PRP	à
nicey	NOM	nicey
,	PUN	,
tél/fax	NOM	tél/fax
03.29	NUM	@card@
.	SENT	.
75.03	NUM	@card@
.	SENT	.
20	NUM	@card@
mairie	NOM	mairie
:	PUN	:
8	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
;	PUN	;
03.29	NUM	@card@
.	SENT	.
75.03	NUM	@card@
.	SENT	.
76.	PRO	@ord@
,	PUN	,
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
75.00	NUM	@card@
.	SENT	.
86	NUM	@card@
codecom	NOM	codecom
:	PUN	:
de	PRP	de
8	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
75.06	NUM	@card@
.	SENT	.
22	NUM	@card@
communes	NOM	commune
forestières	ADJ	forestier
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
75.05	NUM	@card@
.	SENT	.
25	NUM	@card@
multimédia	ADJ	multimédia
:	PUN	:
www	NOM	www
.	SENT	.
cc	NOM	cc
.	SENT	.
entreaireetmeuse	NOM	entreaireetmeuse
.	SENT	.
fr	NOM	fr
bibliothèque	NOM	bibliothèque
:	PUN	:
16	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
heure	NOM	heure
du	PRP:det	du
conte	NOM	conte
lecture	NOM	lecture
d'	PRP	de
un	DET:ART	un
livre	NOM	livre
ou	KON	ou
d'	PRP	de
un	DET:ART	un
conte	NOM	conte
par	PRP	par
un	DET:ART	un
adulte	NOM	adulte
).	ABR	).
football	NOM	football
:	PUN	:
au	PRP:det	au
stade	NOM	stade
,	PUN	,
enfants	NOM	enfant
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
seniors	NOM	senior
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
rugby	NOM	rugby
:	PUN	:
enfants	NOM	enfant
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
stade	NOM	stade
.	SENT	.
